           km_, km_dec_percent, km_hp_offset, km_ap_offset, 
       sSlabel,     eSCHAR,     eULONG,     eULONG, 
 0 :    dif_000,          5,      10000,      10000, 
 1 :    dif_001,         10,      10000,      10000, 
 2 :    dif_002,         15,      10000,      10000, 
 3 :    dif_003,         20,      10000,      10000, 
 4 :    dif_004,         25,      10000,      10000, 
 5 :    dif_005,         30,      10500,      10500, 
 6 :    dif_006,         35,      10500,      10500, 
 7 :    dif_007,         40,      10500,      10500, 
 8 :    dif_008,         45,      10500,      10500, 
 9 :    dif_009,         50,      11000,      11000, 
10 :    dif_010,         55,      11000,      11000, 
11 :    dif_011,         60,      11000,      11000, 
12 :    dif_012,         65,      11000,      11000, 
13 :    dif_013,         70,      11000,      11000, 
14 :    dif_014,         75,      11000,      11000, 
15 :    dif_015,         80,      12000,      12000, 
16 :    dif_016,         85,      12000,      12000, 
17 :    dif_017,         90,      12000,      12000, 
18 :    dif_018,         95,      12000,      12000, 
19 :    dif_019,        100,      12000,      12000, 

