           km_, km_UnionId,  km_UnitId, km_OrderNum, km_MessageId, km_bDispOnece, 
       sSlabel,     eSCHAR,     eSCHAR,    eSSHORT,     eSLONG,     eSCHAR, 
 0 :    DATA_00,         -1,         -1,          0,         -1,          0, 
 1 :    DATA_01,         -1,         -1,          0,         -1,          0, 
 2 :    DATA_02,         -1,         -1,          0,         -1,          0, 
 3 :    DATA_03,         -1,         -1,          0,         -1,          0, 
 4 :    DATA_04,         -1,         -1,          0,         -1,          0, 
 5 :    DATA_05,         -1,         -1,          0,         -1,          0, 
 6 :    DATA_06,         -1,         -1,          0,         -1,          0, 
 7 :    DATA_07,         -1,         -1,          0,         -1,          0, 
 8 :    DATA_08,         -1,         -1,          0,         -1,          0, 
 9 :    DATA_09,         -1,         -1,          0,         -1,          0, 
10 :       Data,         -1,         -1,          0,         -1,          0, 
11 :       Data,         -1,         -1,          0,         -1,          0, 
12 :       Data,         -1,         -1,          0,         -1,          0, 
13 :       Data,         -1,         -1,          0,         -1,          0, 
14 :       Data,         -1,         -1,          0,         -1,          0, 
15 :       Data,         -1,         -1,          0,         -1,          0, 
16 :       Data,         -1,         -1,          0,         -1,          0, 
17 :       Data,         -1,         -1,          0,         -1,          0, 
18 :       Data,         -1,         -1,          0,         -1,          0, 
19 :       Data,         -1,         -1,          0,         -1,          0, 
20 :       Data,         -1,         -1,          0,         -1,          0, 
21 :       Data,         -1,         -1,          0,         -1,          0, 
22 :       Data,         -1,         -1,          0,         -1,          0, 
23 :       Data,         -1,         -1,          0,         -1,          0, 
24 :       Data,         -1,         -1,          0,         -1,          0, 
25 :       Data,         -1,         -1,          0,         -1,          0, 
26 :       Data,         -1,         -1,          0,         -1,          0, 
27 :       Data,         -1,         -1,          0,         -1,          0, 
28 :       Data,         -1,         -1,          0,         -1,          0, 
29 :       Data,         -1,         -1,          0,         -1,          0, 
30 :       Data,         -1,         -1,          0,         -1,          0, 
31 :       Data,         -1,         -1,          0,         -1,          0, 
32 :       Data,         -1,         -1,          0,         -1,          0, 
33 :       Data,         -1,         -1,          0,         -1,          0, 
34 :       Data,         -1,         -1,          0,         -1,          0, 
35 :       Data,         -1,         -1,          0,         -1,          0, 
36 :       Data,         -1,         -1,          0,         -1,          0, 
37 :       Data,         -1,         -1,          0,         -1,          0, 
38 :       Data,         -1,         -1,          0,         -1,          0, 
39 :       Data,         -1,         -1,          0,         -1,          0, 
40 :       Data,         -1,         -1,          0,         -1,          0, 
41 :       Data,         -1,         -1,          0,         -1,          0, 
42 :       Data,         -1,         -1,          0,         -1,          0, 
43 :       Data,         -1,         -1,          0,         -1,          0, 
44 :       Data,         -1,         -1,          0,         -1,          0, 
45 :       Data,         -1,         -1,          0,         -1,          0, 
46 :       Data,         -1,         -1,          0,         -1,          0, 
47 :       Data,         -1,         -1,          0,         -1,          0, 
48 :       Data,         -1,         -1,          0,         -1,          0, 
49 :       Data,         -1,         -1,          0,         -1,          0, 
50 :       Data,         -1,         -1,          0,         -1,          0, 
51 :       Data,         -1,         -1,          0,         -1,          0, 
52 :       Data,         -1,         -1,          0,         -1,          0, 
53 :       Data,         -1,         -1,          0,         -1,          0, 
54 :       Data,         -1,         -1,          0,         -1,          0, 
55 :       Data,         -1,         -1,          0,         -1,          0, 
56 :       Data,         -1,         -1,          0,         -1,          0, 
57 :       Data,         -1,         -1,          0,         -1,          0, 
58 :       Data,         -1,         -1,          0,         -1,          0, 
59 :       Data,         -1,         -1,          0,         -1,          0, 
60 :       Data,         -1,         -1,          0,         -1,          0, 
61 :       Data,         -1,         -1,          0,         -1,          0, 
62 :       Data,         -1,         -1,          0,         -1,          0, 
63 :       Data,         -1,         -1,          0,         -1,          0, 

