           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      19660,      19661,      19662,      19663,          0,          0, 
 1 : type_muzokusei,      19664,      19665,      19666,      19667,          0,          0, 
 2 :  type_zan1,      19668,      19669,      19670,      19671,          0,          0, 
 3 :  type_zan2,      19672,      19673,      19674,      19675,          0,          0, 
 4 :  type_zan3,      19676,      19677,      19678,      19679,          0,          0, 
 5 :   type_da1,      19680,      19681,      19682,      19683,          0,          0, 
 6 :   type_da2,      19684,      19685,      19686,      19687,          0,          0, 
 7 :   type_da3,      19688,      19689,      19690,      19691,          0,          0, 
 8 : type_shou1,      19692,      19693,      19694,      19695,          0,          0, 
 9 : type_shou2,      19696,      19697,      19698,      19699,          0,          0, 
10 : type_shou3,      19700,      19701,      19702,      19703,          0,          0, 
11 : type_kantu1,      19704,      19705,      19706,      19707,          0,          0, 
12 : type_kantu2,      19708,      19709,      19710,      19711,          0,          0, 
13 : type_kantu3,      19712,      19713,      19714,      19715,          0,          0, 
14 : type_perfect1,      19716,      19717,      19718,      19719,          0,          0, 
15 : type_perfect2,      19720,      19721,      19722,      19723,          0,          0, 
16 : type_perfect3,      19724,      19725,      19726,      19727,          0,          0, 

