           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      19728,      19729,      19730,      19731,          0,          0, 
 1 :       None,      19732,      19733,      19734,      19735,          0,          0, 
 2 : parameter_HP_01,      19736,      19737,      19738,      19739,          0,          0, 
 3 : parameter_HP_02,      19740,      19741,      19742,      19743,          0,          0, 
 4 : parameter_HP_03,      19744,      19745,      19746,      19747,          0,          0, 
 5 : parameter_HP_04,      19748,      19749,      19750,      19751,          0,          0, 
 6 : parameter_HP_05,      19752,      19753,      19754,      19755,          0,          0, 
 7 : parameter_HP_06,      19756,      19757,      19758,      19759,          0,          0, 
 8 : parameter_HP_07,      19760,      19761,      19762,      19763,          0,          0, 
 9 : parameter_HP_08,      19764,      19765,      19766,      19767,          0,          0, 
10 : parameter_HP_09,      19768,      19769,      19770,      19771,          0,          0, 
11 : parameter_AP_01,      19772,      19773,      19774,      19775,          0,          0, 
12 : parameter_AP_02,      19776,      19777,      19778,      19779,          0,          0, 
13 : parameter_AP_03,      19780,      19781,      19782,      19783,          0,          0, 
14 : parameter_AP_04,      19784,      19785,      19786,      19787,          0,          0, 
15 : parameter_AP_05,      19788,      19789,      19790,      19791,          0,          0, 
16 : parameter_AP_06,      19792,      19793,      19794,      19795,          0,          0, 
17 : parameter_AP_07,      19796,      19797,      19798,      19799,          0,          0, 
18 : parameter_AP_08,      19800,      19801,      19802,      19803,          0,          0, 
19 : parameter_AP_09,      19804,      19805,      19806,      19807,          0,          0, 
20 : parameter_Apcharge_01,      19808,      19809,      19810,      19811,          0,          0, 
21 : parameter_Apcharge_02,      19812,      19813,      19814,      19815,          0,          0, 
22 : parameter_Apcharge_03,      19816,      19817,      19818,      19819,          0,          0, 
23 : parameter_Apcharge_04,      19820,      19821,      19822,      19823,          0,          0, 
24 : parameter_Apcharge_05,      19824,      19825,      19826,      19827,          0,          0, 
25 : parameter_Apcharge_06,      19828,      19829,      19830,      19831,          0,          0, 
26 : parameter_Apcharge_07,      19832,      19833,      19834,      19835,          0,          0, 
27 : parameter_Apcharge_08,      19836,      19837,      19838,      19839,          0,          0, 
28 : parameter_Apcharge_09,      19840,      19841,      19842,      19843,          0,          0, 
29 : parameter_STR_01,      19844,      19845,      19846,      19847,          0,          0, 
30 : parameter_STR_02,      19848,      19849,      19850,      19851,          0,          0, 
31 : parameter_STR_03,      19852,      19853,      19854,      19855,          0,          0, 
32 : parameter_STR_04,      19856,      19857,      19858,      19859,          0,          0, 
33 : parameter_STR_05,      19860,      19861,      19862,      19863,          0,          0, 
34 : parameter_INT_01,      19864,      19865,      19866,      19867,          0,          0, 
35 : parameter_INT_02,      19868,      19869,      19870,      19871,          0,          0, 
36 : parameter_INT_03,      19872,      19873,      19874,      19875,          0,          0, 
37 : parameter_INT_04,      19876,      19877,      19878,      19879,          0,          0, 
38 : parameter_INT_05,      19880,      19881,      19882,      19883,          0,          0, 
39 : parameter_SPD_01,      19884,      19885,      19886,      19887,          0,          0, 
40 : parameter_SPD_02,      19888,      19889,      19890,      19891,          0,          0, 
41 : parameter_SPD_03,      19892,      19893,      19894,      19895,          0,          0, 
42 : parameter_SPD_04,      19896,      19897,      19898,      19899,          0,          0, 
43 : parameter_SPD_05,      19900,      19901,      19902,      19903,          0,          0, 
44 : parameter_uniq_01,      19904,      19905,      19906,      19907,          0,          0, 
45 : parameter_uniq_02,      19908,      19909,      19910,      19911,          0,          0, 
46 : parameter_uniq_03,      19912,      19913,      19914,      19915,          0,          0, 
47 : parameter_uniq_04,      19916,      19917,      19918,      19919,          0,          0, 
48 : parameter_uniq_05,      19920,      19921,      19922,      19923,          0,          0, 
49 : eqstyle_change_th,      19924,      19925,      19926,      19927,          0,          0, 
50 : eqstyle_change_oh,      19928,      19929,      19930,      19931,          0,          0, 
51 : eqstyle_teeth_01_01,      19932,      19933,      19934,      19935,          0,          0, 
52 : eqstyle_teeth_01_02,      19936,      19937,      19938,      19939,          0,          0, 
53 : eqstyle_teeth_01_03,      19940,      19941,      19942,      19943,          0,          0, 
54 : eqstyle_teeth_01_04,      19944,      19945,      19946,      19947,          0,          0, 
55 : eqstyle_teeth_01_05,      19948,      19949,      19950,      19951,          0,          0, 
56 : eqstyle_teeth_02_01,      19952,      19953,      19954,      19955,          0,          0, 
57 : eqstyle_teeth_02_02,      19956,      19957,      19958,      19959,          0,          0, 
58 : eqstyle_teeth_02_03,      19960,      19961,      19962,      19963,          0,          0, 
59 : eqstyle_teeth_02_04,      19964,      19965,      19966,      19967,          0,          0, 
60 : eqstyle_teeth_02_05,      19968,      19969,      19970,      19971,          0,          0, 
61 : eqstyle_teeth_03_01,      19972,      19973,      19974,      19975,          0,          0, 
