           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      24452,      24453,      24454,      24455,          0,          0, 
 1 : unit_status_001,      24456,      24457,      24458,      24459,          0,          0, 
 2 : unit_status_002,      24460,      24461,      24462,      24463,          0,          0, 
 3 : unit_status_003,      24464,      24465,      24466,      24467,          0,          0, 
 4 : unit_status_004,      24468,      24469,      24470,      24471,          0,          0, 
 5 : unit_status_005,      24472,      24473,      24474,      24475,          0,          0, 
 6 : unit_status_006,      24476,      24477,      24478,      24479,          0,          0, 
 7 : unit_status_007,      24480,      24481,      24482,      24483,          0,          0, 
 8 : unit_status_008,      24484,      24485,      24486,      24487,          0,          0, 
 9 : unit_status_009,      24488,      24489,      24490,      24491,          0,          0, 
10 : unit_status_010,      24492,      24493,      24494,      24495,          0,          0, 
11 : unit_status_011,      24496,      24497,      24498,      24499,          0,          0, 
12 : unit_status_012,      24500,      24501,      24502,      24503,          0,          0, 
13 : unit_status_013,      24504,      24505,      24506,      24507,          0,          0, 
14 : unit_status_014,      24508,      24509,      24510,      24511,          0,          0, 
15 : unit_status_015,      24512,      24513,      24514,      24515,          0,          0, 
16 : unit_status_016,      24516,      24517,      24518,      24519,          0,          0, 
17 : unit_status_017,      24520,      24521,      24522,      24523,          0,          0, 
18 : unit_status_018,      24524,      24525,      24526,      24527,          0,          0, 
19 : unit_status_019,      24528,      24529,      24530,      24531,          0,          0, 
20 : unit_status_020,      24532,      24533,      24534,      24535,          0,          0, 
21 : unit_status_021,      24536,      24537,      24538,      24539,          0,          0, 
22 : unit_status_022,      24540,      24541,      24542,      24543,          0,          0, 
23 : unit_status_023,      24544,      24545,      24546,      24547,          0,          0, 
24 : unit_status_024,      24548,      24549,      24550,      24551,          0,          0, 
25 : unit_status_025,      24552,      24553,      24554,      24555,          0,          0, 
26 : unit_status_026,      24556,      24557,      24558,      24559,          0,          0, 
27 : unit_status_027,      24560,      24561,      24562,      24563,          0,          0, 
28 : unit_status_028,      24564,      24565,      24566,      24567,          0,          0, 
29 : unit_status_029,      24568,      24569,      24570,      24571,          0,          0, 
30 : unit_status_030,      24572,      24573,      24574,      24575,          0,          0, 
31 : unit_status_031,      24576,      24577,      24578,      24579,          0,          0, 
32 : unit_status_032,      24580,      24581,      24582,      24583,          0,          0, 
33 : unit_status_033,      24584,      24585,      24586,      24587,          0,          0, 
34 : unit_status_034,      24588,      24589,      24590,      24591,          0,          0, 
35 : unit_status_035,      24592,      24593,      24594,      24595,          0,          0, 
36 : unit_status_036,      24596,      24597,      24598,      24599,          0,          0, 
37 : unit_status_037,      24600,      24601,      24602,      24603,          0,          0, 
38 : unit_status_038,      24604,      24605,      24606,      24607,          0,          0, 
39 : unit_status_039,      24608,      24609,      24610,      24611,          0,          0, 
40 : unit_status_040,      24612,      24613,      24614,      24615,          0,          0, 
41 : unit_status_041,      24616,      24617,      24618,      24619,          0,          0, 
42 : unit_status_042,      24620,      24621,      24622,      24623,          0,          0, 
43 : unit_status_043,      24624,      24625,      24626,      24627,          0,          0, 
44 : unit_status_044,      24628,      24629,      24630,      24631,          0,          0, 
45 : unit_status_045,      24632,      24633,      24634,      24635,          0,          0, 
46 : unit_status_046,      24636,      24637,      24638,      24639,          0,          0, 
47 : unit_status_047,      24640,      24641,      24642,      24643,          0,          0, 
48 : unit_status_048,      24644,      24645,      24646,      24647,          0,          0, 
49 : unit_status_049,      24648,      24649,      24650,      24651,          0,          0, 
50 : unit_status_050,      24652,      24653,      24654,      24655,          0,          0, 
51 : unit_status_051,      24656,      24657,      24658,      24659,          0,          0, 
52 : unit_status_052,      24660,      24661,      24662,      24663,          0,          0, 
53 : unit_status_053,      24664,      24665,      24666,      24667,          0,          0, 
54 : unit_status_054,      24668,      24669,      24670,      24671,          0,          0, 
55 : unit_status_055,      24672,      24673,      24674,      24675,          0,          0, 
56 : unit_status_056,      24676,      24677,      24678,      24679,          0,          0, 
57 : unit_status_057,      24680,      24681,      24682,      24683,          0,          0, 
58 : unit_status_058,      24684,      24685,      24686,      24687,          0,          0, 
59 : unit_status_059,      24688,      24689,      24690,      24691,          0,          0, 
60 : unit_status_060,      24692,      24693,      24694,      24695,          0,          0, 
61 : unit_status_061,      24696,      24697,      24698,      24699,          0,          0, 
62 : unit_status_062,      24700,      24701,      24702,      24703,          0,          0, 
63 : unit_status_063,      24704,      24705,      24706,      24707,          0,          0, 
64 : unit_status_064,      24708,      24709,      24710,      24711,          0,          0, 
65 : union_status_001,      24712,      24713,      24714,      24715,          0,          0, 
66 : union_status_002,      24716,      24717,      24718,      24719,          0,          0, 
67 : union_status_003,      24720,      24721,      24722,      24723,          0,          0, 
