           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      24968,      24969,      24970,      24971,          0,          0, 
 1 : EV0720_001_BTL_00,      24972,      24973,      24974,      24975,          0,          0, 
 2 : quest_guest_01,      24976,      24977,      24978,      24979,          0,          0, 
 3 : quest_guest_02,      24980,      24981,      24982,      24983,          0,          0, 
 4 : quest_guest_03,      24984,      24985,      24986,      24987,          0,          0, 
 5 : quest_guest_04,      24988,      24989,      24990,      24991,          0,          0, 
 6 : quest_guest_05,      24992,      24993,      24994,      24995,          0,          0, 
 7 : quest_guest_07,      24996,      24997,      24998,      24999,          0,          0, 
 8 : quest_guest,      25000,      25001,      25002,      25003,          0,          0, 
 9 : quest_guest,      25004,      25005,      25006,      25007,          0,          0, 
10 : quest_guest_08,      25008,      25009,      25010,      25011,          0,          0, 
11 : quest_guest,      25012,      25013,      25014,      25015,          0,          0, 
12 : quest_guest,      25016,      25017,      25018,      25019,          0,          0, 
13 : quest_guest,      25020,      25021,      25022,      25023,          0,          0, 
14 : QE0090_001_BTL_00,      25024,      25025,      25026,      25027,          0,          0, 
15 : quest_guest,      25028,      25029,      25030,      25031,          0,          0, 
16 : QE0060_001_BTL_00,      25032,      25033,      25034,      25035,          0,          0, 
17 : quest_guest,      25036,      25037,      25038,      25039,          0,          0, 
18 : quest_guest,      25040,      25041,      25042,      25043,          0,          0, 
19 : quest_guest,      25044,      25045,      25046,      25047,          0,          0, 
20 : EV0210_001_BTL_01,      25048,      25049,      25050,      25051,          0,          0, 
21 : EV0210_001_BTL_02,      25052,      25053,      25054,      25055,          0,          0, 
22 : EV0210_001_BTL_03,      25056,      25057,      25058,      25059,          0,          0, 
23 : EV0310_001_BTL_01,      25060,      25061,      25062,      25063,          0,          0, 
24 : EV0310_001_BTL_02,      25064,      25065,      25066,      25067,          0,          0, 
25 : EV0310_001_BTL_03,      25068,      25069,      25070,      25071,          0,          0, 
26 : EV0310_001_BTL_04,      25072,      25073,      25074,      25075,          0,          0, 
27 : EV0720_001_BTL_01,      25076,      25077,      25078,      25079,          0,          0, 
28 : EV0720_001_BTL_02,      25080,      25081,      25082,      25083,          0,          0, 
29 : EV0720_001_BTL_03,      25084,      25085,      25086,      25087,          0,          0, 
30 : EV0720_001_BTL_04,      25088,      25089,      25090,      25091,          0,          0, 
31 : EV0720_001_BTL_05,      25092,      25093,      25094,      25095,          0,          0, 
32 : EV1150_001_BTL_01,      25096,      25097,      25098,      25099,          0,          0, 
33 : EV1150_001_BTL_02,      25100,      25101,      25102,      25103,          0,          0, 
34 : EV1150_001_BTL_03,      25104,      25105,      25106,      25107,          0,          0, 
35 : EV1150_001_BTL_04,      25108,      25109,      25110,      25111,          0,          0, 
36 : EV1150_001_BTL_05,      25112,      25113,      25114,      25115,          0,          0, 
37 : EV1150_001_BTL_06,      25116,      25117,      25118,      25119,          0,          0, 
38 : EV1155_001_BTL_01,      25120,      25121,      25122,      25123,          0,          0, 
39 : EV1170_001_BTL_01,      25124,      25125,      25126,      25127,          0,          0, 
40 : EV1170_001_BTL_02,      25128,      25129,      25130,      25131,          0,          0, 
41 : EV1170_001_BTL_03,      25132,      25133,      25134,      25135,          0,          0, 
42 : EV1170_001_BTL_04,      25136,      25137,      25138,      25139,          0,          0, 
43 : EV1170_001_BTL_05,      25140,      25141,      25142,      25143,          0,          0, 
44 : EV1170_001_BTL_06,      25144,      25145,      25146,      25147,          0,          0, 
45 : EV1175_001_BTL_01,      25148,      25149,      25150,      25151,          0,          0, 
46 : EV1190_001_BTL_01,      25152,      25153,      25154,      25155,          0,          0, 
47 : EV1190_001_BTL_02,      25156,      25157,      25158,      25159,          0,          0, 
48 : EV1190_001_BTL_03,      25160,      25161,      25162,      25163,          0,          0, 
49 : EV1190_001_BTL_04,      25164,      25165,      25166,      25167,          0,          0, 
50 : EV1190_001_BTL_05,      25168,      25169,      25170,      25171,          0,          0, 
51 : EV1195_001_BTL_01,      25172,      25173,      25174,      25175,          0,          0, 
52 : EV1210_001_BTL_01,      25176,      25177,      25178,      25179,          0,          0, 
53 : EV1210_001_BTL_02,      25180,      25181,      25182,      25183,          0,          0, 
54 : EV1210_001_BTL_03,      25184,      25185,      25186,      25187,          0,          0, 
55 : EV1210_001_BTL_04,      25188,      25189,      25190,      25191,          0,          0, 
56 : EV1210_001_BTL_05,      25192,      25193,      25194,      25195,          0,          0, 
