           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      25364,      25365,      25366,      25367,          0,          0, 
 1 : rush_sykes_l,      25368,      25369,      25370,      25371,          0,          0, 
 2 : irina_sykes_l,      25372,      25373,      25374,      25375,          0,          0, 
 3 : david_nassau_l,      25376,      25377,      25378,      25379,          0,          0, 
 4 : emma_honeywell_l,      25380,      25381,      25382,      25383,          0,          0, 
 5 : rush_sykes_s,      25384,      25385,      25386,      25387,          0,          0, 
 6 : irina_sykes_s,      25388,      25389,      25390,      25391,          0,          0, 
 7 : david_nassau_s,      25392,      25393,      25394,      25395,          0,          0, 
 8 : emma_honeywell_s,      25396,      25397,      25398,      25399,          0,          0, 
 9 : emma_honeywell,      25400,      25401,      25402,      25403,          0,          0, 
10 :       emmy,      25404,      25405,      25406,      25407,          0,          0, 
11 :    plocter,      25408,      25409,      25410,      25411,          0,          0, 
12 :      pagus,      25412,      25413,      25414,      25415,          0,          0, 
13 :     torgal,      25416,      25417,      25418,      25419,          0,          0, 
14 : duke_of_ghor,      25420,      25421,      25422,      25423,          0,          0, 
15 :     haruko,      25424,      25425,      25426,      25427,          0,          0, 
16 :      jager,      25428,      25429,      25430,      25431,          0,          0, 
17 : btl_pc_gabriel,      25432,      25433,      25434,      25435,          0,          0, 
18 : btl_pc_jorgen,      25436,      25437,      25438,      25439,          0,          0, 
19 : btl_pc_roberto,      25440,      25441,      25442,      25443,          0,          0, 
20 : btl_pc_loki,      25444,      25445,      25446,      25447,          0,          0, 
21 : btl_pc_paris,      25448,      25449,      25450,      25451,          0,          0, 
22 : btl_pc_rhagoh,      25452,      25453,      25454,      25455,          0,          0, 
23 : btl_pc_glenys,      25456,      25457,      25458,      25459,          0,          0, 
24 : btl_pc_violet,      25460,      25461,      25462,      25463,          0,          0, 
25 : btl_pc_nora,      25464,      25465,      25466,      25467,          0,          0, 
26 : btl_pc_khrynia,      25468,      25469,      25470,      25471,          0,          0, 
27 : btl_pc_kate,      25472,      25473,      25474,      25475,          0,          0, 
28 : btl_pc_sheryl,      25476,      25477,      25478,      25479,          0,          0, 
29 : btl_pc_baulson,      25480,      25481,      25482,      25483,          0,          0, 
30 : btl_pc_gaou,      25484,      25485,      25486,      25487,          0,          0, 
31 : btl_pc_zolean,      25488,      25489,      25490,      25491,          0,          0, 
32 : btl_pc_yuniver,      25492,      25493,      25494,      25495,          0,          0, 
33 : btl_pc_darien,      25496,      25497,      25498,      25499,          0,          0, 
34 : btl_pc_sibal,      25500,      25501,      25502,      25503,          0,          0, 
35 : btl_pc_leshau,      25504,      25505,      25506,      25507,          0,          0, 
36 : btl_pc_maddox,      25508,      25509,      25510,      25511,          0,          0, 
37 : btl_pc_allan,      25512,      25513,      25514,      25515,          0,          0, 
38 : btl_pc_caedmon,      25516,      25517,      25518,      25519,          0,          0, 
39 : btl_pc_leucetius,      25520,      25521,      25522,      25523,          0,          0, 
40 : btl_pc_wyngale,      25524,      25525,      25526,      25527,          0,          0, 
41 : jhon_sykes_l,      25528,      25529,      25530,      25531,          0,          0, 
42 : jhon_sykes_s,      25532,      25533,      25534,      25535,          0,          0, 
43 : marina_sykes_l,      25536,      25537,      25538,      25539,          0,          0, 
44 : marina_sykes_s,      25540,      25541,      25542,      25543,          0,          0, 
45 : duke_of_coobine,      25544,      25545,      25546,      25547,          0,          0, 
46 : god_emperor,      25548,      25549,      25550,      25551,          0,          0, 
47 : oswald_ermeien_l,      25552,      25553,      25554,      25555,          0,          0, 
48 : oswald_ermeien_s,      25556,      25557,      25558,      25559,          0,          0, 
49 : marion_marshall_l,      25560,      25561,      25562,      25563,          0,          0, 
50 : marion_marshall_s,      25564,      25565,      25566,      25567,          0,          0, 
