           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      30920,      30921,      30922,      30923,          0,          0, 
 1 :       sude,      30924,      30925,      30926,      30927,          0,          0, 
 2 : sword_m_WMA030_custom,      30928,      30929,      30930,      30931,          0,          0, 
 3 : sword_m_WMA040_custom,      30932,      30933,      30934,      30935,          0,          0, 
 4 : Leraje_0_custom,      30936,      30937,      30938,      30939,          0,          0, 
 5 : remnant_axe____WXC030_bilqis,      30940,      30941,      30942,      30943,          0,          0, 
 6 : remnant_lance__WME040_schiavona,      30944,      30945,      30946,      30947,          0,          0, 
 7 : remnant_sword__WLA060_koorinoken,      30948,      30949,      30950,      30951,          0,          0, 
 8 : remnant_sword__WXA030_obushidan,      30952,      30953,      30954,      30955,          0,          0, 
 9 : remnant_katana_WMB040_gekabijin,      30956,      30957,      30958,      30959,          0,          0, 
10 : remnant_hammer_WMD040_daidaros,      30960,      30961,      30962,      30963,          0,          0, 
11 : remnant_lance__WLE050_maristosk,      30964,      30965,      30966,      30967,          0,          0, 
12 : remnant_staff__WSF040_ribathi_staff,      30968,      30969,      30970,      30971,          0,          0, 
13 : remnant_accessory_wonder_bangle,      30972,      30973,      30974,      30975,          0,          0, 
14 : remnant_accessory_rubber_soul,      30976,      30977,      30978,      30979,          0,          0, 
15 : remnant_accessory_dead_heart,      30980,      30981,      30982,      30983,          0,          0, 
16 : remnant_accessory_ria_fall,      30984,      30985,      30986,      30987,          0,          0, 
17 : remnant_accessory_bunshin_remnant,      30988,      30989,      30990,      30991,          0,          0, 
18 : remnant_accessory_shirma_rurion,      30992,      30993,      30994,      30995,          0,          0, 
19 : remnant_accessory_blood_challis,      30996,      30997,      30998,      30999,          0,          0, 
20 : remnant_accessory_heartache,      31000,      31001,      31002,      31003,          0,          0, 
21 : remnant_axe____WXC030_bilqis________kai,      31004,      31005,      31006,      31007,          0,          0, 
22 : remnant_axe____WXC030_bilqis________shin,      31008,      31009,      31010,      31011,          0,          0, 
23 : remnant_lance__WME040_schiavona_____kai,      31012,      31013,      31014,      31015,          0,          0, 
24 : remnant_lance__WME040_schiavona_____shin,      31016,      31017,      31018,      31019,          0,          0, 
25 : remnant_sword__WLA060_koorinoken____kai,      31020,      31021,      31022,      31023,          0,          0, 
26 : remnant_sword__WLA060_koorinoken____shin,      31024,      31025,      31026,      31027,          0,          0, 
27 : remnant_sword__WXA030_obushidan_____kai,      31028,      31029,      31030,      31031,          0,          0, 
28 : remnant_sword__WXA030_obushidan_____shin,      31032,      31033,      31034,      31035,          0,          0, 
29 : remnant_katana_WMB040_gekabijin_____kai,      31036,      31037,      31038,      31039,          0,          0, 
30 : remnant_katana_WMB040_gekabijin_____shin,      31040,      31041,      31042,      31043,          0,          0, 
31 : remnant_hammer_WMD040_daidaros______kai,      31044,      31045,      31046,      31047,          0,          0, 
32 : remnant_hammer_WMD040_daidaros______shin,      31048,      31049,      31050,      31051,          0,          0, 
33 : remnant_lance__WLE050_maristosk_____kai,      31052,      31053,      31054,      31055,          0,          0, 
34 : remnant_lance__WLE050_maristosk_____shin,      31056,      31057,      31058,      31059,          0,          0, 
35 : remnant_staff__WSF040_ribathi_staff_kai,      31060,      31061,      31062,      31063,          0,          0, 
36 : remnant_staff__WSF040_ribathi_staff_shin,      31064,      31065,      31066,      31067,          0,          0, 
37 : valeria_heart,      31068,      31069,      31070,      31071,          0,          0, 
38 : ancientry_sword_WMA070,      31072,      31073,      31074,      31075,          0,          0, 
39 : ancientry_katana_WXB020,      31076,      31077,      31078,      31079,          0,          0, 
40 : ancientry_axe_WSC030,      31080,      31081,      31082,      31083,          0,          0, 
41 : ancientry_hammer_WLD050,      31084,      31085,      31086,      31087,          0,          0, 
42 : ancientry_lance_WSE030,      31088,      31089,      31090,      31091,          0,          0, 
43 : ancientry_staff_WMF050,      31092,      31093,      31094,      31095,          0,          0, 
44 : ancientry_shield_WMG040,      31096,      31097,      31098,      31099,          0,          0, 
45 : ancientry_accessories_01,      31100,      31101,      31102,      31103,          0,          0, 
46 : ancientry_accessories_02,      31104,      31105,      31106,      31107,          0,          0, 
47 : ancientry_accessories_03,      31108,      31109,      31110,      31111,          0,          0, 
48 : QE0130_E_000,      31112,      31113,      31114,      31115,          0,          0, 
49 : QE0470_E_002,      31116,      31117,      31118,      31119,          0,          0, 
50 : QEOTHR_E_000,      31120,      31121,      31122,      31123,          0,          0, 
51 : CPFBTL_E_000,      31124,      31125,      31126,      31127,          0,          0, 
52 : QE0470_E_000,      31128,      31129,      31130,      31131,          0,          0, 
53 : event_eq_accessory_001,      31132,      31133,      31134,      31135,          0,          0, 
54 : event_eq_accessory_002,      31136,      31137,      31138,      31139,          0,          0, 
55 : event_eq_accessory_003,      31140,      31141,      31142,      31143,          0,          0, 
56 : sword_s_WSA010_normal,      31144,      31145,      31146,      31147,          0,          0, 
57 : sword_s_WSA010_battle,      31148,      31149,      31150,      31151,          0,          0, 
58 : sword_s_WSA010_warriors,      31152,      31153,      31154,      31155,          0,          0, 
59 : sword_s_WSA010_brave,      31156,      31157,      31158,      31159,          0,          0, 
60 : sword_s_WSA010_elite,      31160,      31161,      31162,      31163,          0,          0, 
61 : sword_s_WSA010_champion,      31164,      31165,      31166,      31167,          0,          0, 
62 : sword_s_WSA010_warload,      31168,      31169,      31170,      31171,          0,          0, 
63 : sword_s_WSA010_divine,      31172,      31173,      31174,      31175,          0,          0, 
64 : sword_s_WSA010_dragon,      31176,      31177,      31178,      31179,          0,          0, 
65 : sword_s_WSA010_crystal,      31180,      31181,      31182,      31183,          0,          0, 
66 : sword_s_WSA010_damascus,      31184,      31185,      31186,      31187,          0,          0, 
67 : sword_s_WSA010_antique,      31188,      31189,      31190,      31191,          0,          0, 
68 : sword_s_WSA020_normal,      31192,      31193,      31194,      31195,          0,          0, 
69 : sword_s_WSA020_quality,      31196,      31197,      31198,      31199,          0,          0, 
70 : sword_s_WSA020_fine,      31200,      31201,      31202,      31203,          0,          0, 
71 : sword_s_WSA020_power,      31204,      31205,      31206,      31207,          0,          0, 
72 : sword_s_WSA020_magic,      31208,      31209,      31210,      31211,          0,          0, 
73 : sword_s_WSA020_antique,      31212,      31213,      31214,      31215,          0,          0, 
74 : sword_s_WSA030_normal,      31216,      31217,      31218,      31219,          0,          0, 
75 : sword_s_WSA030_quality,      31220,      31221,      31222,      31223,          0,          0, 
76 : sword_s_WSA030_fine,      31224,      31225,      31226,      31227,          0,          0, 
77 : sword_s_WSA030_fire,      31228,      31229,      31230,      31231,          0,          0, 
78 : sword_s_WSA030_thunder,      31232,      31233,      31234,      31235,          0,          0, 
79 : sword_s_WSA030_ice,      31236,      31237,      31238,      31239,          0,          0, 
80 : sword_s_WSA030_acid,      31240,      31241,      31242,      31243,          0,          0, 
81 : sword_s_WSA030_poison,      31244,      31245,      31246,      31247,          0,          0, 
82 : sword_s_WSA030_defense,      31248,      31249,      31250,      31251,          0,          0, 
83 : sword_s_WSA030_reflect,      31252,      31253,      31254,      31255,          0,          0, 
84 : sword_s_WSA030_antique,      31256,      31257,      31258,      31259,          0,          0, 
85 : sword_s_uniq_01,      31260,      31261,      31262,      31263,          0,          0, 
86 : sword_s_uniq_02,      31264,      31265,      31266,      31267,          0,          0, 
87 : sword_s_uniq_03,      31268,      31269,      31270,      31271,          0,          0, 
88 : sword_s_uniq_04,      31272,      31273,      31274,      31275,          0,          0, 
89 : sword_s_uniq_05,      31276,      31277,      31278,      31279,          0,          0, 
90 : sword_s_uniq_06,      31280,      31281,      31282,      31283,          0,          0, 
91 : sword_s_uniq_07,      31284,      31285,      31286,      31287,          0,          0, 
92 : sword_s_uniq_08,      31288,      31289,      31290,      31291,          0,          0, 
93 : sword_s_uniq_09,      31292,      31293,      31294,      31295,          0,          0, 
94 : sword_s_uniq,      31296,      31297,      31298,      31299,          0,          0, 
95 : sword_s_uniq,      31300,      31301,      31302,      31303,          0,          0, 
96 : sword_s_uniq,      31304,      31305,      31306,      31307,          0,          0, 
97 : sword_s_uniq,      31308,      31309,      31310,      31311,          0,          0, 
98 : sword_s_uniq,      31312,      31313,      31314,      31315,          0,          0, 
99 : sword_s_uniq,      31316,      31317,      31318,      31319,          0,          0, 
100 : sword_m_WMA010_normal,      31320,      31321,      31322,      31323,          0,          0, 
101 : sword_m_WMA010_battle,      31324,      31325,      31326,      31327,          0,          0, 
102 : sword_m_WMA010_warriors,      31328,      31329,      31330,      31331,          0,          0, 
103 : sword_m_WMA010_brave,      31332,      31333,      31334,      31335,          0,          0, 
104 : sword_m_WMA010_elite,      31336,      31337,      31338,      31339,          0,          0, 
105 : sword_m_WMA010_champion,      31340,      31341,      31342,      31343,          0,          0, 
106 : sword_m_WMA010_warload,      31344,      31345,      31346,      31347,          0,          0, 
107 : sword_m_WMA010_divine,      31348,      31349,      31350,      31351,          0,          0, 
108 : sword_m_WMA010_dragon,      31352,      31353,      31354,      31355,          0,          0, 
109 : sword_m_WMA010_crystal,      31356,      31357,      31358,      31359,          0,          0, 
110 : sword_m_WMA010_damascus,      31360,      31361,      31362,      31363,          0,          0, 
111 : sword_m_WMA010_antique,      31364,      31365,      31366,      31367,          0,          0, 
112 : sword_m_WMA020_normal,      31368,      31369,      31370,      31371,          0,          0, 
113 : sword_m_WMA020_battle,      31372,      31373,      31374,      31375,          0,          0, 
114 : sword_m_WMA020_warriors,      31376,      31377,      31378,      31379,          0,          0, 
115 : sword_m_WMA020_brave,      31380,      31381,      31382,      31383,          0,          0, 
116 : sword_m_WMA020_elite,      31384,      31385,      31386,      31387,          0,          0, 
117 : sword_m_WMA020_champion,      31388,      31389,      31390,      31391,          0,          0, 
118 : sword_m_WMA020_warload,      31392,      31393,      31394,      31395,          0,          0, 
119 : sword_m_WMA020_divine,      31396,      31397,      31398,      31399,          0,          0, 
120 : sword_m_WMA020_dragon,      31400,      31401,      31402,      31403,          0,          0, 
121 : sword_m_WMA020_crystal,      31404,      31405,      31406,      31407,          0,          0, 
122 : sword_m_WMA020_damascus,      31408,      31409,      31410,      31411,          0,          0, 
123 : sword_m_WMA020_antique,      31412,      31413,      31414,      31415,          0,          0, 
124 : sword_m_WMA050_normal,      31416,      31417,      31418,      31419,          0,          0, 
125 : sword_m_WMA050_battle,      31420,      31421,      31422,      31423,          0,          0, 
126 : sword_m_WMA050_warriors,      31424,      31425,      31426,      31427,          0,          0, 
127 : sword_m_WMA050_brave,      31428,      31429,      31430,      31431,          0,          0, 
128 : sword_m_WMA050_elite,      31432,      31433,      31434,      31435,          0,          0, 
129 : sword_m_WMA050_champion,      31436,      31437,      31438,      31439,          0,          0, 
130 : sword_m_WMA050_warload,      31440,      31441,      31442,      31443,          0,          0, 
131 : sword_m_WMA050_divine,      31444,      31445,      31446,      31447,          0,          0, 
132 : sword_m_WMA050_dragon,      31448,      31449,      31450,      31451,          0,          0, 
133 : sword_m_WMA050_crystal,      31452,      31453,      31454,      31455,          0,          0, 
134 : sword_m_WMA050_damascus,      31456,      31457,      31458,      31459,          0,          0, 
135 : sword_m_WMA050_antique,      31460,      31461,      31462,      31463,          0,          0, 
136 : sword_m_WMA030_normal,      31464,      31465,      31466,      31467,          0,          0, 
137 : sword_m_WMA030_quality,      31468,      31469,      31470,      31471,          0,          0, 
138 : sword_m_WMA030_fine,      31472,      31473,      31474,      31475,          0,          0, 
139 : sword_m_WMA030_power,      31476,      31477,      31478,      31479,          0,          0, 
140 : sword_m_WMA030_magic,      31480,      31481,      31482,      31483,          0,          0, 
141 : sword_m_WMA030_antique,      31484,      31485,      31486,      31487,          0,          0, 
142 : sword_m_WMA040_normal,      31488,      31489,      31490,      31491,          0,          0, 
143 : sword_m_WMA040_quality,      31492,      31493,      31494,      31495,          0,          0, 
144 : sword_m_WMA040_fine,      31496,      31497,      31498,      31499,          0,          0, 
145 : sword_m_WMA040_power,      31500,      31501,      31502,      31503,          0,          0, 
146 : sword_m_WMA040_magic,      31504,      31505,      31506,      31507,          0,          0, 
147 : sword_m_WMA040_antique,      31508,      31509,      31510,      31511,          0,          0, 
148 : sword_m_WMA060_normal,      31512,      31513,      31514,      31515,          0,          0, 
149 : sword_m_WMA060_quality,      31516,      31517,      31518,      31519,          0,          0, 
150 : sword_m_WMA060_fine,      31520,      31521,      31522,      31523,          0,          0, 
151 : sword_m_WMA060_fire,      31524,      31525,      31526,      31527,          0,          0, 
152 : sword_m_WMA060_thunder,      31528,      31529,      31530,      31531,          0,          0, 
153 : sword_m_WMA060_ice,      31532,      31533,      31534,      31535,          0,          0, 
154 : sword_m_WMA060_acid,      31536,      31537,      31538,      31539,          0,          0, 
155 : sword_m_WMA060_poison,      31540,      31541,      31542,      31543,          0,          0, 
156 : sword_m_WMA060_defense,      31544,      31545,      31546,      31547,          0,          0, 
157 : sword_m_WMA060_reflect,      31548,      31549,      31550,      31551,          0,          0, 
158 : sword_m_WMA060_antique,      31552,      31553,      31554,      31555,          0,          0, 
159 : sword_m_uniq_01,      31556,      31557,      31558,      31559,          0,          0, 
160 : sword_m_uniq_02,      31560,      31561,      31562,      31563,          0,          0, 
161 : sword_m_uniq_03,      31564,      31565,      31566,      31567,          0,          0, 
162 : sword_m_uniq_04,      31568,      31569,      31570,      31571,          0,          0, 
163 : sword_m_uniq_05,      31572,      31573,      31574,      31575,          0,          0, 
164 : sword_m_uniq_06,      31576,      31577,      31578,      31579,          0,          0, 
165 : sword_m_uniq_07,      31580,      31581,      31582,      31583,          0,          0, 
166 : sword_m_uniq_08,      31584,      31585,      31586,      31587,          0,          0, 
167 : sword_m_uniq_09,      31588,      31589,      31590,      31591,          0,          0, 
168 : sword_m_uniq,      31592,      31593,      31594,      31595,          0,          0, 
169 : sword_m_uniq,      31596,      31597,      31598,      31599,          0,          0, 
170 : sword_m_uniq,      31600,      31601,      31602,      31603,          0,          0, 
171 : sword_m_uniq,      31604,      31605,      31606,      31607,          0,          0, 
172 : sword_l_WLA010_normal,      31608,      31609,      31610,      31611,          0,          0, 
173 : sword_l_WLA010_battle,      31612,      31613,      31614,      31615,          0,          0, 
174 : sword_l_WLA010_warriors,      31616,      31617,      31618,      31619,          0,          0, 
175 : sword_l_WLA010_brave,      31620,      31621,      31622,      31623,          0,          0, 
176 : sword_l_WLA010_elite,      31624,      31625,      31626,      31627,          0,          0, 
177 : sword_l_WLA010_champion,      31628,      31629,      31630,      31631,          0,          0, 
178 : sword_l_WLA010_warload,      31632,      31633,      31634,      31635,          0,          0, 
