           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      36492,      36493,      36494,      36495,          0,          0, 
 1 :      sword,      36496,      36497,      36498,      36499,          0,          0, 
 2 :    sword_S,      36500,      36501,      36502,      36503,          0,          0, 
 3 :    sword_M,      36504,      36505,      36506,      36507,          0,          0, 
 4 :    sword_L,      36508,      36509,      36510,      36511,          0,          0, 
 5 :   sword_LL,      36512,      36513,      36514,      36515,          0,          0, 
 6 :     katana,      36516,      36517,      36518,      36519,          0,          0, 
 7 :   katana_S,      36520,      36521,      36522,      36523,          0,          0, 
 8 :   katana_M,      36524,      36525,      36526,      36527,          0,          0, 
 9 :   katana_L,      36528,      36529,      36530,      36531,          0,          0, 
10 :  katana_LL,      36532,      36533,      36534,      36535,          0,          0, 
11 :        axe,      36536,      36537,      36538,      36539,          0,          0, 
12 :      axe_S,      36540,      36541,      36542,      36543,          0,          0, 
13 :      axe_M,      36544,      36545,      36546,      36547,          0,          0, 
14 :      axe_L,      36548,      36549,      36550,      36551,          0,          0, 
15 :     axe_LL,      36552,      36553,      36554,      36555,          0,          0, 
16 :       mace,      36556,      36557,      36558,      36559,          0,          0, 
17 :     mace_S,      36560,      36561,      36562,      36563,          0,          0, 
18 :     mace_M,      36564,      36565,      36566,      36567,          0,          0, 
19 :     mace_L,      36568,      36569,      36570,      36571,          0,          0, 
20 :    mace_LL,      36572,      36573,      36574,      36575,          0,          0, 
21 :      spear,      36576,      36577,      36578,      36579,          0,          0, 
22 :    spear_S,      36580,      36581,      36582,      36583,          0,          0, 
23 :    spear_M,      36584,      36585,      36586,      36587,          0,          0, 
24 :    spear_L,      36588,      36589,      36590,      36591,          0,          0, 
25 :   spear_LL,      36592,      36593,      36594,      36595,          0,          0, 
26 :      staff,      36596,      36597,      36598,      36599,          0,          0, 
27 :    staff_S,      36600,      36601,      36602,      36603,          0,          0, 
28 :    staff_M,      36604,      36605,      36606,      36607,          0,          0, 
29 :    staff_L,      36608,      36609,      36610,      36611,          0,          0, 
30 :   staff_LL,      36612,      36613,      36614,      36615,          0,          0, 
31 :     shield,      36616,      36617,      36618,      36619,          0,          0, 
32 :   shield_S,      36620,      36621,      36622,      36623,          0,          0, 
33 :   shield_M,      36624,      36625,      36626,      36627,          0,          0, 
34 :   shield_L,      36628,      36629,      36630,      36631,          0,          0, 
35 :  shield_LL,      36632,      36633,      36634,      36635,          0,          0, 
36 :  accessory,      36636,      36637,      36638,      36639,          0,          0, 
37 : accessory_ring,      36640,      36641,      36642,      36643,          0,          0, 
38 : accessory_necklace,      36644,      36645,      36646,      36647,          0,          0, 
39 : accessory_earring,      36648,      36649,      36650,      36651,          0,          0, 
40 : accessory_bracelet,      36652,      36653,      36654,      36655,          0,          0, 
41 : accessory_belt,      36656,      36657,      36658,      36659,          0,          0, 
42 : accessory_anklet,      36660,      36661,      36662,      36663,          0,          0, 
43 : accessory_strap,      36664,      36665,      36666,      36667,          0,          0, 
44 : accessory_Jewel,      36668,      36669,      36670,      36671,          0,          0, 
45 : accessory_etc,      36672,      36673,      36674,      36675,          0,          0, 

