           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       1043,          0,          0, 
 1 : freefight_type_A,       1044,          0,          0, 
 2 : freefight_type_B,       1045,          0,          0, 
 3 : freefight_type_C,       1046,          0,          0, 
 4 : freefight_type_D,       1047,          0,          0, 
 5 : freefight_type_E,       1048,          0,          0, 
 6 : freefight_type_F,       1049,          0,          0, 
 7 : freefight_type_G,       1050,          0,          0, 
 8 : freefight_type_H,       1051,          0,          0, 
 9 : freefight_type_I,       1052,          0,          0, 
10 : freefight_type_J,       1053,          0,          0, 
11 : freefight_type_K,       1054,          0,          0, 
12 : freefight_type_L,       1055,          0,          0, 
13 : freefight_type_M,       1056,          0,          0, 
14 : freefight_type_O,       1057,          0,          0, 
15 : freefight_type_QUEST1,       1058,          0,          0, 
16 : freefight_type_QUEST2,       1059,          0,          0, 
17 : butsu_attack_type_A,       1060,          0,          0, 
18 : butsu_attack_type_B,       1061,          0,          0, 
19 : butsu_attack_type_C,       1062,          0,          0, 
20 : butsu_attack_type_D,       1063,          0,          0, 
21 : butsu_attack_type_E,       1064,          0,          0, 
22 : butsu_attack_type_F,       1065,          0,          0, 
23 : butsu_attack_type_G,       1066,          0,          0, 
24 : butsu_attack_type_H,       1067,          0,          0, 
25 : butsu_attack_type_I,       1068,          0,          0, 
26 : butsu_attack_type_J,       1069,          0,          0, 
27 : butsu_attack_type_K,       1070,          0,          0, 
28 : butsu_attack_type_L,       1071,          0,          0, 
29 : butsu_attack_type_M,       1072,          0,          0, 
30 : butsu_attack_type_O,       1073,          0,          0, 
31 : butsu_attack_type_P,       1074,          0,          0, 
32 : butsu_attack_type_Q,       1075,          0,          0, 
33 : butsu_attack_type_R,       1076,          0,          0, 
34 : butsu_attack_type_S,       1077,          0,          0, 
35 : butsu_attack_type_T,       1078,          0,          0, 
36 : butsu_attack_type_U,       1079,          0,          0, 
37 : butsu_attack_type_V,       1080,          0,          0, 
38 : butsu_attack_type_W,       1081,          0,          0, 
39 : butsu_attack_type_X,       1082,          0,          0, 
40 : butsu_attack_type_Y,       1083,          0,          0, 
41 : mahou_attack_type_A,       1084,          0,          0, 
42 : mahou_attack_type_B,       1085,          0,          0, 
43 : mahou_attack_type_C,       1086,          0,          0, 
44 : mahou_attack_type_D,       1087,          0,          0, 
45 : mahou_attack_type_E,       1088,          0,          0, 
46 : mahou_attack_type_F,       1089,          0,          0, 
47 : mahou_attack_type_G,       1090,          0,          0, 
48 : mahou_attack_type_H,       1091,          0,          0, 
49 : mahou_attack_type_I,       1092,          0,          0, 
50 : mahou_attack_type_J,       1093,          0,          0, 
51 : mahou_attack_type_K,       1094,          0,          0, 
52 : mahou_attack_type_L,       1095,          0,          0, 
53 : mahou_attack_type_M,       1096,          0,          0, 
54 : mahou_attack_type_O,       1097,          0,          0, 
55 : mahou_attack_type_P,       1098,          0,          0, 
56 : mahou_attack_type_Q,       1099,          0,          0, 
57 : mahou_attack_type_R,       1100,          0,          0, 
58 : mahou_attack_type_S,       1101,          0,          0, 
59 : mahou_attack_type_T,       1102,          0,          0, 
60 : mahou_attack_type_U,       1103,          0,          0, 
61 : mahou_attack_type_V,       1104,          0,          0, 
62 : butsu_guard_type_A,       1105,          0,          0, 
63 : butsu_guard_type_B,       1106,          0,          0, 
64 : butsu_guard_type_C,       1107,          0,          0, 
65 : butsu_guard_type_D,       1108,          0,          0, 
66 : butsu_guard_type_E,       1109,          0,          0, 
67 : butsu_guard_type_F,       1110,          0,          0, 
68 : butsu_guard_type_G,       1111,          0,          0, 
69 : butsu_guard_type_H,       1112,          0,          0, 
70 : butsu_guard_type_I,       1113,          0,          0, 
71 : butsu_guard_type_J,       1114,          0,          0, 
72 : mahou_guard_type_A,       1115,          0,          0, 
73 : mahou_guard_type_B,       1116,          0,          0, 
74 : mahou_guard_type_C,       1117,          0,          0, 
75 : mahou_guard_type_D,       1118,          0,          0, 
76 : mahou_guard_type_E,       1119,          0,          0, 
77 : mahou_guard_type_F,       1120,          0,          0, 
78 : mahou_guard_type_G,       1121,          0,          0, 
79 : mahou_guard_type_H,       1122,          0,          0, 
80 : mahou_guard_type_I,       1123,          0,          0, 
81 : mahou_guard_type_J,       1124,          0,          0, 
82 : mahou_guard_type_K,       1125,          0,          0, 
83 : mahou_guard_type_L,       1126,          0,          0, 
84 : speed_type_A,       1127,          0,          0, 
85 : speed_type_B,       1128,          0,          0, 
86 : speed_type_C,       1129,          0,          0, 
87 : speed_type_D,       1130,          0,          0, 
88 : speed_type_E,       1131,          0,          0, 
89 : speed_type_F,       1132,          0,          0, 
90 : speed_type_G,       1133,          0,          0, 
91 : speed_type_H,       1134,          0,          0, 
92 : speed_type_I,       1135,          0,          0, 
93 : speed_type_J,       1136,          0,          0, 
94 : speed_type_QUEST1,       1137,          0,          0, 
95 : heal_type_A,       1138,          0,          0, 
96 : heal_type_B,       1139,          0,          0, 
97 : heal_type_C,       1140,          0,          0, 
98 : heal_type_D,       1141,          0,          0, 
99 : heal_type_E,       1142,          0,          0, 
100 : heal_type_F,       1143,          0,          0, 
101 : heal_type_QUEST1,       1144,          0,          0, 
102 : btl_jin_ex,       1145,          0,          0, 
103 : btl_jin_ex,       1146,          0,          0, 
104 : btl_jin_ex,       1147,          0,          0, 
105 : btl_jin_ex,       1148,          0,          0, 

