           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      36756,      36757,      36758,      36759,          0,          0, 
 1 : low_zako_001,      36760,      36761,      36762,      36763,          0,          0, 
 2 : low_zako_002,      36764,      36765,      36766,      36767,          0,          0, 
 3 : low_zako_003,      36768,      36769,      36770,      36771,          0,          0, 
 4 : low_zako_004,      36772,      36773,      36774,      36775,          0,          0, 
 5 : low_zako_005,      36776,      36777,      36778,      36779,          0,          0, 
 6 : low_zako_006,      36780,      36781,      36782,      36783,          0,          0, 
 7 : low_zako_007,      36784,      36785,      36786,      36787,          0,          0, 
 8 : low_zako_008,      36788,      36789,      36790,      36791,          0,          0, 
 9 : low_zako_009,      36792,      36793,      36794,      36795,          0,          0, 
10 : low_zako_010,      36796,      36797,      36798,      36799,          0,          0, 
11 : low_zako_011,      36800,      36801,      36802,      36803,          0,          0, 
12 : low_zako_012,      36804,      36805,      36806,      36807,          0,          0, 
13 : low_zako_013,      36808,      36809,      36810,      36811,          0,          0, 
14 : low_zako_014,      36812,      36813,      36814,      36815,          0,          0, 
15 : low_zako_015,      36816,      36817,      36818,      36819,          0,          0, 
16 : low_zako_016,      36820,      36821,      36822,      36823,          0,          0, 
17 : low_named_001,      36824,      36825,      36826,      36827,          0,          0, 
18 : low_named_002,      36828,      36829,      36830,      36831,          0,          0, 
19 : low_named_003,      36832,      36833,      36834,      36835,          0,          0, 
20 : low_named_004,      36836,      36837,      36838,      36839,          0,          0, 
21 : low_named_031,      36840,      36841,      36842,      36843,          0,          0, 
22 : low_named_032,      36844,      36845,      36846,      36847,          0,          0, 
23 : low_material_001,      36848,      36849,      36850,      36851,          0,          0, 
24 : low_material_002,      36852,      36853,      36854,      36855,          0,          0, 
25 : low_material_003,      36856,      36857,      36858,      36859,          0,          0, 
26 : low_material_004,      36860,      36861,      36862,      36863,          0,          0, 
27 : low_material_005,      36864,      36865,      36866,      36867,          0,          0, 
28 : low_material_006,      36868,      36869,      36870,      36871,          0,          0, 
29 : low_material_007,      36872,      36873,      36874,      36875,          0,          0, 
30 : low_material_008,      36876,      36877,      36878,      36879,          0,          0, 
31 : low_material_009,      36880,      36881,      36882,      36883,          0,          0, 
32 : low_material_010,      36884,      36885,      36886,      36887,          0,          0, 
33 : low_material_011,      36888,      36889,      36890,      36891,          0,          0, 
34 : low_material_012,      36892,      36893,      36894,      36895,          0,          0, 
35 : low_material_013,      36896,      36897,      36898,      36899,          0,          0, 
36 : low_material_014,      36900,      36901,      36902,      36903,          0,          0, 
37 : low_material_015,      36904,      36905,      36906,      36907,          0,          0, 
38 : low_material_016,      36908,      36909,      36910,      36911,          0,          0, 
39 : low_material_017,      36912,      36913,      36914,      36915,          0,          0, 
40 : low_material_018,      36916,      36917,      36918,      36919,          0,          0, 
41 : low_material_019,      36920,      36921,      36922,      36923,          0,          0, 
42 : low_material_020,      36924,      36925,      36926,      36927,          0,          0, 
43 : low_material_021,      36928,      36929,      36930,      36931,          0,          0, 
44 : low_material_022,      36932,      36933,      36934,      36935,          0,          0, 
45 : low_material_023,      36936,      36937,      36938,      36939,          0,          0, 
46 : low_material_024,      36940,      36941,      36942,      36943,          0,          0, 
47 : low_material_025,      36944,      36945,      36946,      36947,          0,          0, 
48 : low_material_026,      36948,      36949,      36950,      36951,          0,          0, 
49 : low_material_027,      36952,      36953,      36954,      36955,          0,          0, 
50 : low_material_028,      36956,      36957,      36958,      36959,          0,          0, 
51 : low_eq_001,      36960,      36961,      36962,      36963,          0,          0, 
52 : low_eq_002,      36964,      36965,      36966,      36967,          0,          0, 
53 : low_member_num_001,      36968,      36969,      36970,      36971,          0,          0, 
54 : low_member_num_002,      36972,      36973,      36974,      36975,          0,          0, 
55 : low_member_personal_001,      36976,      36977,      36978,      36979,          0,          0, 
56 : low_member_personal_002,      36980,      36981,      36982,      36983,          0,          0, 
57 : low_member_personal_003,      36984,      36985,      36986,      36987,          0,          0, 
58 : low_member_personal_004,      36988,      36989,      36990,      36991,          0,          0, 
59 : low_member_personal_005,      36992,      36993,      36994,      36995,          0,          0, 
60 : low_member_personal_006,      36996,      36997,      36998,      36999,          0,          0, 
61 : low_btl_chain_008,      37000,      37001,      37002,      37003,          0,          0, 
62 : low_btl_treasure_008,      37004,      37005,      37006,      37007,          0,          0, 
