           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      37564,      37565,      37566,      37567,          0,          0, 
 1 : type_dougu,      37568,      37569,      37570,      37571,          0,          0, 
 2 : type_material,      37572,      37573,      37574,      37575,          0,          0, 
 3 : type_daiji,      37576,      37577,      37578,      37579,          0,          0, 
 4 :  type_mons,      37580,      37581,      37582,      37583,          0,          0, 
 5 : type_dougu_yakusou,      37584,      37585,      37586,      37587,          0,          0, 
 6 : type_dougu_potion,      37588,      37589,      37590,      37591,          0,          0, 
 7 : type_dougu_cream,      37592,      37593,      37594,      37595,          0,          0, 
 8 : type_dougu_handhibom,      37596,      37597,      37598,      37599,          0,          0, 
 9 : type_dougu_scroll,      37600,      37601,      37602,      37603,          0,          0, 
10 : type_dougu_spatk,      37604,      37605,      37606,      37607,          0,          0, 
11 : type_material_kobutu,      37608,      37609,      37610,      37611,          0,          0, 
12 : type_material_syokubutu,      37612,      37613,      37614,      37615,          0,          0, 
13 : type_material_kikinzoku,      37616,      37617,      37618,      37619,          0,          0, 
14 : type_material_tennen,      37620,      37621,      37622,      37623,          0,          0, 
15 : type_material_doubutu,      37624,      37625,      37626,      37627,          0,          0, 
16 : type_material_etc,      37628,      37629,      37630,      37631,          0,          0, 
17 : type_daiji_daijinamono,      37632,      37633,      37634,      37635,          0,          0, 
18 : type_daiji_gijyutusyo,      37636,      37637,      37638,      37639,          0,          0, 
19 : type_mons_ikedori,      37640,      37641,      37642,      37643,          0,          0, 

