           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      37644,      37645,      37646,      37647,          0,          0, 
 1 : taimanohiseki,      37648,      37649,      37650,      37651,          0,          0, 
 2 : MAR_KEY_001,      37652,      37653,      37654,      37655,          0,          0, 
 3 : QE0040_D_000,      37656,      37657,      37658,      37659,          0,          0, 
 4 : QE0080_D_000,      37660,      37661,      37662,      37663,          0,          0, 
 5 : QE0090_D_000,      37664,      37665,      37666,      37667,          0,          0, 
 6 : QE0120_D_001,      37668,      37669,      37670,      37671,          0,          0, 
 7 : QE0160_D_000,      37672,      37673,      37674,      37675,          0,          0, 
 8 : QE0170_D_000,      37676,      37677,      37678,      37679,          0,          0, 
 9 : QE0170_D_001,      37680,      37681,      37682,      37683,          0,          0, 
10 : QE0170_D_002,      37684,      37685,      37686,      37687,          0,          0, 
11 : QE0170_D_003,      37688,      37689,      37690,      37691,          0,          0, 
12 : QE0170_D_004,      37692,      37693,      37694,      37695,          0,          0, 
13 : QE0170_D_005,      37696,      37697,      37698,      37699,          0,          0, 
14 : QE0170_D_006,      37700,      37701,      37702,      37703,          0,          0, 
15 : QE0170_D_007,      37704,      37705,      37706,      37707,          0,          0, 
16 : QE0180_D_000,      37708,      37709,      37710,      37711,          0,          0, 
17 : QE0190_D_000,      37712,      37713,      37714,      37715,          0,          0, 
18 : QE0220_D_000,      37716,      37717,      37718,      37719,          0,          0, 
19 : QE0220_D_001,      37720,      37721,      37722,      37723,          0,          0, 
20 : QE0230_D_000,      37724,      37725,      37726,      37727,          0,          0, 
21 : QE0230_D_001,      37728,      37729,      37730,      37731,          0,          0, 
22 : QE0230_D_002,      37732,      37733,      37734,      37735,          0,          0, 
23 : QE0230_D_003,      37736,      37737,      37738,      37739,          0,          0, 
24 : QE0230_D_004,      37740,      37741,      37742,      37743,          0,          0, 
25 : QE0230_D_005,      37744,      37745,      37746,      37747,          0,          0, 
26 : QE0230_D_006,      37748,      37749,      37750,      37751,          0,          0, 
27 : QE0240_D_000,      37752,      37753,      37754,      37755,          0,          0, 
28 : QE0250_D_000,      37756,      37757,      37758,      37759,          0,          0, 
29 : QE0250_D_001,      37760,      37761,      37762,      37763,          0,          0, 
30 : QE0250_D_002,      37764,      37765,      37766,      37767,          0,          0, 
31 : QE0250_D_003,      37768,      37769,      37770,      37771,          0,          0, 
32 : QE0260_D_000,      37772,      37773,      37774,      37775,          0,          0, 
33 : QE0260_D_001,      37776,      37777,      37778,      37779,          0,          0, 
34 : QE0270_D_000,      37780,      37781,      37782,      37783,          0,          0, 
35 : QE0290_D_000,      37784,      37785,      37786,      37787,          0,          0, 
36 : QE0300_D_000,      37788,      37789,      37790,      37791,          0,          0, 
37 : QE0310_D_000,      37792,      37793,      37794,      37795,          0,          0, 
38 : QE0390_D_000,      37796,      37797,      37798,      37799,          0,          0, 
39 : QE0440_D_000,      37800,      37801,      37802,      37803,          0,          0, 
40 : QE0460_D_000,      37804,      37805,      37806,      37807,          0,          0, 
41 : QE0460_D_001,      37808,      37809,      37810,      37811,          0,          0, 
42 : QE0470_D_000,      37812,      37813,      37814,      37815,          0,          0, 
43 : QE0650_D_000,      37816,      37817,      37818,      37819,          0,          0, 
44 : QE0650_D_001,      37820,      37821,      37822,      37823,          0,          0, 
45 : QE1020_D_000,      37824,      37825,      37826,      37827,          0,          0, 
46 : QE1020_D_002,      37828,      37829,      37830,      37831,          0,          0, 
47 : QE1020_D_003,      37832,      37833,      37834,      37835,          0,          0, 
48 : QE1020_D_004,      37836,      37837,      37838,      37839,          0,          0, 
49 : QE1020_D_005,      37840,      37841,      37842,      37843,          0,          0, 
50 : QE1020_D_006,      37844,      37845,      37846,      37847,          0,          0, 
51 : QE1070_D_000,      37848,      37849,      37850,      37851,          0,          0, 
52 : QE1080_D_000,      37852,      37853,      37854,      37855,          0,          0, 
53 : QE1090_D_000,      37856,      37857,      37858,      37859,          0,          0, 
54 : QE1100_D_000,      37860,      37861,      37862,      37863,          0,          0, 
55 : QE1250_D_000,      37864,      37865,      37866,      37867,          0,          0, 
56 : QE0120_R_000,      37868,      37869,      37870,      37871,          0,          0, 
57 : QE0130_R_000,      37872,      37873,      37874,      37875,          0,          0, 
58 : QE0000_M_001,      37876,      37877,      37878,      37879,          0,          0, 
59 : QE0000_M_002,      37880,      37881,      37882,      37883,          0,          0, 
60 : QE0540_R_000,      37884,      37885,      37886,      37887,          0,          0, 
61 : QE0000_M_003,      37888,      37889,      37890,      37891,          0,          0, 
62 :   QEOTHR_D,      37892,      37893,      37894,      37895,          0,          0, 
63 :   QEOTHR_D,      37896,      37897,      37898,      37899,          0,          0, 
64 :   QEOTHR_D,      37900,      37901,      37902,      37903,          0,          0, 
65 :   QEOTHR_D,      37904,      37905,      37906,      37907,          0,          0, 
66 :   QEOTHR_D,      37908,      37909,      37910,      37911,          0,          0, 
67 :   QEOTHR_D,      37912,      37913,      37914,      37915,          0,          0, 
68 :   QEOTHR_D,      37916,      37917,      37918,      37919,          0,          0, 
69 :   QEOTHR_D,      37920,      37921,      37922,      37923,          0,          0, 
70 :   QEOTHR_D,      37924,      37925,      37926,      37927,          0,          0, 
71 :   QEOTHR_D,      37928,      37929,      37930,      37931,          0,          0, 
72 :   QEOTHR_D,      37932,      37933,      37934,      37935,          0,          0, 
73 :   QEOTHR_D,      37936,      37937,      37938,      37939,          0,          0, 
74 :   QEOTHR_D,      37940,      37941,      37942,      37943,          0,          0, 
75 :   QEOTHR_D,      37944,      37945,      37946,      37947,          0,          0, 
76 :   QEOTHR_D,      37948,      37949,      37950,      37951,          0,          0, 
77 :   QEOTHR_D,      37952,      37953,      37954,      37955,          0,          0, 
78 :   QEOTHR_D,      37956,      37957,      37958,      37959,          0,          0, 
79 :   QEOTHR_D,      37960,      37961,      37962,      37963,          0,          0, 
80 :   QEOTHR_D,      37964,      37965,      37966,      37967,          0,          0, 
81 :   QEOTHR_D,      37968,      37969,      37970,      37971,          0,          0, 
82 :   QEOTHR_D,      37972,      37973,      37974,      37975,          0,          0, 
83 :   QEOTHR_D,      37976,      37977,      37978,      37979,          0,          0, 
84 :   QEOTHR_D,      37980,      37981,      37982,      37983,          0,          0, 
85 :   QEOTHR_D,      37984,      37985,      37986,      37987,          0,          0, 
86 :   QEOTHR_D,      37988,      37989,      37990,      37991,          0,          0, 
87 :   QEOTHR_D,      37992,      37993,      37994,      37995,          0,          0, 
88 :   QEOTHR_D,      37996,      37997,      37998,      37999,          0,          0, 
89 :   QEOTHR_D,      38000,      38001,      38002,      38003,          0,          0, 
90 :   QEOTHR_D,      38004,      38005,      38006,      38007,          0,          0, 
91 :   QEOTHR_D,      38008,      38009,      38010,      38011,          0,          0, 
92 :   QEOTHR_D,      38012,      38013,      38014,      38015,          0,          0, 
93 :   QEOTHR_D,      38016,      38017,      38018,      38019,          0,          0, 
94 :   QEOTHR_D,      38020,      38021,      38022,      38023,          0,          0, 
95 :   QEOTHR_D,      38024,      38025,      38026,      38027,          0,          0, 
96 :   QEOTHR_D,      38028,      38029,      38030,      38031,          0,          0, 
