           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      39320,      39321,      39322,      39323,          0,          0, 
 1 : dougu_yakusou_1_01,      39324,      39325,      39326,      39327,          0,          0, 
 2 : dougu_yakusou_1_02,      39328,      39329,      39330,      39331,          0,          0, 
 3 : dougu_yakusou_1_03,      39332,      39333,      39334,      39335,          0,          0, 
 4 : dougu_yakusou_1_04,      39336,      39337,      39338,      39339,          0,          0, 
 5 : dougu_yakusou_1_05,      39340,      39341,      39342,      39343,          0,          0, 
 6 : dougu_yakusou_1_06,      39344,      39345,      39346,      39347,          0,          0, 
 7 : dougu_yakusou_2_01,      39348,      39349,      39350,      39351,          0,          0, 
 8 : dougu_yakusou_2_02,      39352,      39353,      39354,      39355,          0,          0, 
 9 : dougu_yakusou_2_03,      39356,      39357,      39358,      39359,          0,          0, 
10 : dougu_yakusou_2_04,      39360,      39361,      39362,      39363,          0,          0, 
11 : dougu_potion_1_01,      39364,      39365,      39366,      39367,          0,          0, 
12 : dougu_potion_1_02,      39368,      39369,      39370,      39371,          0,          0, 
13 : dougu_potion_1_03,      39372,      39373,      39374,      39375,          0,          0, 
14 : dougu_potion_2_01,      39376,      39377,      39378,      39379,          0,          0, 
15 : dougu_potion_2_02,      39380,      39381,      39382,      39383,          0,          0, 
16 : dougu_potion_2_03,      39384,      39385,      39386,      39387,          0,          0, 
17 : dougu_potion_2_04,      39388,      39389,      39390,      39391,          0,          0, 
18 : dougu_potion_2_05,      39392,      39393,      39394,      39395,          0,          0, 
19 : dougu_potion_2_06,      39396,      39397,      39398,      39399,          0,          0, 
20 : dougu_cream_1_01,      39400,      39401,      39402,      39403,          0,          0, 
21 : dougu_cream_1_02,      39404,      39405,      39406,      39407,          0,          0, 
22 : dougu_cream_1_03,      39408,      39409,      39410,      39411,          0,          0, 
23 : dougu_cream_1_04,      39412,      39413,      39414,      39415,          0,          0, 
24 : dougu_cream_2_01,      39416,      39417,      39418,      39419,          0,          0, 
25 : dougu_cream_2_02,      39420,      39421,      39422,      39423,          0,          0, 
26 : dougu_cream_2_03,      39424,      39425,      39426,      39427,          0,          0, 
27 : dougu_cream_2_04,      39428,      39429,      39430,      39431,          0,          0, 
28 : dougu_cream_2_05,      39432,      39433,      39434,      39435,          0,          0, 
29 : dougu_cream_2_06,      39436,      39437,      39438,      39439,          0,          0, 
30 : dougu_handhibom_1_01,      39440,      39441,      39442,      39443,          0,          0, 
31 : dougu_handhibom_1_02,      39444,      39445,      39446,      39447,          0,          0, 
32 : dougu_handhibom_1_03,      39448,      39449,      39450,      39451,          0,          0, 
33 : dougu_handhibom_1_04,      39452,      39453,      39454,      39455,          0,          0, 
34 : dougu_handhibom_1_05,      39456,      39457,      39458,      39459,          0,          0, 
35 : dougu_handhibom_2_01,      39460,      39461,      39462,      39463,          0,          0, 
36 : dougu_handhibom_2_02,      39464,      39465,      39466,      39467,          0,          0, 
37 : dougu_handhibom_2_03,      39468,      39469,      39470,      39471,          0,          0, 
38 : dougu_handhibom_2_04,      39472,      39473,      39474,      39475,          0,          0, 
39 : dougu_handhibom_2_05,      39476,      39477,      39478,      39479,          0,          0, 
40 : dougu_handhibom_2_06,      39480,      39481,      39482,      39483,          0,          0, 
41 : dougu_scroll_1_01,      39484,      39485,      39486,      39487,          0,          0, 
42 : dougu_scroll_1_02,      39488,      39489,      39490,      39491,          0,          0, 
43 : dougu_scroll_1_03,      39492,      39493,      39494,      39495,          0,          0, 
44 : dougu_scroll_1_04,      39496,      39497,      39498,      39499,          0,          0, 
45 : dougu_scroll_2_01,      39500,      39501,      39502,      39503,          0,          0, 
46 : dougu_scroll_2_02,      39504,      39505,      39506,      39507,          0,          0, 
47 : dougu_scroll_2_03,      39508,      39509,      39510,      39511,          0,          0, 
48 : dougu_scroll_2_04,      39512,      39513,      39514,      39515,          0,          0, 
49 : dougu_scroll_2_05,      39516,      39517,      39518,      39519,          0,          0, 
50 : dougu_scroll_2_06,      39520,      39521,      39522,      39523,          0,          0, 
51 : dougu_spatk_1_01,      39524,      39525,      39526,      39527,          0,          0, 
52 : dougu_spatk_1_02,      39528,      39529,      39530,      39531,          0,          0, 
53 : dougu_spatk_1_03,      39532,      39533,      39534,      39535,          0,          0, 
54 : dougu_spatk_2_01,      39536,      39537,      39538,      39539,          0,          0, 
55 : dougu_spatk_2_02,      39540,      39541,      39542,      39543,          0,          0, 
56 : dougu_spatk_2_03,      39544,      39545,      39546,      39547,          0,          0, 
57 : dougu_spatk_2_04,      39548,      39549,      39550,      39551,          0,          0, 
58 : dougu_spatk_2_05,      39552,      39553,      39554,      39555,          0,          0, 
59 : QE0820_S_000,      39556,      39557,      39558,      39559,          0,          0, 
60 : QE1020_S_000,      39560,      39561,      39562,      39563,          0,          0, 

