           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      39564,      39565,      39566,      39567,          0,          0, 
 1 : QE0820_M_000,      39568,      39569,      39570,      39571,          0,          0, 
 2 : QE0820_M_001,      39572,      39573,      39574,      39575,          0,          0, 
 3 : QE0820_M_002,      39576,      39577,      39578,      39579,          0,          0, 
 4 : QE0820_M_003,      39580,      39581,      39582,      39583,          0,          0, 
 5 : QE0820_M_004,      39584,      39585,      39586,      39587,          0,          0, 
 6 : QE0840_M_000,      39588,      39589,      39590,      39591,          0,          0, 
 7 : QE1020_M_000,      39592,      39593,      39594,      39595,          0,          0, 
 8 : QEOTHR_M_000,      39596,      39597,      39598,      39599,          0,          0, 
 9 : nakama_talk_001,      39600,      39601,      39602,      39603,          0,          0, 
10 : recipe_weapon_001,      39604,      39605,      39606,      39607,          0,          0, 
11 : recipe_weapon_002,      39608,      39609,      39610,      39611,          0,          0, 
12 : recipe_weapon_003,      39612,      39613,      39614,      39615,          0,          0, 
13 : recipe_weapon_004,      39616,      39617,      39618,      39619,          0,          0, 
14 : recipe_weapon_005,      39620,      39621,      39622,      39623,          0,          0, 
15 : recipe_weapon_006,      39624,      39625,      39626,      39627,          0,          0, 
16 : recipe_weapon_007,      39628,      39629,      39630,      39631,          0,          0, 
17 : recipe_weapon_008,      39632,      39633,      39634,      39635,          0,          0, 
18 : recipe_weapon_009,      39636,      39637,      39638,      39639,          0,          0, 
19 : recipe_weapon_010,      39640,      39641,      39642,      39643,          0,          0, 
20 : recipe_weapon_011,      39644,      39645,      39646,      39647,          0,          0, 
21 : recipe_weapon_012,      39648,      39649,      39650,      39651,          0,          0, 
22 : recipe_weapon_013,      39652,      39653,      39654,      39655,          0,          0, 
23 : recipe_weapon_014,      39656,      39657,      39658,      39659,          0,          0, 
24 : recipe_weapon_015,      39660,      39661,      39662,      39663,          0,          0, 
25 : recipe_weapon_016,      39664,      39665,      39666,      39667,          0,          0, 
26 : recipe_weapon_017,      39668,      39669,      39670,      39671,          0,          0, 
27 : recipe_weapon_018,      39672,      39673,      39674,      39675,          0,          0, 
28 : recipe_weapon_019,      39676,      39677,      39678,      39679,          0,          0, 
29 : recipe_weapon_020,      39680,      39681,      39682,      39683,          0,          0, 
30 : recipe_weapon_021,      39684,      39685,      39686,      39687,          0,          0, 
31 : recipe_weapon_022,      39688,      39689,      39690,      39691,          0,          0, 
32 : recipe_weapon_023,      39692,      39693,      39694,      39695,          0,          0, 
33 : recipe_weapon_024,      39696,      39697,      39698,      39699,          0,          0, 
34 : recipe_weapon_025,      39700,      39701,      39702,      39703,          0,          0, 
35 : recipe_weapon_026,      39704,      39705,      39706,      39707,          0,          0, 
36 : recipe_weapon_027,      39708,      39709,      39710,      39711,          0,          0, 
37 : recipe_weapon_028,      39712,      39713,      39714,      39715,          0,          0, 
38 : recipe_weapon_029,      39716,      39717,      39718,      39719,          0,          0, 
39 : recipe_weapon_030,      39720,      39721,      39722,      39723,          0,          0, 
40 : recipe_weapon_031,      39724,      39725,      39726,      39727,          0,          0, 
41 : recipe_weapon_032,      39728,      39729,      39730,      39731,          0,          0, 
42 : recipe_weapon_033,      39732,      39733,      39734,      39735,          0,          0, 
43 : recipe_weapon_034,      39736,      39737,      39738,      39739,          0,          0, 
44 : recipe_weapon_035,      39740,      39741,      39742,      39743,          0,          0, 
45 : recipe_weapon_036,      39744,      39745,      39746,      39747,          0,          0, 
46 : recipe_weapon_037,      39748,      39749,      39750,      39751,          0,          0, 
47 : recipe_weapon_038,      39752,      39753,      39754,      39755,          0,          0, 
48 : recipe_weapon_039,      39756,      39757,      39758,      39759,          0,          0, 
49 : recipe_weapon_040,      39760,      39761,      39762,      39763,          0,          0, 
50 : recipe_weapon_041,      39764,      39765,      39766,      39767,          0,          0, 
51 : recipe_weapon_042,      39768,      39769,      39770,      39771,          0,          0, 
52 : recipe_weapon_043,      39772,      39773,      39774,      39775,          0,          0, 
53 : recipe_weapon_044,      39776,      39777,      39778,      39779,          0,          0, 
54 : recipe_weapon_045,      39780,      39781,      39782,      39783,          0,          0, 
55 : recipe_weapon_046,      39784,      39785,      39786,      39787,          0,          0, 
56 : recipe_weapon_047,      39788,      39789,      39790,      39791,          0,          0, 
57 : recipe_weapon_048,      39792,      39793,      39794,      39795,          0,          0, 
58 : recipe_weapon_049,      39796,      39797,      39798,      39799,          0,          0, 
59 : recipe_weapon_050,      39800,      39801,      39802,      39803,          0,          0, 
60 : recipe_weapon_051,      39804,      39805,      39806,      39807,          0,          0, 
61 : recipe_weapon_052,      39808,      39809,      39810,      39811,          0,          0, 
62 : recipe_weapon_053,      39812,      39813,      39814,      39815,          0,          0, 
63 : recipe_weapon_054,      39816,      39817,      39818,      39819,          0,          0, 
64 : recipe_weapon_055,      39820,      39821,      39822,      39823,          0,          0, 
65 : recipe_weapon_056,      39824,      39825,      39826,      39827,          0,          0, 
66 : recipe_weapon_057,      39828,      39829,      39830,      39831,          0,          0, 
67 : recipe_weapon_058,      39832,      39833,      39834,      39835,          0,          0, 
68 : recipe_weapon_059,      39836,      39837,      39838,      39839,          0,          0, 
69 : recipe_weapon_060,      39840,      39841,      39842,      39843,          0,          0, 
70 : recipe_weapon_061,      39844,      39845,      39846,      39847,          0,          0, 
71 : recipe_weapon_062,      39848,      39849,      39850,      39851,          0,          0, 
72 : recipe_weapon_063,      39852,      39853,      39854,      39855,          0,          0, 
73 : recipe_weapon_064,      39856,      39857,      39858,      39859,          0,          0, 
74 : recipe_necklace_001,      39860,      39861,      39862,      39863,          0,          0, 
75 : recipe_necklace_002,      39864,      39865,      39866,      39867,          0,          0, 
76 : recipe_necklace_003,      39868,      39869,      39870,      39871,          0,          0, 
77 : recipe_necklace_004,      39872,      39873,      39874,      39875,          0,          0, 
78 : recipe_necklace_005,      39876,      39877,      39878,      39879,          0,          0, 
79 : recipe_necklace_006,      39880,      39881,      39882,      39883,          0,          0, 
80 : recipe_necklace_007,      39884,      39885,      39886,      39887,          0,          0, 
81 : recipe_necklace_008,      39888,      39889,      39890,      39891,          0,          0, 
82 : recipe_ring_001,      39892,      39893,      39894,      39895,          0,          0, 
83 : recipe_ring_002,      39896,      39897,      39898,      39899,          0,          0, 
84 : recipe_ring_003,      39900,      39901,      39902,      39903,          0,          0, 
85 : recipe_ring_004,      39904,      39905,      39906,      39907,          0,          0, 
86 : recipe_ring_005,      39908,      39909,      39910,      39911,          0,          0, 
87 : recipe_ring_006,      39912,      39913,      39914,      39915,          0,          0, 
88 : recipe_ring_007,      39916,      39917,      39918,      39919,          0,          0, 
89 : recipe_ring_008,      39920,      39921,      39922,      39923,          0,          0, 
90 : recipe_bangle_001,      39924,      39925,      39926,      39927,          0,          0, 
91 : recipe_bangle_002,      39928,      39929,      39930,      39931,          0,          0, 
92 : recipe_bangle_003,      39932,      39933,      39934,      39935,          0,          0, 
93 : recipe_bangle_004,      39936,      39937,      39938,      39939,          0,          0, 
94 : recipe_bangle_005,      39940,      39941,      39942,      39943,          0,          0, 
95 : recipe_bangle_006,      39944,      39945,      39946,      39947,          0,          0, 
96 : recipe_bangle_007,      39948,      39949,      39950,      39951,          0,          0, 
97 : recipe_bangle_008,      39952,      39953,      39954,      39955,          0,          0, 
98 : recipe_earring_001,      39956,      39957,      39958,      39959,          0,          0, 
99 : recipe_earring_002,      39960,      39961,      39962,      39963,          0,          0, 
100 : recipe_earring_003,      39964,      39965,      39966,      39967,          0,          0, 
101 : recipe_earring_004,      39968,      39969,      39970,      39971,          0,          0, 
102 : recipe_earring_005,      39972,      39973,      39974,      39975,          0,          0, 
103 : recipe_earring_006,      39976,      39977,      39978,      39979,          0,          0, 
104 : recipe_earring_007,      39980,      39981,      39982,      39983,          0,          0, 
105 : recipe_earring_008,      39984,      39985,      39986,      39987,          0,          0, 
106 : recipe_belt_001,      39988,      39989,      39990,      39991,          0,          0, 
107 : recipe_belt_002,      39992,      39993,      39994,      39995,          0,          0, 
108 : recipe_belt_003,      39996,      39997,      39998,      39999,          0,          0, 
109 : recipe_belt_004,      40000,      40001,      40002,      40003,          0,          0, 
110 : recipe_belt_005,      40004,      40005,      40006,      40007,          0,          0, 
111 : recipe_belt_006,      40008,      40009,      40010,      40011,          0,          0, 
112 : recipe_belt_007,      40012,      40013,      40014,      40015,          0,          0, 
113 : recipe_belt_008,      40016,      40017,      40018,      40019,          0,          0, 
114 : recipe_anklet_001,      40020,      40021,      40022,      40023,          0,          0, 
115 : recipe_anklet_002,      40024,      40025,      40026,      40027,          0,          0, 
116 : recipe_anklet_003,      40028,      40029,      40030,      40031,          0,          0, 
117 : recipe_anklet_004,      40032,      40033,      40034,      40035,          0,          0, 
118 : recipe_anklet_005,      40036,      40037,      40038,      40039,          0,          0, 
119 : recipe_anklet_006,      40040,      40041,      40042,      40043,          0,          0, 
120 : recipe_anklet_007,      40044,      40045,      40046,      40047,          0,          0, 
121 : recipe_anklet_008,      40048,      40049,      40050,      40051,          0,          0, 
122 : recipe_amulet_001,      40052,      40053,      40054,      40055,          0,          0, 
123 : recipe_amulet_002,      40056,      40057,      40058,      40059,          0,          0, 
124 : recipe_amulet_003,      40060,      40061,      40062,      40063,          0,          0, 
125 : recipe_amulet_004,      40064,      40065,      40066,      40067,          0,          0, 
126 : recipe_amulet_005,      40068,      40069,      40070,      40071,          0,          0, 
127 : recipe_amulet_006,      40072,      40073,      40074,      40075,          0,          0, 
128 : recipe_amulet_007,      40076,      40077,      40078,      40079,          0,          0, 
129 : recipe_amulet_008,      40080,      40081,      40082,      40083,          0,          0, 
130 : recipe_jewel_001,      40084,      40085,      40086,      40087,          0,          0, 
131 : recipe_jewel_002,      40088,      40089,      40090,      40091,          0,          0, 
132 : recipe_jewel_003,      40092,      40093,      40094,      40095,          0,          0, 
133 : recipe_jewel_004,      40096,      40097,      40098,      40099,          0,          0, 
134 : recipe_jewel_005,      40100,      40101,      40102,      40103,          0,          0, 
135 : recipe_jewel_006,      40104,      40105,      40106,      40107,          0,          0, 
136 : recipe_jewel_007,      40108,      40109,      40110,      40111,          0,          0, 
137 : recipe_jewel_008,      40112,      40113,      40114,      40115,          0,          0, 
138 : recipe_blueprint_001,      40116,      40117,      40118,      40119,          0,          0, 
139 : recipe_blueprint_002,      40120,      40121,      40122,      40123,          0,          0, 
140 : recipe_blueprint_003,      40124,      40125,      40126,      40127,          0,          0, 
141 : recipe_blueprint_004,      40128,      40129,      40130,      40131,          0,          0, 
142 : recipe_blueprint_005,      40132,      40133,      40134,      40135,          0,          0, 
143 : recipe_blueprint_006,      40136,      40137,      40138,      40139,          0,          0, 
144 : recipe_blueprint_007,      40140,      40141,      40142,      40143,          0,          0, 
145 : recipe_blueprint_008,      40144,      40145,      40146,      40147,          0,          0, 
146 : recipe_blueprint_009,      40148,      40149,      40150,      40151,          0,          0, 
147 : recipe_blueprint_010,      40152,      40153,      40154,      40155,          0,          0, 
148 : recipe_blueprint_011,      40156,      40157,      40158,      40159,          0,          0, 
149 : recipe_blueprint_012,      40160,      40161,      40162,      40163,          0,          0, 
150 : recipe_blueprint_013,      40164,      40165,      40166,      40167,          0,          0, 
151 : recipe_blueprint_014,      40168,      40169,      40170,      40171,          0,          0, 
152 : recipe_blueprint_015,      40172,      40173,      40174,      40175,          0,          0, 
153 : recipe_blueprint_016,      40176,      40177,      40178,      40179,          0,          0, 
154 : recipe_blueprint_017,      40180,      40181,      40182,      40183,          0,          0, 
155 : recipe_blueprint_018,      40184,      40185,      40186,      40187,          0,          0, 
156 : recipe_blueprint_019,      40188,      40189,      40190,      40191,          0,          0, 
157 : recipe_blueprint_020,      40192,      40193,      40194,      40195,          0,          0, 
158 : recipe_blueprint_021,      40196,      40197,      40198,      40199,          0,          0, 
159 : recipe_blueprint_022,      40200,      40201,      40202,      40203,          0,          0, 
160 : recipe_blueprint_023,      40204,      40205,      40206,      40207,          0,          0, 
161 : recipe_blueprint_024,      40208,      40209,      40210,      40211,          0,          0, 
162 : recipe_blueprint_025,      40212,      40213,      40214,      40215,          0,          0, 
163 : recipe_blueprint_026,      40216,      40217,      40218,      40219,          0,          0, 
164 : recipe_blueprint_027,      40220,      40221,      40222,      40223,          0,          0, 
165 : recipe_blueprint_028,      40224,      40225,      40226,      40227,          0,          0, 
166 : recipe_blueprint_029,      40228,      40229,      40230,      40231,          0,          0, 
167 : recipe_blueprint_030,      40232,      40233,      40234,      40235,          0,          0, 
168 : recipe_blueprint_031,      40236,      40237,      40238,      40239,          0,          0, 
169 : recipe_blueprint_032,      40240,      40241,      40242,      40243,          0,          0, 
170 : recipe_blueprint_033,      40244,      40245,      40246,      40247,          0,          0, 
171 : recipe_blueprint_034,      40248,      40249,      40250,      40251,          0,          0, 
172 : recipe_blueprint_035,      40252,      40253,      40254,      40255,          0,          0, 
173 : recipe_blueprint_036,      40256,      40257,      40258,      40259,          0,          0, 
174 : recipe_blueprint_037,      40260,      40261,      40262,      40263,          0,          0, 
175 : recipe_blueprint_038,      40264,      40265,      40266,      40267,          0,          0, 
176 : recipe_blueprint_039,      40268,      40269,      40270,      40271,          0,          0, 
177 : recipe_blueprint_040,      40272,      40273,      40274,      40275,          0,          0, 
178 : recipe_blueprint_041,      40276,      40277,      40278,      40279,          0,          0, 
179 : recipe_blueprint_042,      40280,      40281,      40282,      40283,          0,          0, 
180 : recipe_blueprint_043,      40284,      40285,      40286,      40287,          0,          0, 
181 : recipe_blueprint_044,      40288,      40289,      40290,      40291,          0,          0, 
182 : recipe_blueprint_045,      40292,      40293,      40294,      40295,          0,          0, 
183 : recipe_blueprint_046,      40296,      40297,      40298,      40299,          0,          0, 
184 : recipe_blueprint_047,      40300,      40301,      40302,      40303,          0,          0, 
185 : recipe_blueprint_048,      40304,      40305,      40306,      40307,          0,          0, 
186 : recipe_blueprint_049,      40308,      40309,      40310,      40311,          0,          0, 
187 : recipe_blueprint_050,      40312,      40313,      40314,      40315,          0,          0, 
188 : recipe_blueprint_051,      40316,      40317,      40318,      40319,          0,          0, 
189 : recipe_blueprint_052,      40320,      40321,      40322,      40323,          0,          0, 
190 : recipe_blueprint_053,      40324,      40325,      40326,      40327,          0,          0, 
191 : recipe_blueprint_054,      40328,      40329,      40330,      40331,          0,          0, 
192 : recipe_blueprint_055,      40332,      40333,      40334,      40335,          0,          0, 
193 : recipe_blueprint_056,      40336,      40337,      40338,      40339,          0,          0, 
194 : recipe_blueprint_057,      40340,      40341,      40342,      40343,          0,          0, 
195 : recipe_blueprint_058,      40344,      40345,      40346,      40347,          0,          0, 
196 : recipe_blueprint_059,      40348,      40349,      40350,      40351,          0,          0, 
197 : recipe_blueprint_060,      40352,      40353,      40354,      40355,          0,          0, 
198 : recipe_blueprint_061,      40356,      40357,      40358,      40359,          0,          0, 
199 : recipe_blueprint_062,      40360,      40361,      40362,      40363,          0,          0, 
200 : recipe_blueprint_063,      40364,      40365,      40366,      40367,          0,          0, 
