           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      42900,      42901,      42902,      42903,          0,          0, 
 1 : mons_MF0010_100_clr0,      42904,      42905,      42906,      42907,          0,          0, 
 2 : mons_MF0010_100_clr1,      42908,      42909,      42910,      42911,          0,          0, 
 3 : mons_MF0010_100_clr2,      42912,      42913,      42914,      42915,          0,          0, 
 4 : mons_MF0011_120_clr0,      42916,      42917,      42918,      42919,          0,          0, 
 5 : mons_MF0011_120_clr1,      42920,      42921,      42922,      42923,          0,          0, 
 6 : mons_MF0011_120_clr2,      42924,      42925,      42926,      42927,          0,          0, 
 7 : mons_MF0010_NM_001,      42928,      42929,      42930,      42931,          0,          0, 
 8 : mons_MF0010_NM_002,      42932,      42933,      42934,      42935,          0,          0, 
 9 : mons_MF0010_NM_003,      42936,      42937,      42938,      42939,          0,          0, 
10 : mons_MF0010_NM_004,      42940,      42941,      42942,      42943,          0,          0, 
11 : mons_MF0010_NM_005,      42944,      42945,      42946,      42947,          0,          0, 
12 : mons_MF0010_NM_006,      42948,      42949,      42950,      42951,          0,          0, 
13 : mons_MF0010_NM_007,      42952,      42953,      42954,      42955,          0,          0, 
14 : mons_MF0010_NM_008,      42956,      42957,      42958,      42959,          0,          0, 
15 : mons_MG0010_100_clr0,      42960,      42961,      42962,      42963,          0,          0, 
16 : mons_MG0010_100_clr1,      42964,      42965,      42966,      42967,          0,          0, 
17 : mons_MG0010_100_clr2,      42968,      42969,      42970,      42971,          0,          0, 
18 : mons_MG0010_NM_001,      42972,      42973,      42974,      42975,          0,          0, 
19 : mons_MG0010_NM_002,      42976,      42977,      42978,      42979,          0,          0, 
20 : mons_MG0010_NM_003,      42980,      42981,      42982,      42983,          0,          0, 
21 : mons_MG0010_NM_004,      42984,      42985,      42986,      42987,          0,          0, 
22 : mons_MG0010_NM_005,      42988,      42989,      42990,      42991,          0,          0, 
23 : mons_MG0010_NM_006,      42992,      42993,      42994,      42995,          0,          0, 
24 : mons_MG0010_NM_007,      42996,      42997,      42998,      42999,          0,          0, 
25 : mons_MG0010_NM_008,      43000,      43001,      43002,      43003,          0,          0, 
26 : mons_MJ0010_100_clr0,      43004,      43005,      43006,      43007,          0,          0, 
27 : mons_MJ0010_100_clr1,      43008,      43009,      43010,      43011,          0,          0, 
28 : mons_MJ0010_100_clr2,      43012,      43013,      43014,      43015,          0,          0, 
29 : mons_MJ0011_120_clr0,      43016,      43017,      43018,      43019,          0,          0, 
30 : mons_MJ0011_120_clr1,      43020,      43021,      43022,      43023,          0,          0, 
31 : mons_MJ0011_120_clr2,      43024,      43025,      43026,      43027,          0,          0, 
32 : mons_MJ0010_NM_001,      43028,      43029,      43030,      43031,          0,          0, 
33 : mons_MJ0010_NM_002,      43032,      43033,      43034,      43035,          0,          0, 
34 : mons_MJ0010_NM_003,      43036,      43037,      43038,      43039,          0,          0, 
35 : mons_MJ0010_NM_004,      43040,      43041,      43042,      43043,          0,          0, 
36 : mons_MJ0010_NM_005,      43044,      43045,      43046,      43047,          0,          0, 
37 : mons_MJ0010_NM_006,      43048,      43049,      43050,      43051,          0,          0, 
38 : mons_MJ0010_NM_007,      43052,      43053,      43054,      43055,          0,          0, 
39 : mons_MJ0010_NM_008,      43056,      43057,      43058,      43059,          0,          0, 
40 : mons_MJ1010_100_clr0,      43060,      43061,      43062,      43063,          0,          0, 
41 : mons_MJ1010_100_clr1,      43064,      43065,      43066,      43067,          0,          0, 
42 : mons_MJ1010_100_clr2,      43068,      43069,      43070,      43071,          0,          0, 
