           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      44480,      44481,      44482,      44483,          0,          0, 
 1 :  apple_001,      44484,      44485,      44486,      44487,          0,          0, 
 2 :  apple_002,      44488,      44489,      44490,      44491,          0,          0, 
 3 :  apple_003,      44492,      44493,      44494,      44495,          0,          0, 
 4 :   city_001,      44496,      44497,      44498,      44499,          0,          0, 
 5 :   city_002,      44500,      44501,      44502,      44503,          0,          0, 
 6 :   city_003,      44504,      44505,      44506,      44507,          0,          0, 
 7 :   city_004,      44508,      44509,      44510,      44511,          0,          0, 
 8 :   town_001,      44512,      44513,      44514,      44515,          0,          0, 
 9 :   town_002,      44516,      44517,      44518,      44519,          0,          0, 
10 :   town_003,      44520,      44521,      44522,      44523,          0,          0, 
11 : FIELD_OPEN_001,      44524,      44525,      44526,      44527,          0,          0, 
12 : FIELD_OPEN_002,      44528,      44529,      44530,      44531,          0,          0, 
13 : FIELD_OPEN_003,      44532,      44533,      44534,      44535,          0,          0, 
14 : FIELD_OPEN_004,      44536,      44537,      44538,      44539,          0,          0, 
15 : FIELD_OPEN_005,      44540,      44541,      44542,      44543,          0,          0, 
16 : FIELD_OPEN_006,      44544,      44545,      44546,      44547,          0,          0, 
17 : FIELD_OPEN_007,      44548,      44549,      44550,      44551,          0,          0, 
18 : FIELD_OPEN_008,      44552,      44553,      44554,      44555,          0,          0, 
19 : FIELD_OPEN_009,      44556,      44557,      44558,      44559,          0,          0, 
20 : FIELD_OPEN_010,      44560,      44561,      44562,      44563,          0,          0, 
21 : FIELD_OPEN_011,      44564,      44565,      44566,      44567,          0,          0, 
22 : FIELD_DUNGEON_001,      44568,      44569,      44570,      44571,          0,          0, 
23 : FIELD_DUNGEON_002,      44572,      44573,      44574,      44575,          0,          0, 
24 : FIELD_DUNGEON_003,      44576,      44577,      44578,      44579,          0,          0, 
25 : FIELD_DUNGEON_004,      44580,      44581,      44582,      44583,          0,          0, 
26 : FIELD_DUNGEON_005,      44584,      44585,      44586,      44587,          0,          0, 
27 : FIELD_DUNGEON_006,      44588,      44589,      44590,      44591,          0,          0, 
28 : FIELD_DUNGEON_007,      44592,      44593,      44594,      44595,          0,          0, 
29 : FIELD_DUNGEON_008,      44596,      44597,      44598,      44599,          0,          0, 
30 : FIELD_DUNGEON_009,      44600,      44601,      44602,      44603,          0,          0, 
31 : FIELD_DUNGEON_011,      44604,      44605,      44606,      44607,          0,          0, 
32 : FIELD_DUNGEON_012,      44608,      44609,      44610,      44611,          0,          0, 
33 : FIELD_DUNGEON_013,      44612,      44613,      44614,      44615,          0,          0, 
34 : FIELD_DUNGEON_014,      44616,      44617,      44618,      44619,          0,          0, 
35 : FIELD_DUNGEON_015,      44620,      44621,      44622,      44623,          0,          0, 
36 : FIELD_DUNGEON_016,      44624,      44625,      44626,      44627,          0,          0, 
37 : FIELD_DUNGEON_017,      44628,      44629,      44630,      44631,          0,          0, 
38 : FIELD_DUNGEON_018,      44632,      44633,      44634,      44635,          0,          0, 
39 : FIELD_DUNGEON_019,      44636,      44637,      44638,      44639,          0,          0, 
40 : FIELD_DUNGEON_020,      44640,      44641,      44642,      44643,          0,          0, 
41 : FIELD_DUNGEON_025,      44644,      44645,      44646,      44647,          0,          0, 
42 : FIELD_DUNGEON_027,      44648,      44649,      44650,      44651,          0,          0, 
43 : FIELD_DUNGEON_029,      44652,      44653,      44654,      44655,          0,          0, 
44 : FIELD_DUNGEON_021,      44656,      44657,      44658,      44659,          0,          0, 
45 : FIELD_DUNGEON_022,      44660,      44661,      44662,      44663,          0,          0, 
46 : FIELD_DUNGEON_023,      44664,      44665,      44666,      44667,          0,          0, 
47 : FIELD_DUNGEON_024,      44668,      44669,      44670,      44671,          0,          0, 
48 : FIELD_DUNGEON_026,      44672,      44673,      44674,      44675,          0,          0, 
49 : FIELD_DUNGEON_010,      44676,      44677,      44678,      44679,          0,          0, 
50 : FIELD_DUNGEON_028,      44680,      44681,      44682,      44683,          0,          0, 
51 : FIELD_DUNGEON_030,      44684,      44685,      44686,      44687,          0,          0, 
52 : battle_map_001,      44688,      44689,      44690,      44691,          0,          0, 
53 : battle_map_002,      44692,      44693,      44694,      44695,          0,          0, 
54 : battle_map_003,      44696,      44697,      44698,      44699,          0,          0, 
55 : battle_map_004,      44700,      44701,      44702,      44703,          0,          0, 
56 : battle_map_005,      44704,      44705,      44706,      44707,          0,          0, 
57 : battle_map_006,      44708,      44709,      44710,      44711,          0,          0, 
58 : battle_map_007,      44712,      44713,      44714,      44715,          0,          0, 
59 : battle_map_008,      44716,      44717,      44718,      44719,          0,          0, 
60 : battle_map_009,      44720,      44721,      44722,      44723,          0,          0, 
61 : battle_map_010,      44724,      44725,      44726,      44727,          0,          0, 
62 : battle_map_011,      44728,      44729,      44730,      44731,          0,          0, 
63 : battle_map_012,      44732,      44733,      44734,      44735,          0,          0, 
64 : battle_map_013,      44736,      44737,      44738,      44739,          0,          0, 
65 : battle_map_014,      44740,      44741,      44742,      44743,          0,          0, 
66 : battle_map_015,      44744,      44745,      44746,      44747,          0,          0, 
67 : battle_map_016,      44748,      44749,      44750,      44751,          0,          0, 
68 : battle_map_017,      44752,      44753,      44754,      44755,          0,          0, 
69 : battle_map_018,      44756,      44757,      44758,      44759,          0,          0, 
70 : quest_QE0470,      44760,      44761,      44762,      44763,          0,          0, 

