           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      44764,      44765,      44766,      44767,          0,          0, 
 1 : TOWN_OPEN_001,      44768,      44769,      44770,      44771,          0,          0, 
 2 : TOWN_OPEN_002,      44772,      44773,      44774,      44775,          0,          0, 
 3 : TOWN_OPEN_003,      44776,      44777,      44778,      44779,          0,          0, 
 4 : TOWN_OPEN_004,      44780,      44781,      44782,      44783,          0,          0, 
 5 : TOWN_CLOSE_004,      44784,      44785,      44786,      44787,          0,          0, 
 6 : TOWN_CLOSE_003,      44788,      44789,      44790,      44791,          0,          0, 
 7 : TOWN_CLOSE_002,      44792,      44793,      44794,      44795,          0,          0, 
 8 : TOWN_CLOSE_001,      44796,      44797,      44798,      44799,          0,          0, 
 9 : TOWN_CLOSE_042,      44800,      44801,      44802,      44803,          0,          0, 
10 : TOWN_CLOSE_043,      44804,      44805,      44806,      44807,          0,          0, 
11 : TOWN_CLOSE_044,      44808,      44809,      44810,      44811,          0,          0, 
12 : TOWN_OPEN_011,      44812,      44813,      44814,      44815,          0,          0, 
13 : TOWN_OPEN_012,      44816,      44817,      44818,      44819,          0,          0, 
14 : TOWN_OPEN_013,      44820,      44821,      44822,      44823,          0,          0, 
15 : TOWN_CLOSE_016,      44824,      44825,      44826,      44827,          0,          0, 
16 : TOWN_CLOSE_015,      44828,      44829,      44830,      44831,          0,          0, 
17 : TOWN_CLOSE_014,      44832,      44833,      44834,      44835,          0,          0, 
18 : TOWN_CLOSE_013,      44836,      44837,      44838,      44839,          0,          0, 
19 : TOWN_CLOSE_012,      44840,      44841,      44842,      44843,          0,          0, 
20 : TOWN_OPEN_021,      44844,      44845,      44846,      44847,          0,          0, 
21 : TOWN_CLOSE_041,      44848,      44849,      44850,      44851,          0,          0, 
22 : TOWN_CLOSE_040,      44852,      44853,      44854,      44855,          0,          0, 
23 : TOWN_CLOSE_039,      44856,      44857,      44858,      44859,          0,          0, 
24 : TOWN_CLOSE_038,      44860,      44861,      44862,      44863,          0,          0, 
25 : TOWN_OPEN_014,      44864,      44865,      44866,      44867,          0,          0, 
26 : TOWN_OPEN_015,      44868,      44869,      44870,      44871,          0,          0, 
27 : TOWN_CLOSE_021,      44872,      44873,      44874,      44875,          0,          0, 
28 : TOWN_CLOSE_020,      44876,      44877,      44878,      44879,          0,          0, 
29 : TOWN_CLOSE_019,      44880,      44881,      44882,      44883,          0,          0, 
30 : TOWN_CLOSE_018,      44884,      44885,      44886,      44887,          0,          0, 
31 : TOWN_CLOSE_017,      44888,      44889,      44890,      44891,          0,          0, 
32 : TOWN_OPEN_016,      44892,      44893,      44894,      44895,          0,          0, 
33 : TOWN_CLOSE_025,      44896,      44897,      44898,      44899,          0,          0, 
34 : TOWN_CLOSE_024,      44900,      44901,      44902,      44903,          0,          0, 
35 : TOWN_CLOSE_023,      44904,      44905,      44906,      44907,          0,          0, 
36 : TOWN_CLOSE_022,      44908,      44909,      44910,      44911,          0,          0, 
37 : TOWN_OPEN_019,      44912,      44913,      44914,      44915,          0,          0, 
38 : TOWN_CLOSE_033,      44916,      44917,      44918,      44919,          0,          0, 
39 : TOWN_CLOSE_032,      44920,      44921,      44922,      44923,          0,          0, 
40 : TOWN_CLOSE_031,      44924,      44925,      44926,      44927,          0,          0, 
41 : TOWN_CLOSE_030,      44928,      44929,      44930,      44931,          0,          0, 
42 : TOWN_OPEN_005,      44932,      44933,      44934,      44935,          0,          0, 
43 : TOWN_OPEN_006,      44936,      44937,      44938,      44939,          0,          0, 
44 : TOWN_OPEN_007,      44940,      44941,      44942,      44943,          0,          0, 
45 : TOWN_OPEN_008,      44944,      44945,      44946,      44947,          0,          0, 
46 : TOWN_CLOSE_007,      44948,      44949,      44950,      44951,          0,          0, 
47 : TOWN_CLOSE_006,      44952,      44953,      44954,      44955,          0,          0, 
48 : TOWN_CLOSE_005,      44956,      44957,      44958,      44959,          0,          0, 
49 : TOWN_OPEN_020,      44960,      44961,      44962,      44963,          0,          0, 
50 : TOWN_CLOSE_037,      44964,      44965,      44966,      44967,          0,          0, 
51 : TOWN_CLOSE_036,      44968,      44969,      44970,      44971,          0,          0, 
52 : TOWN_CLOSE_035,      44972,      44973,      44974,      44975,          0,          0, 
53 : TOWN_CLOSE_034,      44976,      44977,      44978,      44979,          0,          0, 
54 : TOWN_OPEN_009,      44980,      44981,      44982,      44983,          0,          0, 
55 : TOWN_OPEN_010,      44984,      44985,      44986,      44987,          0,          0, 
56 : TOWN_CLOSE_011,      44988,      44989,      44990,      44991,          0,          0, 
57 : TOWN_CLOSE_010,      44992,      44993,      44994,      44995,          0,          0, 
58 : TOWN_CLOSE_009,      44996,      44997,      44998,      44999,          0,          0, 
59 : TOWN_CLOSE_008,      45000,      45001,      45002,      45003,          0,          0, 
60 : TOWN_OPEN_017,      45004,      45005,      45006,      45007,          0,          0, 
61 : TOWN_OPEN_018,      45008,      45009,      45010,      45011,          0,          0, 
62 : TOWN_CLOSE_029,      45012,      45013,      45014,      45015,          0,          0, 
63 : TOWN_CLOSE_028,      45016,      45017,      45018,      45019,          0,          0, 
64 : TOWN_CLOSE_027,      45020,      45021,      45022,      45023,          0,          0, 
65 : TOWN_CLOSE_026,      45024,      45025,      45026,      45027,          0,          0, 
66 : TOWN_DUNGEON_001,      45028,      45029,      45030,      45031,          0,          0, 
67 : TOWN_DUNGEON_002,      45032,      45033,      45034,      45035,          0,          0, 
68 : TOWN_DUNGEON_003,      45036,      45037,      45038,      45039,          0,          0, 
69 : FIELD_OPEN_001,      45040,      45041,      45042,      45043,          0,          0, 
70 : FIELD_OPEN_002,      45044,      45045,      45046,      45047,          0,          0, 
71 : FIELD_OPEN_016,      45048,      45049,      45050,      45051,          0,          0, 
72 : FIELD_OPEN_003,      45052,      45053,      45054,      45055,          0,          0, 
73 : FIELD_OPEN_004,      45056,      45057,      45058,      45059,          0,          0, 
74 : FIELD_OPEN_005,      45060,      45061,      45062,      45063,          0,          0, 
75 : FIELD_OPEN_006,      45064,      45065,      45066,      45067,          0,          0, 
76 : FIELD_OPEN_007,      45068,      45069,      45070,      45071,          0,          0, 
77 : FIELD_OPEN_008,      45072,      45073,      45074,      45075,          0,          0, 
78 : FIELD_OPEN_009,      45076,      45077,      45078,      45079,          0,          0, 
79 : FIELD_OPEN_010,      45080,      45081,      45082,      45083,          0,          0, 
80 : FIELD_OPEN_011,      45084,      45085,      45086,      45087,          0,          0, 
81 : FIELD_OPEN_012,      45088,      45089,      45090,      45091,          0,          0, 
82 : FIELD_OPEN_013,      45092,      45093,      45094,      45095,          0,          0, 
83 : FIELD_OPEN_014,      45096,      45097,      45098,      45099,          0,          0, 
84 : FIELD_OPEN_017,      45100,      45101,      45102,      45103,          0,          0, 
85 : FIELD_DUNGEON_001,      45104,      45105,      45106,      45107,          0,          0, 
86 : FIELD_DUNGEON_002,      45108,      45109,      45110,      45111,          0,          0, 
87 : FIELD_OPEN_015,      45112,      45113,      45114,      45115,          0,          0, 
88 : FIELD_DUNGEON_003,      45116,      45117,      45118,      45119,          0,          0, 
89 : FIELD_DUNGEON_004,      45120,      45121,      45122,      45123,          0,          0, 
90 : FIELD_DUNGEON_005,      45124,      45125,      45126,      45127,          0,          0, 
91 : FIELD_DUNGEON_006,      45128,      45129,      45130,      45131,          0,          0, 
92 : FIELD_DUNGEON_007,      45132,      45133,      45134,      45135,          0,          0, 
93 : FIELD_DUNGEON_008,      45136,      45137,      45138,      45139,          0,          0, 
94 : FIELD_DUNGEON_009,      45140,      45141,      45142,      45143,          0,          0, 
95 : FIELD_DUNGEON_010,      45144,      45145,      45146,      45147,          0,          0, 
96 : FIELD_DUNGEON_011,      45148,      45149,      45150,      45151,          0,          0, 
97 : FIELD_DUNGEON_012,      45152,      45153,      45154,      45155,          0,          0, 
98 : FIELD_DUNGEON_013,      45156,      45157,      45158,      45159,          0,          0, 
99 : FIELD_DUNGEON_014,      45160,      45161,      45162,      45163,          0,          0, 
100 : FIELD_DUNGEON_015,      45164,      45165,      45166,      45167,          0,          0, 
101 : FIELD_DUNGEON_089,      45168,      45169,      45170,      45171,          0,          0, 
102 : FIELD_DUNGEON_016,      45172,      45173,      45174,      45175,          0,          0, 
103 : FIELD_DUNGEON_017,      45176,      45177,      45178,      45179,          0,          0, 
104 : FIELD_DUNGEON_018,      45180,      45181,      45182,      45183,          0,          0, 
105 : FIELD_DUNGEON_019,      45184,      45185,      45186,      45187,          0,          0, 
106 : FIELD_DUNGEON_020,      45188,      45189,      45190,      45191,          0,          0, 
107 : FIELD_DUNGEON_021,      45192,      45193,      45194,      45195,          0,          0, 
108 : FIELD_DUNGEON_022,      45196,      45197,      45198,      45199,          0,          0, 
109 : FIELD_DUNGEON_023,      45200,      45201,      45202,      45203,          0,          0, 
110 : FIELD_DUNGEON_024,      45204,      45205,      45206,      45207,          0,          0, 
111 : FIELD_DUNGEON_025,      45208,      45209,      45210,      45211,          0,          0, 
112 : FIELD_DUNGEON_026,      45212,      45213,      45214,      45215,          0,          0, 
113 : FIELD_DUNGEON_027,      45216,      45217,      45218,      45219,          0,          0, 
114 : FIELD_DUNGEON_028,      45220,      45221,      45222,      45223,          0,          0, 
115 : FIELD_DUNGEON_029,      45224,      45225,      45226,      45227,          0,          0, 
116 : FIELD_DUNGEON_030,      45228,      45229,      45230,      45231,          0,          0, 
117 : FIELD_DUNGEON_031,      45232,      45233,      45234,      45235,          0,          0, 
118 : FIELD_DUNGEON_032,      45236,      45237,      45238,      45239,          0,          0, 
119 : FIELD_DUNGEON_033,      45240,      45241,      45242,      45243,          0,          0, 
120 : FIELD_DUNGEON_034,      45244,      45245,      45246,      45247,          0,          0, 
121 : FIELD_DUNGEON_035,      45248,      45249,      45250,      45251,          0,          0, 
122 : FIELD_DUNGEON_036,      45252,      45253,      45254,      45255,          0,          0, 
123 : FIELD_DUNGEON_037,      45256,      45257,      45258,      45259,          0,          0, 
124 : FIELD_DUNGEON_038,      45260,      45261,      45262,      45263,          0,          0, 
125 : FIELD_DUNGEON_039,      45264,      45265,      45266,      45267,          0,          0, 
126 : FIELD_DUNGEON_040,      45268,      45269,      45270,      45271,          0,          0, 
127 : FIELD_DUNGEON_041,      45272,      45273,      45274,      45275,          0,          0, 
128 : FIELD_DUNGEON_042,      45276,      45277,      45278,      45279,          0,          0, 
129 : FIELD_DUNGEON_043,      45280,      45281,      45282,      45283,          0,          0, 
130 : FIELD_DUNGEON_044,      45284,      45285,      45286,      45287,          0,          0, 
131 : FIELD_DUNGEON_045,      45288,      45289,      45290,      45291,          0,          0, 
132 : FIELD_DUNGEON_046,      45292,      45293,      45294,      45295,          0,          0, 
133 : FIELD_DUNGEON_047,      45296,      45297,      45298,      45299,          0,          0, 
134 : FIELD_DUNGEON_048,      45300,      45301,      45302,      45303,          0,          0, 
135 : FIELD_DUNGEON_049,      45304,      45305,      45306,      45307,          0,          0, 
136 : FIELD_DUNGEON_090,      45308,      45309,      45310,      45311,          0,          0, 
137 : FIELD_DUNGEON_050,      45312,      45313,      45314,      45315,          0,          0, 
138 : FIELD_DUNGEON_051,      45316,      45317,      45318,      45319,          0,          0, 
139 : FIELD_DUNGEON_052,      45320,      45321,      45322,      45323,          0,          0, 
140 : FIELD_DUNGEON_053,      45324,      45325,      45326,      45327,          0,          0, 
141 : FIELD_DUNGEON_054,      45328,      45329,      45330,      45331,          0,          0, 
142 : FIELD_DUNGEON_055,      45332,      45333,      45334,      45335,          0,          0, 
143 : FIELD_DUNGEON_056,      45336,      45337,      45338,      45339,          0,          0, 
144 : FIELD_DUNGEON_057,      45340,      45341,      45342,      45343,          0,          0, 
145 : FIELD_DUNGEON_058,      45344,      45345,      45346,      45347,          0,          0, 
146 : FIELD_DUNGEON_059,      45348,      45349,      45350,      45351,          0,          0, 
147 : FIELD_DUNGEON_060,      45352,      45353,      45354,      45355,          0,          0, 
148 : FIELD_DUNGEON_061,      45356,      45357,      45358,      45359,          0,          0, 
149 : FIELD_DUNGEON_063,      45360,      45361,      45362,      45363,          0,          0, 
150 : FIELD_DUNGEON_064,      45364,      45365,      45366,      45367,          0,          0, 
151 : FIELD_DUNGEON_062,      45368,      45369,      45370,      45371,          0,          0, 
152 : FIELD_DUNGEON_066,      45372,      45373,      45374,      45375,          0,          0, 
153 : FIELD_DUNGEON_085,      45376,      45377,      45378,      45379,          0,          0, 
154 : FIELD_DUNGEON_086,      45380,      45381,      45382,      45383,          0,          0, 
155 : FIELD_DUNGEON_069,      45384,      45385,      45386,      45387,          0,          0, 
156 : FIELD_DUNGEON_087,      45388,      45389,      45390,      45391,          0,          0, 
157 : FIELD_DUNGEON_088,      45392,      45393,      45394,      45395,          0,          0, 
158 : FIELD_DUNGEON_070,      45396,      45397,      45398,      45399,          0,          0, 
159 : FIELD_DUNGEON_071,      45400,      45401,      45402,      45403,          0,          0, 
160 : FIELD_DUNGEON_072,      45404,      45405,      45406,      45407,          0,          0, 
161 : FIELD_DUNGEON_073,      45408,      45409,      45410,      45411,          0,          0, 
162 : FIELD_DUNGEON_076,      45412,      45413,      45414,      45415,          0,          0, 
163 : FIELD_DUNGEON_077,      45416,      45417,      45418,      45419,          0,          0, 
164 : FIELD_DUNGEON_078,      45420,      45421,      45422,      45423,          0,          0, 
165 : FIELD_DUNGEON_079,      45424,      45425,      45426,      45427,          0,          0, 
166 : FIELD_DUNGEON_080,      45428,      45429,      45430,      45431,          0,          0, 
167 : FIELD_DUNGEON_081,      45432,      45433,      45434,      45435,          0,          0, 
168 : FIELD_DUNGEON_082,      45436,      45437,      45438,      45439,          0,          0, 
169 : FIELD_DUNGEON_083,      45440,      45441,      45442,      45443,          0,          0, 
170 : FIELD_DUNGEON_084,      45444,      45445,      45446,      45447,          0,          0, 
171 : FIELD_DUNGEON_091,      45448,      45449,      45450,      45451,          0,          0, 
172 : FIELD_DUNGEON_092,      45452,      45453,      45454,      45455,          0,          0, 
173 : GOTO_WORLD_001,      45456,      45457,      45458,      45459,          0,          0, 
174 : GOTO_CITY_001,      45460,      45461,      45462,      45463,          0,          0, 
175 : FIELD_DUNGEON_065,      45464,      45465,      45466,      45467,          0,          0, 
176 : FIELD_DUNGEON_067,      45468,      45469,      45470,      45471,          0,          0, 
177 : FIELD_DUNGEON_068,      45472,      45473,      45474,      45475,          0,          0, 
178 : FIELD_DUNGEON_074,      45476,      45477,      45478,      45479,          0,          0, 
179 : FIELD_DUNGEON_075,      45480,      45481,      45482,      45483,          0,          0, 

