           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       1149,          0,          0, 
 1 : unit_status_01,       1150,          0,          0, 
 2 : union_status_01,       1151,          0,          0, 
 3 : union_status_02,       1152,          0,          0, 
 4 : union_status_03,       1153,          0,          0, 
 5 : union_status_04,       1154,          0,          0, 
 6 : union_status_05,       1155,          0,          0, 
 7 : union_status_06,       1156,          0,          0, 
 8 : union_status_07,       1157,          0,          0, 
 9 : union_status_08,       1158,          0,          0, 
10 : union_status_09,       1159,          0,          0, 
11 : union_status,       1160,          0,          0, 
12 : union_status,       1161,          0,          0, 
13 : situation_01,       1162,          0,          0, 
14 : situation_02,       1163,          0,          0, 
15 :  sp_act_01,       1164,          0,          0, 
16 :  sp_act_02,       1165,          0,          0, 
17 :  sp_act_03,       1166,          0,          0, 
18 : btl_escape,       1167,          0,          0, 
19 : btl_mc_none,       1168,          0,          0, 
20 : sp_command,       1169,          0,          0, 

