           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      45484,      45485,      45486,      45487,          0,          0, 
 1 : pick_kaisu0,      45488,      45489,      45490,      45491,          0,          0, 
 2 : pick_kaisu1,      45492,      45493,      45494,      45495,          0,          0, 
 3 : pick_kaisu2,      45496,      45497,      45498,      45499,          0,          0, 
 4 : pick_kaisu3,      45500,      45501,      45502,      45503,          0,          0, 
 5 : pick_normal_num0,      45504,      45505,      45506,      45507,          0,          0, 
 6 : pick_normal_num1,      45508,      45509,      45510,      45511,          0,          0, 
 7 : pick_normal_num2,      45512,      45513,      45514,      45515,          0,          0, 
 8 : pick_normal_num3,      45516,      45517,      45518,      45519,          0,          0, 
 9 : pick_rare_odds0,      45520,      45521,      45522,      45523,          0,          0, 
10 : pick_rare_odds1,      45524,      45525,      45526,      45527,          0,          0, 
11 : pick_rare_odds2,      45528,      45529,      45530,      45531,          0,          0, 
12 : pick_rare_odds3,      45532,      45533,      45534,      45535,          0,          0, 
13 : pick_rare_num0,      45536,      45537,      45538,      45539,          0,          0, 
14 : pick_rare_num1,      45540,      45541,      45542,      45543,          0,          0, 
15 : pick_rare_num2,      45544,      45545,      45546,      45547,          0,          0, 
16 : pick_rare_num3,      45548,      45549,      45550,      45551,          0,          0, 
17 : tre_rank_chk0,      45552,      45553,      45554,      45555,          0,          0, 
18 : tre_rank_chk1,      45556,      45557,      45558,      45559,          0,          0, 
19 : tre_rank_chk2,      45560,      45561,      45562,      45563,          0,          0, 
20 : tre_rank_chk3,      45564,      45565,      45566,      45567,          0,          0, 
21 :   tre_num0,      45568,      45569,      45570,      45571,          0,          0, 
22 :   tre_num1,      45572,      45573,      45574,      45575,          0,          0, 
23 :   tre_num2,      45576,      45577,      45578,      45579,          0,          0, 
24 :   tre_num3,      45580,      45581,      45582,      45583,          0,          0, 
25 : tre_money0,      45584,      45585,      45586,      45587,          0,          0, 
26 : tre_money1,      45588,      45589,      45590,      45591,          0,          0, 
27 : tre_money2,      45592,      45593,      45594,      45595,          0,          0, 
28 : tre_money3,      45596,      45597,      45598,      45599,          0,          0, 
29 :      str01,      45600,      45601,      45602,      45603,          0,          0, 
30 :      str02,      45604,      45605,      45606,      45607,          0,          0, 
31 :      str03,      45608,      45609,      45610,      45611,          0,          0, 
32 :      str04,      45612,      45613,      45614,      45615,          0,          0, 
33 :      str05,      45616,      45617,      45618,      45619,          0,          0, 
34 :      str06,      45620,      45621,      45622,      45623,          0,          0, 
35 :      str07,      45624,      45625,      45626,      45627,          0,          0, 
36 :      str08,      45628,      45629,      45630,      45631,          0,          0, 
37 :      str09,      45632,      45633,      45634,      45635,          0,          0, 
38 :      str10,      45636,      45637,      45638,      45639,          0,          0, 
39 :      str11,      45640,      45641,      45642,      45643,          0,          0, 
40 :      str12,      45644,      45645,      45646,      45647,          0,          0, 
41 :      str13,      45648,      45649,      45650,      45651,          0,          0, 
42 :      str14,      45652,      45653,      45654,      45655,          0,          0, 
43 :      str15,      45656,      45657,      45658,      45659,          0,          0, 
44 :      str16,      45660,      45661,      45662,      45663,          0,          0, 
45 :      art01,      45664,      45665,      45666,      45667,          0,          0, 
46 :      art02,      45668,      45669,      45670,      45671,          0,          0, 
47 :      art03,      45672,      45673,      45674,      45675,          0,          0, 
48 :      art04,      45676,      45677,      45678,      45679,          0,          0, 
49 :      art05,      45680,      45681,      45682,      45683,          0,          0, 
50 :      art06,      45684,      45685,      45686,      45687,          0,          0, 
51 :      art07,      45688,      45689,      45690,      45691,          0,          0, 
52 :      art08,      45692,      45693,      45694,      45695,          0,          0, 
53 :      art09,      45696,      45697,      45698,      45699,          0,          0, 
54 :      art10,      45700,      45701,      45702,      45703,          0,          0, 
55 :      art11,      45704,      45705,      45706,      45707,          0,          0, 
56 :      art12,      45708,      45709,      45710,      45711,          0,          0, 
57 :      art13,      45712,      45713,      45714,      45715,          0,          0, 
58 :      art14,      45716,      45717,      45718,      45719,          0,          0, 
59 :      art15,      45720,      45721,      45722,      45723,          0,          0, 
60 :      art16,      45724,      45725,      45726,      45727,          0,          0, 
61 :      see01,      45728,      45729,      45730,      45731,          0,          0, 
62 :      see02,      45732,      45733,      45734,      45735,          0,          0, 
63 :      see03,      45736,      45737,      45738,      45739,          0,          0, 
64 :      see04,      45740,      45741,      45742,      45743,          0,          0, 
65 :      see05,      45744,      45745,      45746,      45747,          0,          0, 
66 :      see06,      45748,      45749,      45750,      45751,          0,          0, 
67 :      see07,      45752,      45753,      45754,      45755,          0,          0, 
68 :      see08,      45756,      45757,      45758,      45759,          0,          0, 
69 :      see09,      45760,      45761,      45762,      45763,          0,          0, 
70 :      see10,      45764,      45765,      45766,      45767,          0,          0, 
71 :      see11,      45768,      45769,      45770,      45771,          0,          0, 
72 :      see12,      45772,      45773,      45774,      45775,          0,          0, 
73 :      see13,      45776,      45777,      45778,      45779,          0,          0, 
74 :      see14,      45780,      45781,      45782,      45783,          0,          0, 
75 :      see15,      45784,      45785,      45786,      45787,          0,          0, 
76 :      see16,      45788,      45789,      45790,      45791,          0,          0, 

