           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      45792,      45793,      45794,      45795,          0,          0, 
 1 : party_current_location,      45796,      45797,      45798,      45799,          0,          0, 
 2 : shop_shoji_misc,      45800,      45801,      45802,      45803,          0,          0, 
 3 : shop_shoji_weapon,      45804,      45805,      45806,      45807,          0,          0, 
 4 : shop_shoji_accessary,      45808,      45809,      45810,      45811,          0,          0, 
 5 : equipment_type,      45812,      45813,      45814,      45815,          0,          0, 
 6 : damage_modifier,      45816,      45817,      45818,      45819,          0,          0, 
 7 :       Size,      45820,      45821,      45822,      45823,          0,          0, 
 8 :     EFFECT,      45824,      45825,      45826,      45827,          0,          0, 
 9 : weapon_atk,      45828,      45829,      45830,      45831,          0,          0, 
10 : weapon_def,      45832,      45833,      45834,      45835,          0,          0, 
11 : weapon_mys,      45836,      45837,      45838,      45839,          0,          0, 
12 : weapon_mys_def,      45840,      45841,      45842,      45843,          0,          0, 
13 : shield_eva,      45844,      45845,      45846,      45847,          0,          0, 
14 : shield_mys_eva,      45848,      45849,      45850,      45851,          0,          0, 
15 :     max_hp,      45852,      45853,      45854,      45855,          0,          0, 
16 :     max_ap,      45856,      45857,      45858,      45859,          0,          0, 
17 :    init_ap,      45860,      45861,      45862,      45863,          0,          0, 
18 :        Str,      45864,      45865,      45866,      45867,          0,          0, 
19 :        Int,      45868,      45869,      45870,      45871,          0,          0, 
20 :        spd,      45872,      45873,      45874,      45875,          0,          0, 
21 : union_count_caption,      45876,      45877,      45878,      45879,          0,          0, 
22 : unit_count_caption,      45880,      45881,      45882,      45883,          0,          0, 
23 : max_count_caption,      45884,      45885,      45886,      45887,          0,          0, 
24 :         hp,      45888,      45889,      45890,      45891,          0,          0, 
25 :         ap,      45892,      45893,      45894,      45895,          0,          0, 
26 : skill_type,      45896,      45897,      45898,      45899,          0,          0, 
27 :  Component,      45900,      45901,      45902,      45903,          0,          0, 
28 :       held,      45904,      45905,      45906,      45907,          0,          0, 
29 :      Class,      45908,      45909,      45910,      45911,          0,          0, 
30 :       race,      45912,      45913,      45914,      45915,          0,          0, 
31 :  item_list,      45916,      45917,      45918,      45919,          0,          0, 
32 : mascot_str,      45920,      45921,      45922,      45923,          0,          0, 
33 : mascot_art,      45924,      45925,      45926,      45927,          0,          0, 
34 : mascot_see,      45928,      45929,      45930,      45931,          0,          0, 
35 : conf_sec_view,      45932,      45933,      45934,      45935,          0,          0, 
36 : conf_sec_sound,      45936,      45937,      45938,      45939,          0,          0, 
37 : conf_sec_camera,      45940,      45941,      45942,      45943,          0,          0, 
38 : conf_sec_system,      45944,      45945,      45946,      45947,          0,          0, 
39 : conf_sec_reset,      45948,      45949,      45950,      45951,          0,          0, 
40 :  data_page,      45952,      45953,      45954,      45955,          0,          0, 
41 :       disk,      45956,      45957,      45958,      45959,          0,          0, 
42 : shop_zaiko,      45960,      45961,      45962,      45963,          0,          0, 
43 : shop_matome_count,      45964,      45965,      45966,      45967,          0,          0, 
44 : shop_matome_kingaku,      45968,      45969,      45970,      45971,          0,          0, 
45 :         No,      45972,      45973,      45974,      45975,          0,          0, 
46 : ga_extra_adventure,      45976,      45977,      45978,      45979,          0,          0, 
47 : battle_rank,      45980,      45981,      45982,      45983,          0,          0, 
48 : sys_setting_sys,      45984,      45985,      45986,      45987,          0,          0, 
49 : sys_setting_lang,      45988,      45989,      45990,      45991,          0,          0, 
50 : sys_setting_texture,      45992,      45993,      45994,      45995,          0,          0, 
51 : sys_setting_frame,      45996,      45997,      45998,      45999,          0,          0, 
52 : sys_setting_battle,      46000,      46001,      46002,      46003,          0,          0, 
53 : sys_setting_field,      46004,      46005,      46006,      46007,          0,          0, 
54 : sys_setting_keyboard,      46008,      46009,      46010,      46011,          0,          0, 
55 : sys_setting_gamepad,      46012,      46013,      46014,      46015,          0,          0, 
56 : sys_setting_mouse,      46016,      46017,      46018,      46019,          0,          0, 
57 : sys_setting_assign,      46020,      46021,      46022,      46023,          0,          0, 
58 : sys_setting_assign_menu,      46024,      46025,      46026,      46027,          0,          0, 
59 : sys_setting_assign_field,      46028,      46029,      46030,      46031,          0,          0, 
60 : sys_setting_assign_battle,      46032,      46033,      46034,      46035,          0,          0, 
61 : sys_setting_assign_system,      46036,      46037,      46038,      46039,          0,          0, 
62 : ptm_style_change_current,      46040,      46041,      46042,      46043,          0,          0, 
63 : ptm_style_change_list,      46044,      46045,      46046,      46047,          0,          0, 
64 : clear_count,      46048,      46049,      46050,      46051,          0,          0, 
65 :       Auto,      46052,      46053,      46054,      46055,          0,          0, 

