           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      46056,      46057,      46058,      46059,          0,          0, 
 1 : confirm_yes,      46060,      46061,      46062,      46063,          0,          0, 
 2 : confirm_no,      46064,      46065,      46066,      46067,          0,          0, 
 3 : item_category_all,      46068,      46069,      46070,      46071,          0,          0, 
 4 : item_category_koueki,      46072,      46073,      46074,      46075,          0,          0, 
 5 : item_category_tokusan,      46076,      46077,      46078,      46079,          0,          0, 
 6 : item_category_weapon,      46080,      46081,      46082,      46083,          0,          0, 
 7 : item_category_shield,      46084,      46085,      46086,      46087,          0,          0, 
 8 : item_category_accessary,      46088,      46089,      46090,      46091,          0,          0, 
 9 : item_category_dougu,      46092,      46093,      46094,      46095,          0,          0, 
10 : item_category_material,      46096,      46097,      46098,      46099,          0,          0, 
11 : item_category_monster,      46100,      46101,      46102,      46103,          0,          0, 
12 : item_category_daiji,      46104,      46105,      46106,      46107,          0,          0, 
13 : rush_equipment,      46108,      46109,      46110,      46111,          0,          0, 
14 : rush_skill,      46112,      46113,      46114,      46115,          0,          0, 
15 : union_board,      46116,      46117,      46118,      46119,          0,          0, 
16 : party_member,      46120,      46121,      46122,      46123,          0,          0, 
17 : party_inventory,      46124,      46125,      46126,      46127,          0,          0, 
18 :       Note,      46128,      46129,      46130,      46131,          0,          0, 
19 :     System,      46132,      46133,      46134,      46135,          0,          0, 
20 : title_jump,      46136,      46137,      46138,      46139,          0,          0, 
21 :      quest,      46140,      46141,      46142,      46143,          0,          0, 
22 :     mascot,      46144,      46145,      46146,      46147,          0,          0, 
23 : cmd_make_union,      46148,      46149,      46150,      46151,          0,          0, 
24 : cmd_change_formation,      46152,      46153,      46154,      46155,          0,          0, 
25 : cmd_change_union_member,      46156,      46157,      46158,      46159,          0,          0, 
26 : cmd_disband_union,      46160,      46161,      46162,      46163,          0,          0, 
27 :       save,      46164,      46165,      46166,      46167,          0,          0, 
28 :     Config,      46168,      46169,      46170,      46171,          0,          0, 
29 : cmd_check_union_member,      46172,      46173,      46174,      46175,          0,          0, 
30 : cmd_change_equip,      46176,      46177,      46178,      46179,          0,          0, 
31 : cmd_check_equip,      46180,      46181,      46182,      46183,          0,          0, 
32 : cmd_check_item,      46184,      46185,      46186,      46187,          0,          0, 
33 : cmd_check_skill,      46188,      46189,      46190,      46191,          0,          0, 
34 : cmd_weapons_and_shields,      46192,      46193,      46194,      46195,          0,          0, 
35 : custormize_modification,      46196,      46197,      46198,      46199,          0,          0, 
36 : custormize_create,      46200,      46201,      46202,      46203,          0,          0, 
37 : custormize_disassemble,      46204,      46205,      46206,      46207,          0,          0, 
38 : layer_check_reserve_status,      46208,      46209,      46210,      46211,          0,          0, 
39 : layer_select_formation,      46212,      46213,      46214,      46215,          0,          0, 
40 : layer_set_unit,      46216,      46217,      46218,      46219,          0,          0, 
41 : layer_sort_union,      46220,      46221,      46222,      46223,          0,          0, 
42 : layer_unit_status,      46224,      46225,      46226,      46227,          0,          0, 
43 : layer_select_equip,      46228,      46229,      46230,      46231,          0,          0, 
44 :       load,      46232,      46233,      46234,      46235,          0,          0, 
45 : skill_category_arts,      46236,      46237,      46238,      46239,          0,          0, 
46 : skill_category_item,      46240,      46241,      46242,      46243,          0,          0, 
47 : skill_category_magic,      46244,      46245,      46246,      46247,          0,          0, 
48 : skill_category_extra,      46248,      46249,      46250,      46251,          0,          0, 
49 : weapon_category_blade,      46252,      46253,      46254,      46255,          0,          0, 
50 : weapon_category_breaker,      46256,      46257,      46258,      46259,          0,          0, 
51 : weapon_category_pole,      46260,      46261,      46262,      46263,          0,          0, 
52 : eq_cmd_equip,      46264,      46265,      46266,      46267,          0,          0, 
53 : eq_cmd_discard,      46268,      46269,      46270,      46271,          0,          0, 
54 : que_category_all,      46272,      46273,      46274,      46275,          0,          0, 
55 : que_category_occured,      46276,      46277,      46278,      46279,          0,          0, 
56 : que_category_inprogress,      46280,      46281,      46282,      46283,          0,          0, 
57 : que_category_clear,      46284,      46285,      46286,      46287,          0,          0, 
58 : que_category_faild,      46288,      46289,      46290,      46291,          0,          0, 
59 : que_category_suspend,      46292,      46293,      46294,      46295,          0,          0, 
60 : ga_category_all,      46296,      46297,      46298,      46299,          0,          0, 
61 : ga_category_entry,      46300,      46301,      46302,      46303,          0,          0, 
62 : ga_category_clear,      46304,      46305,      46306,      46307,          0,          0, 
63 : unit_sort_default,      46308,      46309,      46310,      46311,          0,          0, 
