           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      47536,      47537,      47538,      47539,          0,          0, 
 1 : etc_type_divider,      47540,      47541,      47542,      47543,          0,          0, 
 2 : etc_type_divider2,      47544,      47545,      47546,      47547,          0,          0, 
 3 : eq_level_minus,      47548,      47549,      47550,      47551,          0,          0, 
 4 : eq_level_minus,      47552,      47553,      47554,      47555,          0,          0, 
 5 : eq_level_minus,      47556,      47557,      47558,      47559,          0,          0, 
 6 : eq_level_minus,      47560,      47561,      47562,      47563,          0,          0, 
 7 : eq_level_minus,      47564,      47565,      47566,      47567,          0,          0, 
 8 : eq_level_minus,      47568,      47569,      47570,      47571,          0,          0, 
 9 : eq_level_minus,      47572,      47573,      47574,      47575,          0,          0, 
10 : eq_level_minus,      47576,      47577,      47578,      47579,          0,          0, 
11 : eq_level_minus,      47580,      47581,      47582,      47583,          0,          0, 
12 :   eq_level,      47584,      47585,      47586,      47587,          0,          0, 
13 : eq_level_plus,      47588,      47589,      47590,      47591,          0,          0, 
14 : eq_level_plus,      47592,      47593,      47594,      47595,          0,          0, 
15 : eq_level_plus,      47596,      47597,      47598,      47599,          0,          0, 
16 : eq_level_plus,      47600,      47601,      47602,      47603,          0,          0, 
17 : eq_level_plus,      47604,      47605,      47606,      47607,          0,          0, 
18 : eq_level_plus,      47608,      47609,      47610,      47611,          0,          0, 
19 : eq_level_plus,      47612,      47613,      47614,      47615,          0,          0, 
20 : eq_level_plus,      47616,      47617,      47618,      47619,          0,          0, 
21 : eq_level_plus,      47620,      47621,      47622,      47623,          0,          0, 
22 : help_eqonly,      47624,      47625,      47626,      47627,          0,          0, 
23 :  rew_money,      47628,      47629,      47630,      47631,          0,          0, 
24 :    unknown,      47632,      47633,      47634,      47635,          0,          0, 
25 :      guest,      47636,      47637,      47638,      47639,          0,          0, 
26 :   summoned,      47640,      47641,      47642,      47643,          0,          0, 
27 : empty_slot_text,      47644,      47645,      47646,      47647,          0,          0, 
28 : member_count_suffix,      47648,      47649,      47650,      47651,          0,          0, 
29 : not_equip_text,      47652,      47653,      47654,      47655,          0,          0, 
30 : not_learn_text,      47656,      47657,      47658,      47659,          0,          0, 
31 : no_skill_user,      47660,      47661,      47662,      47663,          0,          0, 
32 : two_handed_mark,      47664,      47665,      47666,      47667,          0,          0, 
33 : cant_equip_text,      47668,      47669,      47670,      47671,          0,          0, 
34 : only_main_slot,      47672,      47673,      47674,      47675,          0,          0, 
35 : only_sub_slot,      47676,      47677,      47678,      47679,          0,          0, 
36 : mascot_skill_none,      47680,      47681,      47682,      47683,          0,          0, 
37 : creating_union,      47684,      47685,      47686,      47687,          0,          0, 
38 : save_broken_data,      47688,      47689,      47690,      47691,          0,          0, 
39 : no_free_space,      47692,      47693,      47694,      47695,          0,          0, 
40 : btl_leader_cnt_caption,      47696,      47697,      47698,      47699,          0,          0, 
41 : btl_unit_cnt_caption,      47700,      47701,      47702,      47703,          0,          0, 
42 : reserve_leader,      47704,      47705,      47706,      47707,          0,          0, 
43 : reserve_athlum,      47708,      47709,      47710,      47711,          0,          0, 
44 : battle_union_caption,      47712,      47713,      47714,      47715,          0,          0, 
45 : athlum_count_caption,      47716,      47717,      47718,      47719,          0,          0, 
46 :    Percent,      47720,      47721,      47722,      47723,          0,          0, 
47 : shop_soldout,      47724,      47725,      47726,      47727,          0,          0, 
48 : shop_empty,      47728,      47729,      47730,      47731,          0,          0, 
49 : shop_soubisuru,      47732,      47733,      47734,      47735,          0,          0, 
50 : shop_soubisuru_cancel,      47736,      47737,      47738,      47739,          0,          0, 
51 : shop_matomeuru,      47740,      47741,      47742,      47743,          0,          0, 
52 : shop_matomeuru_cancel,      47744,      47745,      47746,      47747,          0,          0, 
53 : guilds_free,      47748,      47749,      47750,      47751,          0,          0, 
54 : battle_target_OOR,      47752,      47753,      47754,      47755,          0,          0, 
55 : fld_pc_status_slow,      47756,      47757,      47758,      47759,          0,          0, 
56 : fld_pc_status_dontmove,      47760,      47761,      47762,      47763,          0,          0, 
57 : fld_pc_status_dontaction,      47764,      47765,      47766,      47767,          0,          0, 
58 : fld_pc_status_paralyse,      47768,      47769,      47770,      47771,          0,          0, 
59 : fld_pc_status_fragrance1,      47772,      47773,      47774,      47775,          0,          0, 
60 : fld_pc_status_fragrance2,      47776,      47777,      47778,      47779,          0,          0, 
61 : fld_pc_status_fragrance3,      47780,      47781,      47782,      47783,          0,          0, 
62 : fld_pc_status_lockon,      47784,      47785,      47786,      47787,          0,          0, 
63 : fld_mons_status_find,      47788,      47789,      47790,      47791,          0,          0, 
64 : fld_mons_status_aggressive,      47792,      47793,      47794,      47795,          0,          0, 
65 : fld_mons_status_chicken,      47796,      47797,      47798,      47799,          0,          0, 
66 : fld_mons_status_sleep,      47800,      47801,      47802,      47803,          0,          0, 
67 : fld_mons_status_berserk,      47804,      47805,      47806,      47807,          0,          0, 
68 : fld_mons_status_slow,      47808,      47809,      47810,      47811,          0,          0, 
69 : fld_mons_status_dontmove,      47812,      47813,      47814,      47815,          0,          0, 
70 : fld_mons_status_dontact,      47816,      47817,      47818,      47819,          0,          0, 
71 : fld_mons_status_paralyse,      47820,      47821,      47822,      47823,          0,          0, 
72 : fld_mons_status_charm,      47824,      47825,      47826,      47827,          0,          0, 
73 : xswapdisc_error_text_title,      47828,      47829,      47830,      47831,          0,          0, 
74 : xswapdisc_error_text_text,      47832,      47833,      47834,      47835,          0,          0, 
75 : xswapdisc_error_text_text,      47836,      47837,      47838,      47839,          0,          0, 
76 : xswapdisc_error_text_button,      47840,      47841,      47842,      47843,          0,          0, 
77 : etc_type_plus,      47844,      47845,      47846,      47847,          0,          0, 
78 : etc_type_kome,      47848,      47849,      47850,      47851,          0,          0, 
79 :   new_game,      47852,      47853,      47854,      47855,          0,          0, 

