           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      47856,      47857,      47858,      47859,          0,          0, 
 1 :    elysion,      47860,      47861,      47862,      47863,          0,          0, 
 2 :        ark,      47864,      47865,      47866,      47867,          0,          0, 
 3 :      gwayn,      47868,      47869,      47870,      47871,          0,          0, 
 4 :  harmonium,      47872,      47873,      47874,      47875,          0,          0, 
 5 :  visistone,      47876,      47877,      47878,      47879,          0,          0, 
 6 : ala_melvilana,      47880,      47881,      47882,      47883,          0,          0, 
 7 : umbermarici,      47884,      47885,      47886,      47887,          0,          0, 
 8 : fuin_remnant,      47888,      47889,      47890,      47891,          0,          0, 
 9 : seikai_remnant,      47892,      47893,      47894,      47895,          0,          0, 
10 : tarisuman_r,      47896,      47897,      47898,      47899,          0,          0, 
11 : tarisuman_i,      47900,      47901,      47902,      47903,          0,          0, 
12 : kerendolows,      47904,      47905,      47906,      47907,          0,          0, 
13 :   gae_bolg,      47908,      47909,      47910,      47911,          0,          0, 
14 :     bilqis,      47912,      47913,      47914,      47915,          0,          0, 
15 : wonder_bangle,      47916,      47917,      47918,      47919,          0,          0, 
16 :  schiavona,      47920,      47921,      47922,      47923,          0,          0, 
17 : namul_niram,      47924,      47925,      47926,      47927,          0,          0, 
18 :  namul_sin,      47928,      47929,      47930,      47931,          0,          0, 
19 :  niram_sin,      47932,      47933,      47934,      47935,          0,          0, 
20 :   lob_omen,      47936,      47937,      47938,      47939,          0,          0, 
21 : rubber_soul,      47940,      47941,      47942,      47943,          0,          0, 
22 : dead_heart,      47944,      47945,      47946,      47947,          0,          0, 
23 :   ria_fall,      47948,      47949,      47950,      47951,          0,          0, 
24 : bunshin_remnant,      47952,      47953,      47954,      47955,          0,          0, 
25 : valeria_heart,      47956,      47957,      47958,      47959,          0,          0, 
26 :    tao_tie,      47960,      47961,      47962,      47963,          0,          0, 
27 : brimuslabus,      47964,      47965,      47966,      47967,          0,          0, 
28 :   blue_elf,      47968,      47969,      47970,      47971,          0,          0, 
29 :  emeth_tag,      47972,      47973,      47974,      47975,          0,          0, 
30 : koorinoken,      47976,      47977,      47978,      47979,          0,          0, 
31 :  obushidan,      47980,      47981,      47982,      47983,          0,          0, 
32 :  gekabijin,      47984,      47985,      47986,      47987,          0,          0, 
33 :   daidaros,      47988,      47989,      47990,      47991,          0,          0, 
34 :  maristosk,      47992,      47993,      47994,      47995,          0,          0, 
35 : ribathi_staff,      47996,      47997,      47998,      47999,          0,          0, 
36 :  buryunaku,      48000,      48001,      48002,      48003,          0,          0, 
37 : shirma_rurion,      48004,      48005,      48006,      48007,          0,          0, 
38 : blood_challis,      48008,      48009,      48010,      48011,          0,          0, 
