           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      48192,      48193,      48194,      48195,          0,          0, 
 1 :     QE0020,      48196,      48197,      48198,      48199,          0,          0, 
 2 :     QE0030,      48200,      48201,      48202,      48203,          0,          0, 
 3 :     QE0040,      48204,      48205,      48206,      48207,          0,          0, 
 4 :     QE0050,      48208,      48209,      48210,      48211,          0,          0, 
 5 :     QE0060,      48212,      48213,      48214,      48215,          0,          0, 
 6 :     QE0070,      48216,      48217,      48218,      48219,          0,          0, 
 7 :     QE0080,      48220,      48221,      48222,      48223,          0,          0, 
 8 :     QE0090,      48224,      48225,      48226,      48227,          0,          0, 
 9 :     QE0100,      48228,      48229,      48230,      48231,          0,          0, 
10 :     QE0110,      48232,      48233,      48234,      48235,          0,          0, 
11 :     QE0120,      48236,      48237,      48238,      48239,          0,          0, 
12 :     QE0130,      48240,      48241,      48242,      48243,          0,          0, 
13 :     QE0140,      48244,      48245,      48246,      48247,          0,          0, 
14 :     QE0150,      48248,      48249,      48250,      48251,          0,          0, 
15 :     QE0160,      48252,      48253,      48254,      48255,          0,          0, 
16 :     QE0170,      48256,      48257,      48258,      48259,          0,          0, 
17 :     QE0180,      48260,      48261,      48262,      48263,          0,          0, 
18 :     QE0190,      48264,      48265,      48266,      48267,          0,          0, 
19 :     QE0210,      48268,      48269,      48270,      48271,          0,          0, 
20 :     QE0220,      48272,      48273,      48274,      48275,          0,          0, 
21 :     QE0230,      48276,      48277,      48278,      48279,          0,          0, 
22 :     QE0240,      48280,      48281,      48282,      48283,          0,          0, 
23 :     QE0250,      48284,      48285,      48286,      48287,          0,          0, 
24 :     QE0260,      48288,      48289,      48290,      48291,          0,          0, 
25 :     QE0270,      48292,      48293,      48294,      48295,          0,          0, 
26 :     QE0280,      48296,      48297,      48298,      48299,          0,          0, 
27 :     QE0290,      48300,      48301,      48302,      48303,          0,          0, 
28 :     QE0300,      48304,      48305,      48306,      48307,          0,          0, 
29 :     QE0310,      48308,      48309,      48310,      48311,          0,          0, 
30 :     QE0320,      48312,      48313,      48314,      48315,          0,          0, 
31 :     QE0330,      48316,      48317,      48318,      48319,          0,          0, 
32 :     QE0340,      48320,      48321,      48322,      48323,          0,          0, 
33 :     QE0350,      48324,      48325,      48326,      48327,          0,          0, 
34 :     QE0390,      48328,      48329,      48330,      48331,          0,          0, 
35 :     QE0400,      48332,      48333,      48334,      48335,          0,          0, 
36 :     QE0440,      48336,      48337,      48338,      48339,          0,          0, 
37 :     QE0450,      48340,      48341,      48342,      48343,          0,          0, 
38 :     QE0460,      48344,      48345,      48346,      48347,          0,          0, 
39 :     QE0470,      48348,      48349,      48350,      48351,          0,          0, 
40 :     QE0480,      48352,      48353,      48354,      48355,          0,          0, 
41 :     QE0530,      48356,      48357,      48358,      48359,          0,          0, 
42 :     QE0540,      48360,      48361,      48362,      48363,          0,          0, 
43 :     QE0650,      48364,      48365,      48366,      48367,          0,          0, 
44 :     QE0820,      48368,      48369,      48370,      48371,          0,          0, 
45 :     QE0840,      48372,      48373,      48374,      48375,          0,          0, 
46 :     QE0940,      48376,      48377,      48378,      48379,          0,          0, 
47 :     QE1020,      48380,      48381,      48382,      48383,          0,          0, 
48 :     QE1050,      48384,      48385,      48386,      48387,          0,          0, 
49 :     QE1060,      48388,      48389,      48390,      48391,          0,          0, 
50 :     QE1070,      48392,      48393,      48394,      48395,          0,          0, 
51 :     QE1080,      48396,      48397,      48398,      48399,          0,          0, 
52 :     QE1090,      48400,      48401,      48402,      48403,          0,          0, 
53 :     QE1100,      48404,      48405,      48406,      48407,          0,          0, 
54 :     QE1110,      48408,      48409,      48410,      48411,          0,          0, 
55 :     QE1120,      48412,      48413,      48414,      48415,          0,          0, 
56 :     QE1130,      48416,      48417,      48418,      48419,          0,          0, 
57 :     QE1140,      48420,      48421,      48422,      48423,          0,          0, 
58 :     QE1150,      48424,      48425,      48426,      48427,          0,          0, 
59 :     QE1160,      48428,      48429,      48430,      48431,          0,          0, 
60 :     QE1170,      48432,      48433,      48434,      48435,          0,          0, 
61 :     QE1180,      48436,      48437,      48438,      48439,          0,          0, 
62 :     QE1190,      48440,      48441,      48442,      48443,          0,          0, 
63 :     QE1200,      48444,      48445,      48446,      48447,          0,          0, 
64 :     QE1210,      48448,      48449,      48450,      48451,          0,          0, 
65 :     QE1220,      48452,      48453,      48454,      48455,          0,          0, 
66 :     QE1230,      48456,      48457,      48458,      48459,          0,          0, 
67 :     QE1240,      48460,      48461,      48462,      48463,          0,          0, 
68 :     QE1250,      48464,      48465,      48466,      48467,          0,          0, 

