           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      48496,      48497,      48498,      48499,          0,          0, 
 1 : THE_LAST_REMNANT,      48500,      48501,      48502,      48503,          0,          0, 
 2 : DEVELOPMENT_TEAM,      48504,      48505,      48506,      48507,          0,          0, 
 3 : DEVELOPMENT_TEAM_Director,      48508,      48509,      48510,      48511,          0,          0, 
 4 : DEVELOPMENT_TEAM_Director_01,      48512,      48513,      48514,      48515,          0,          0, 
 5 : DEVELOPMENT_TEAM_Lead_Planners,      48516,      48517,      48518,      48519,          0,          0, 
 6 : DEVELOPMENT_TEAM_Lead_Planners_01,      48520,      48521,      48522,      48523,          0,          0, 
 7 : DEVELOPMENT_TEAM_Lead_Planners_02,      48524,      48525,      48526,      48527,          0,          0, 
 8 : DEVELOPMENT_TEAM_Lead_Planners_03,      48528,      48529,      48530,      48531,          0,          0, 
 9 : DEVELOPMENT_TEAM_Associate_Planners,      48532,      48533,      48534,      48535,          0,          0, 
10 : DEVELOPMENT_TEAM_Associate_Planners_01,      48536,      48537,      48538,      48539,          0,          0, 
11 : DEVELOPMENT_TEAM_Associate_Planners_02,      48540,      48541,      48542,      48543,          0,          0, 
12 : DEVELOPMENT_TEAM_Associate_Planners_03,      48544,      48545,      48546,      48547,          0,          0, 
13 : DEVELOPMENT_TEAM_Planners,      48548,      48549,      48550,      48551,          0,          0, 
14 : DEVELOPMENT_TEAM_Planners_01,      48552,      48553,      48554,      48555,          0,          0, 
15 : DEVELOPMENT_TEAM_Planners_02,      48556,      48557,      48558,      48559,          0,          0, 
16 : DEVELOPMENT_TEAM_Planners_03,      48560,      48561,      48562,      48563,          0,          0, 
17 : DEVELOPMENT_TEAM_Planners_04,      48564,      48565,      48566,      48567,          0,          0, 
18 : DEVELOPMENT_TEAM_Planners_05,      48568,      48569,      48570,      48571,          0,          0, 
19 : DEVELOPMENT_TEAM_Planners_06,      48572,      48573,      48574,      48575,          0,          0, 
20 : DEVELOPMENT_TEAM_Planners_07,      48576,      48577,      48578,      48579,          0,          0, 
21 : DEVELOPMENT_TEAM_Planners_08,      48580,      48581,      48582,      48583,          0,          0, 
22 : DEVELOPMENT_TEAM_Planners_09,      48584,      48585,      48586,      48587,          0,          0, 
23 : DEVELOPMENT_TEAM_Lead_Programmers,      48588,      48589,      48590,      48591,          0,          0, 
24 : DEVELOPMENT_TEAM_Lead_Programmers_01,      48592,      48593,      48594,      48595,          0,          0, 
25 : DEVELOPMENT_TEAM_Lead_Programmers_02,      48596,      48597,      48598,      48599,          0,          0, 
26 : DEVELOPMENT_TEAM_Programmers,      48600,      48601,      48602,      48603,          0,          0, 
27 : DEVELOPMENT_TEAM_Programmers_01,      48604,      48605,      48606,      48607,          0,          0, 
28 : DEVELOPMENT_TEAM_Programmers_02,      48608,      48609,      48610,      48611,          0,          0, 
29 : DEVELOPMENT_TEAM_Programmers_03,      48612,      48613,      48614,      48615,          0,          0, 
30 : DEVELOPMENT_TEAM_Programmers_04,      48616,      48617,      48618,      48619,          0,          0, 
31 : DEVELOPMENT_TEAM_Programmers_05,      48620,      48621,      48622,      48623,          0,          0, 
32 : DEVELOPMENT_TEAM_Lead_Art_Designer,      48624,      48625,      48626,      48627,          0,          0, 
33 : DEVELOPMENT_TEAM_Lead_Art_Designer_01,      48628,      48629,      48630,      48631,          0,          0, 
34 : DEVELOPMENT_TEAM_Associate_Art_Designer,      48632,      48633,      48634,      48635,          0,          0, 
35 : DEVELOPMENT_TEAM_Associate_Art_Designer_01,      48636,      48637,      48638,      48639,          0,          0, 
36 : DEVELOPMENT_TEAM_Art_Designers,      48640,      48641,      48642,      48643,          0,          0, 
37 : DEVELOPMENT_TEAM_Art_Designers_01,      48644,      48645,      48646,      48647,          0,          0, 
38 : DEVELOPMENT_TEAM_Art_Designers_02,      48648,      48649,      48650,      48651,          0,          0, 
39 : DEVELOPMENT_TEAM_Art_Designers_03,      48652,      48653,      48654,      48655,          0,          0, 
40 : DEVELOPMENT_TEAM_Art_Designers_04,      48656,      48657,      48658,      48659,          0,          0, 
41 : DEVELOPMENT_TEAM_Art_Designers_05,      48660,      48661,      48662,      48663,          0,          0, 
42 : DEVELOPMENT_TEAM_Art_Designers_06,      48664,      48665,      48666,      48667,          0,          0, 
