           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      52440,      52441,      52442,      52443,          0,          0, 
 1 :       None,      52444,      52445,      52446,      52447,          0,          0, 
 2 : color_none_boss,      52448,      52449,      52450,      52451,          0,          0, 
 3 : color_none_rare,      52452,      52453,      52454,      52455,          0,          0, 
 4 : color_none_event,      52456,      52457,      52458,      52459,          0,          0, 
 5 : color_none_3rd,      52460,      52461,      52462,      52463,          0,          0, 
 6 : color_type018,      52464,      52465,      52466,      52467,          0,          0, 
 7 : color_type043,      52468,      52469,      52470,      52471,          0,          0, 
 8 :    type001,      52472,      52473,      52474,      52475,          0,          0, 
 9 :    type002,      52476,      52477,      52478,      52479,          0,          0, 
10 :    type003,      52480,      52481,      52482,      52483,          0,          0, 
11 :    type004,      52484,      52485,      52486,      52487,          0,          0, 
12 :    type005,      52488,      52489,      52490,      52491,          0,          0, 
13 :    type006,      52492,      52493,      52494,      52495,          0,          0, 
14 :    type007,      52496,      52497,      52498,      52499,          0,          0, 
15 :    type008,      52500,      52501,      52502,      52503,          0,          0, 
16 :    type009,      52504,      52505,      52506,      52507,          0,          0, 
17 :    type010,      52508,      52509,      52510,      52511,          0,          0, 
18 :    type011,      52512,      52513,      52514,      52515,          0,          0, 
19 :    type012,      52516,      52517,      52518,      52519,          0,          0, 
20 :    type013,      52520,      52521,      52522,      52523,          0,          0, 
21 :    type014,      52524,      52525,      52526,      52527,          0,          0, 
22 :    type015,      52528,      52529,      52530,      52531,          0,          0, 
23 :    type016,      52532,      52533,      52534,      52535,          0,          0, 
24 :    type017,      52536,      52537,      52538,      52539,          0,          0, 
25 :    type018,      52540,      52541,      52542,      52543,          0,          0, 
26 :    type019,      52544,      52545,      52546,      52547,          0,          0, 
27 :    type020,      52548,      52549,      52550,      52551,          0,          0, 
28 :    type021,      52552,      52553,      52554,      52555,          0,          0, 
29 :    type022,      52556,      52557,      52558,      52559,          0,          0, 
30 :    type023,      52560,      52561,      52562,      52563,          0,          0, 
31 :    type024,      52564,      52565,      52566,      52567,          0,          0, 
32 :    type025,      52568,      52569,      52570,      52571,          0,          0, 
33 :    type026,      52572,      52573,      52574,      52575,          0,          0, 
34 :    type027,      52576,      52577,      52578,      52579,          0,          0, 
35 :    type028,      52580,      52581,      52582,      52583,          0,          0, 
36 :    type029,      52584,      52585,      52586,      52587,          0,          0, 
37 :    type030,      52588,      52589,      52590,      52591,          0,          0, 
38 :    type031,      52592,      52593,      52594,      52595,          0,          0, 
39 :    type032,      52596,      52597,      52598,      52599,          0,          0, 
40 :    type033,      52600,      52601,      52602,      52603,          0,          0, 
41 :    type034,      52604,      52605,      52606,      52607,          0,          0, 
42 :    type035,      52608,      52609,      52610,      52611,          0,          0, 
43 :    type036,      52612,      52613,      52614,      52615,          0,          0, 
44 :    type037,      52616,      52617,      52618,      52619,          0,          0, 
45 :    type038,      52620,      52621,      52622,      52623,          0,          0, 
46 :    type039,      52624,      52625,      52626,      52627,          0,          0, 
47 :    type040,      52628,      52629,      52630,      52631,          0,          0, 
48 :    type041,      52632,      52633,      52634,      52635,          0,          0, 
49 :    type042,      52636,      52637,      52638,      52639,          0,          0, 
50 :    type043,      52640,      52641,      52642,      52643,          0,          0, 
51 :    type044,      52644,      52645,      52646,      52647,          0,          0, 
52 :    type045,      52648,      52649,      52650,      52651,          0,          0, 
53 :    type046,      52652,      52653,      52654,      52655,          0,          0, 
54 :    type047,      52656,      52657,      52658,      52659,          0,          0, 
55 :    type048,      52660,      52661,      52662,      52663,          0,          0, 
56 :    type049,      52664,      52665,      52666,      52667,          0,          0, 

