           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      52668,      52669,      52670,      52671,          0,          0, 
 1 :     mitras,      52672,      52673,      52674,      52675,          0,          0, 
 2 :      yamas,      52676,      52677,      52678,      52679,          0,          0, 
 3 :     ksitis,      52680,      52681,      52682,      52683,          0,          0, 
 4 :    sovanis,      52684,      52685,      52686,      52687,          0,          0, 
 5 : mons_category_type_001,      52688,      52689,      52690,      52691,          0,          0, 
 6 : mons_category_type_002,      52692,      52693,      52694,      52695,          0,          0, 
 7 : mons_category_type_003,      52696,      52697,      52698,      52699,          0,          0, 
 8 : mons_category_type_004,      52700,      52701,      52702,      52703,          0,          0, 
 9 : mons_category_type_005,      52704,      52705,      52706,      52707,          0,          0, 
10 : mons_category_type_006,      52708,      52709,      52710,      52711,          0,          0, 
11 : mons_category_type_007,      52712,      52713,      52714,      52715,          0,          0, 
12 : mons_category_type_008,      52716,      52717,      52718,      52719,          0,          0, 
13 : mons_category_type_009,      52720,      52721,      52722,      52723,          0,          0, 
14 : mons_category_type_010,      52724,      52725,      52726,      52727,          0,          0, 
15 : mons_category_type_011,      52728,      52729,      52730,      52731,          0,          0, 
16 : mons_category_type_012,      52732,      52733,      52734,      52735,          0,          0, 
17 : mons_category_type_013,      52736,      52737,      52738,      52739,          0,          0, 
18 : mons_breed_type_001,      52740,      52741,      52742,      52743,          0,          0, 
19 : mons_breed_type_002,      52744,      52745,      52746,      52747,          0,          0, 
20 : mons_breed_type_003,      52748,      52749,      52750,      52751,          0,          0, 
21 : mons_breed_type_004,      52752,      52753,      52754,      52755,          0,          0, 
22 : mons_breed_type_005,      52756,      52757,      52758,      52759,          0,          0, 
23 : mons_breed_type_006,      52760,      52761,      52762,      52763,          0,          0, 
24 : mons_breed_type_007,      52764,      52765,      52766,      52767,          0,          0, 
25 : mons_breed_type_008,      52768,      52769,      52770,      52771,          0,          0, 
26 : mons_breed_type_009,      52772,      52773,      52774,      52775,          0,          0, 
27 : mons_breed_type_010,      52776,      52777,      52778,      52779,          0,          0, 
28 : mons_breed_type_011,      52780,      52781,      52782,      52783,          0,          0, 
29 : mons_breed_type_012,      52784,      52785,      52786,      52787,          0,          0, 
30 : mons_breed_type_013,      52788,      52789,      52790,      52791,          0,          0, 
31 : mons_breed_type_014,      52792,      52793,      52794,      52795,          0,          0, 
32 : mons_breed_type_015,      52796,      52797,      52798,      52799,          0,          0, 
33 : mons_breed_type_016,      52800,      52801,      52802,      52803,          0,          0, 
34 : mons_breed_type_017,      52804,      52805,      52806,      52807,          0,          0, 
35 : mons_breed_type_018,      52808,      52809,      52810,      52811,          0,          0, 
36 : mons_breed_type_019,      52812,      52813,      52814,      52815,          0,          0, 
37 : mons_breed_type_020,      52816,      52817,      52818,      52819,          0,          0, 
38 : mons_breed_type_021,      52820,      52821,      52822,      52823,          0,          0, 
39 : mons_breed_type_022,      52824,      52825,      52826,      52827,          0,          0, 
40 : mons_breed_type_023,      52828,      52829,      52830,      52831,          0,          0, 
41 : mons_breed_type_024,      52832,      52833,      52834,      52835,          0,          0, 
42 : mons_breed_type_025,      52836,      52837,      52838,      52839,          0,          0, 
43 : mons_breed_type_026,      52840,      52841,      52842,      52843,          0,          0, 
44 : mons_breed_type_027,      52844,      52845,      52846,      52847,          0,          0, 
45 : mons_breed_type_028,      52848,      52849,      52850,      52851,          0,          0, 
46 : mons_breed_type_029,      52852,      52853,      52854,      52855,          0,          0, 
47 : mons_breed_type_030,      52856,      52857,      52858,      52859,          0,          0, 
48 : mons_breed_type_031,      52860,      52861,      52862,      52863,          0,          0, 
49 : mons_breed_type_032,      52864,      52865,      52866,      52867,          0,          0, 
50 : mons_breed_type_033,      52868,      52869,      52870,      52871,          0,          0, 

