           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      52872,      52873,      52874,      52875,          0,          0, 
 1 : class_fighter_type_A_001,      52876,      52877,      52878,      52879,          0,          0, 
 2 : class_fighter_type_A_002,      52880,      52881,      52882,      52883,          0,          0, 
 3 : class_fighter_type_A_003,      52884,      52885,      52886,      52887,          0,          0, 
 4 : class_fighter_type_A_004,      52888,      52889,      52890,      52891,          0,          0, 
 5 : class_fighter_type_A_005,      52892,      52893,      52894,      52895,          0,          0, 
 6 : class_fighter_type_A_006,      52896,      52897,      52898,      52899,          0,          0, 
 7 : class_fighter_type_B_001,      52900,      52901,      52902,      52903,          0,          0, 
 8 : class_fighter_type_B_002,      52904,      52905,      52906,      52907,          0,          0, 
 9 : class_fighter_type_B_003,      52908,      52909,      52910,      52911,          0,          0, 
10 : class_fighter_type_B_004,      52912,      52913,      52914,      52915,          0,          0, 
11 : class_fighter_type_B_005,      52916,      52917,      52918,      52919,          0,          0, 
12 : class_fighter_type_B_006,      52920,      52921,      52922,      52923,          0,          0, 
13 : class_fighter_type_C_001,      52924,      52925,      52926,      52927,          0,          0, 
14 : class_fighter_type_C_002,      52928,      52929,      52930,      52931,          0,          0, 
15 : class_fighter_type_C_003,      52932,      52933,      52934,      52935,          0,          0, 
16 : class_fighter_type_C_004,      52936,      52937,      52938,      52939,          0,          0, 
17 : class_fighter_type_C_005,      52940,      52941,      52942,      52943,          0,          0, 
18 : class_fighter_type_C_006,      52944,      52945,      52946,      52947,          0,          0, 
19 : class_fighter_type_D_001,      52948,      52949,      52950,      52951,          0,          0, 
20 : class_fighter_type_D_002,      52952,      52953,      52954,      52955,          0,          0, 
21 : class_fighter_type_D_003,      52956,      52957,      52958,      52959,          0,          0, 
22 : class_fighter_type_D_004,      52960,      52961,      52962,      52963,          0,          0, 
23 : class_fighter_type_D_005,      52964,      52965,      52966,      52967,          0,          0, 
24 : class_fighter_type_D_006,      52968,      52969,      52970,      52971,          0,          0, 
25 : class_fighter_type_E_001,      52972,      52973,      52974,      52975,          0,          0, 
26 : class_fighter_type_E_002,      52976,      52977,      52978,      52979,          0,          0, 
27 : class_fighter_type_E_003,      52980,      52981,      52982,      52983,          0,          0, 
28 : class_fighter_type_E_004,      52984,      52985,      52986,      52987,          0,          0, 
29 : class_fighter_type_E_005,      52988,      52989,      52990,      52991,          0,          0, 
30 : class_fighter_type_E_006,      52992,      52993,      52994,      52995,          0,          0, 
31 : class_fighter_type_F_001,      52996,      52997,      52998,      52999,          0,          0, 
32 : class_fighter_type_F_002,      53000,      53001,      53002,      53003,          0,          0, 
33 : class_fighter_type_F_003,      53004,      53005,      53006,      53007,          0,          0, 
34 : class_fighter_type_F_004,      53008,      53009,      53010,      53011,          0,          0, 
35 : class_fighter_type_F_005,      53012,      53013,      53014,      53015,          0,          0, 
36 : class_fighter_type_F_006,      53016,      53017,      53018,      53019,          0,          0, 
37 : class_fighter_type_G_001,      53020,      53021,      53022,      53023,          0,          0, 
38 : class_fighter_type_G_002,      53024,      53025,      53026,      53027,          0,          0, 
39 : class_fighter_type_G_003,      53028,      53029,      53030,      53031,          0,          0, 
40 : class_fighter_type_G_004,      53032,      53033,      53034,      53035,          0,          0, 
41 : class_fighter_type_G_005,      53036,      53037,      53038,      53039,          0,          0, 
42 : class_fighter_type_G_006,      53040,      53041,      53042,      53043,          0,          0, 
43 : class_fighter_type_H_001,      53044,      53045,      53046,      53047,          0,          0, 
44 : class_fighter_type_H_002,      53048,      53049,      53050,      53051,          0,          0, 
45 : class_fighter_type_H_003,      53052,      53053,      53054,      53055,          0,          0, 
46 : class_fighter_type_H_004,      53056,      53057,      53058,      53059,          0,          0, 
47 : class_fighter_type_H_005,      53060,      53061,      53062,      53063,          0,          0, 
48 : class_fighter_type_H_006,      53064,      53065,      53066,      53067,          0,          0, 
49 : class_fighter_type_I_001,      53068,      53069,      53070,      53071,          0,          0, 
50 : class_fighter_type_I_002,      53072,      53073,      53074,      53075,          0,          0, 
51 : class_fighter_type_I_003,      53076,      53077,      53078,      53079,          0,          0, 
52 : class_fighter_type_I_004,      53080,      53081,      53082,      53083,          0,          0, 
53 : class_fighter_type_I_005,      53084,      53085,      53086,      53087,          0,          0, 
54 : class_fighter_type_I_006,      53088,      53089,      53090,      53091,          0,          0, 
55 : class_fighter_type_J_001,      53092,      53093,      53094,      53095,          0,          0, 
