           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      54400,      54401,      54402,      54403,          0,          0, 
 1 :  emblem_01,      54404,      54405,      54406,      54407,          0,          0, 
 2 :  emblem_02,      54408,      54409,      54410,      54411,          0,          0, 
 3 :  emblem_03,      54412,      54413,      54414,      54415,          0,          0, 
 4 :  emblem_04,      54416,      54417,      54418,      54419,          0,          0, 
 5 :  emblem_05,      54420,      54421,      54422,      54423,          0,          0, 
 6 :  emblem_06,      54424,      54425,      54426,      54427,          0,          0, 
 7 :  emblem_07,      54428,      54429,      54430,      54431,          0,          0, 
 8 :  emblem_08,      54432,      54433,      54434,      54435,          0,          0, 
 9 :  emblem_09,      54436,      54437,      54438,      54439,          0,          0, 
10 :     emblem,      54440,      54441,      54442,      54443,          0,          0, 
11 :     emblem,      54444,      54445,      54446,      54447,          0,          0, 
12 :     emblem,      54448,      54449,      54450,      54451,          0,          0, 
13 :     emblem,      54452,      54453,      54454,      54455,          0,          0, 
14 :     emblem,      54456,      54457,      54458,      54459,          0,          0, 
15 :     emblem,      54460,      54461,      54462,      54463,          0,          0, 
16 :     emblem,      54464,      54465,      54466,      54467,          0,          0, 
17 :     emblem,      54468,      54469,      54470,      54471,          0,          0, 
18 :     emblem,      54472,      54473,      54474,      54475,          0,          0, 
19 :     emblem,      54476,      54477,      54478,      54479,          0,          0, 
20 :     emblem,      54480,      54481,      54482,      54483,          0,          0, 
21 :     emblem,      54484,      54485,      54486,      54487,          0,          0, 
22 :     emblem,      54488,      54489,      54490,      54491,          0,          0, 
23 :     emblem,      54492,      54493,      54494,      54495,          0,          0, 
24 :     emblem,      54496,      54497,      54498,      54499,          0,          0, 
25 :     emblem,      54500,      54501,      54502,      54503,          0,          0, 
26 :     emblem,      54504,      54505,      54506,      54507,          0,          0, 
27 :     emblem,      54508,      54509,      54510,      54511,          0,          0, 
28 :     emblem,      54512,      54513,      54514,      54515,          0,          0, 
29 :     emblem,      54516,      54517,      54518,      54519,          0,          0, 
30 :     emblem,      54520,      54521,      54522,      54523,          0,          0, 
31 :     emblem,      54524,      54525,      54526,      54527,          0,          0, 
32 :     emblem,      54528,      54529,      54530,      54531,          0,          0, 
33 :     emblem,      54532,      54533,      54534,      54535,          0,          0, 
34 :     emblem,      54536,      54537,      54538,      54539,          0,          0, 
35 :     emblem,      54540,      54541,      54542,      54543,          0,          0, 
36 :     emblem,      54544,      54545,      54546,      54547,          0,          0, 
37 :     emblem,      54548,      54549,      54550,      54551,          0,          0, 
38 :     emblem,      54552,      54553,      54554,      54555,          0,          0, 
39 :     emblem,      54556,      54557,      54558,      54559,          0,          0, 
40 :     emblem,      54560,      54561,      54562,      54563,          0,          0, 
41 :     emblem,      54564,      54565,      54566,      54567,          0,          0, 
42 :     emblem,      54568,      54569,      54570,      54571,          0,          0, 
43 :     emblem,      54572,      54573,      54574,      54575,          0,          0, 

