           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      54576,      54577,      54578,      54579,          0,          0, 
 1 : type001_001,      54580,      54581,      54582,      54583,          0,          0, 
 2 : type001_002,      54584,      54585,      54586,      54587,          0,          0, 
 3 : type001_003,      54588,      54589,      54590,      54591,          0,          0, 
 4 : type002_001,      54592,      54593,      54594,      54595,          0,          0, 
 5 : type002_002,      54596,      54597,      54598,      54599,          0,          0, 
 6 : type002_003,      54600,      54601,      54602,      54603,          0,          0, 
 7 : type002_004,      54604,      54605,      54606,      54607,          0,          0, 
 8 : type002_005,      54608,      54609,      54610,      54611,          0,          0, 
 9 : type002_006,      54612,      54613,      54614,      54615,          0,          0, 
10 : type002_007,      54616,      54617,      54618,      54619,          0,          0, 
11 : type003_001,      54620,      54621,      54622,      54623,          0,          0, 
12 : type003_002,      54624,      54625,      54626,      54627,          0,          0, 
13 : type003_003,      54628,      54629,      54630,      54631,          0,          0, 
14 : type003_004,      54632,      54633,      54634,      54635,          0,          0, 
15 : type003_005,      54636,      54637,      54638,      54639,          0,          0, 
16 : type003_006,      54640,      54641,      54642,      54643,          0,          0, 
17 : type003_007,      54644,      54645,      54646,      54647,          0,          0, 
18 : type004_001,      54648,      54649,      54650,      54651,          0,          0, 
19 : type004_002,      54652,      54653,      54654,      54655,          0,          0, 
20 : type004_003,      54656,      54657,      54658,      54659,          0,          0, 
21 : type004_004,      54660,      54661,      54662,      54663,          0,          0, 
22 : type004_005,      54664,      54665,      54666,      54667,          0,          0, 
23 : type004_006,      54668,      54669,      54670,      54671,          0,          0, 
24 : type004_007,      54672,      54673,      54674,      54675,          0,          0, 
25 : type004_008,      54676,      54677,      54678,      54679,          0,          0, 
26 : type004_009,      54680,      54681,      54682,      54683,          0,          0, 
27 : type004_010,      54684,      54685,      54686,      54687,          0,          0, 
28 : type004_011,      54688,      54689,      54690,      54691,          0,          0, 
29 : type004_012,      54692,      54693,      54694,      54695,          0,          0, 
30 : type004_013,      54696,      54697,      54698,      54699,          0,          0, 
31 : type005_001,      54700,      54701,      54702,      54703,          0,          0, 
32 : type005_002,      54704,      54705,      54706,      54707,          0,          0, 
33 : type005_003,      54708,      54709,      54710,      54711,          0,          0, 
34 : type005_004,      54712,      54713,      54714,      54715,          0,          0, 
35 : type005_005,      54716,      54717,      54718,      54719,          0,          0, 
36 : type006_001,      54720,      54721,      54722,      54723,          0,          0, 
37 : type006_002,      54724,      54725,      54726,      54727,          0,          0, 
38 : type006_003,      54728,      54729,      54730,      54731,          0,          0, 
39 : type006_004,      54732,      54733,      54734,      54735,          0,          0, 
40 : type006_005,      54736,      54737,      54738,      54739,          0,          0, 
41 : type007_001,      54740,      54741,      54742,      54743,          0,          0, 
