           km_, km_StrNo_text, km_StrNo_text_s, km_StrNo_text_k1, km_StrNo_text_k2, km_window_type, km_font_type, 
       sSlabel,    eString,    eString,    eString,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,      55252,      55253,      55254,      55255,          0,          0, 
 1 :   tips_001,      55256,      55257,      55258,      55259,          0,          0, 
 2 :   tips_002,      55260,      55261,      55262,      55263,          0,          0, 
 3 :   tips_003,      55264,      55265,      55266,      55267,          0,          0, 
 4 :   tips_004,      55268,      55269,      55270,      55271,          0,          0, 
 5 :   tips_005,      55272,      55273,      55274,      55275,          0,          0, 
 6 :   tips_006,      55276,      55277,      55278,      55279,          0,          0, 
 7 :   tips_007,      55280,      55281,      55282,      55283,          0,          0, 
 8 :   tips_008,      55284,      55285,      55286,      55287,          0,          0, 
 9 :   tips_009,      55288,      55289,      55290,      55291,          0,          0, 
10 :   tips_010,      55292,      55293,      55294,      55295,          0,          0, 
11 :   tips_011,      55296,      55297,      55298,      55299,          0,          0, 
12 :   tips_012,      55300,      55301,      55302,      55303,          0,          0, 
13 :   tips_013,      55304,      55305,      55306,      55307,          0,          0, 
14 :   tips_014,      55308,      55309,      55310,      55311,          0,          0, 
15 :   tips_015,      55312,      55313,      55314,      55315,          0,          0, 
16 :   tips_016,      55316,      55317,      55318,      55319,          0,          0, 
17 :   tips_017,      55320,      55321,      55322,      55323,          0,          0, 
18 :   tips_018,      55324,      55325,      55326,      55327,          0,          0, 
19 :   tips_019,      55328,      55329,      55330,      55331,          0,          0, 
20 :   tips_020,      55332,      55333,      55334,      55335,          0,          0, 
21 :   tips_021,      55336,      55337,      55338,      55339,          0,          0, 
22 :   tips_022,      55340,      55341,      55342,      55343,          0,          0, 
23 :   tips_023,      55344,      55345,      55346,      55347,          0,          0, 
24 :   tips_024,      55348,      55349,      55350,      55351,          0,          0, 
25 :   tips_025,      55352,      55353,      55354,      55355,          0,          0, 
26 :   tips_026,      55356,      55357,      55358,      55359,          0,          0, 
27 :   tips_027,      55360,      55361,      55362,      55363,          0,          0, 
28 :   tips_028,      55364,      55365,      55366,      55367,          0,          0, 
29 :   tips_029,      55368,      55369,      55370,      55371,          0,          0, 
30 :   tips_030,      55372,      55373,      55374,      55375,          0,          0, 
31 :   tips_031,      55376,      55377,      55378,      55379,          0,          0, 
32 :   tips_032,      55380,      55381,      55382,      55383,          0,          0, 
33 :   tips_033,      55384,      55385,      55386,      55387,          0,          0, 
34 :   tips_034,      55388,      55389,      55390,      55391,          0,          0, 
35 :   tips_035,      55392,      55393,      55394,      55395,          0,          0, 
36 :   tips_036,      55396,      55397,      55398,      55399,          0,          0, 
37 :   tips_037,      55400,      55401,      55402,      55403,          0,          0, 
38 :   tips_038,      55404,      55405,      55406,      55407,          0,          0, 
39 :   tips_039,      55408,      55409,      55410,      55411,          0,          0, 
40 :   tips_040,      55412,      55413,      55414,      55415,          0,          0, 
41 :   tips_041,      55416,      55417,      55418,      55419,          0,          0, 
42 :   tips_042,      55420,      55421,      55422,      55423,          0,          0, 
43 :   tips_043,      55424,      55425,      55426,      55427,          0,          0, 
44 :   tips_044,      55428,      55429,      55430,      55431,          0,          0, 
45 :   tips_045,      55432,      55433,      55434,      55435,          0,          0, 
46 :   tips_046,      55436,      55437,      55438,      55439,          0,          0, 
47 :   tips_047,      55440,      55441,      55442,      55443,          0,          0, 
48 :   tips_048,      55444,      55445,      55446,      55447,          0,          0, 
49 :   tips_049,      55448,      55449,      55450,      55451,          0,          0, 
50 :   tips_050,      55452,      55453,      55454,      55455,          0,          0, 
51 :   tips_051,      55456,      55457,      55458,      55459,          0,          0, 
52 :   tips_052,      55460,      55461,      55462,      55463,          0,          0, 
53 :   tips_053,      55464,      55465,      55466,      55467,          0,          0, 
54 :   tips_054,      55468,      55469,      55470,      55471,          0,          0, 
55 :   tips_055,      55472,      55473,      55474,      55475,          0,          0, 
56 :   tips_056,      55476,      55477,      55478,      55479,          0,          0, 
57 :   tips_057,      55480,      55481,      55482,      55483,          0,          0, 
58 :   tips_058,      55484,      55485,      55486,      55487,          0,          0, 
59 :   tips_059,      55488,      55489,      55490,      55491,          0,          0, 
60 :   tips_060,      55492,      55493,      55494,      55495,          0,          0, 
61 :   tips_061,      55496,      55497,      55498,      55499,          0,          0, 
62 :   tips_062,      55500,      55501,      55502,      55503,          0,          0, 
63 :   tips_063,      55504,      55505,      55506,      55507,          0,          0, 
64 :   tips_064,      55508,      55509,      55510,      55511,          0,          0, 
65 :   tips_065,      55512,      55513,      55514,      55515,          0,          0, 
66 :   tips_066,      55516,      55517,      55518,      55519,          0,          0, 
67 :   tips_067,      55520,      55521,      55522,      55523,          0,          0, 
68 :   tips_068,      55524,      55525,      55526,      55527,          0,          0, 
69 :   tips_069,      55528,      55529,      55530,      55531,          0,          0, 
70 :   tips_070,      55532,      55533,      55534,      55535,          0,          0, 
71 :   tips_071,      55536,      55537,      55538,      55539,          0,          0, 
72 :   tips_072,      55540,      55541,      55542,      55543,          0,          0, 
73 :   tips_073,      55544,      55545,      55546,      55547,          0,          0, 
74 :   tips_074,      55548,      55549,      55550,      55551,          0,          0, 
75 :   tips_075,      55552,      55553,      55554,      55555,          0,          0, 
76 :   tips_076,      55556,      55557,      55558,      55559,          0,          0, 
77 :   tips_077,      55560,      55561,      55562,      55563,          0,          0, 
78 :   tips_078,      55564,      55565,      55566,      55567,          0,          0, 
79 :   tips_079,      55568,      55569,      55570,      55571,          0,          0, 
80 :   tips_080,      55572,      55573,      55574,      55575,          0,          0, 
81 :   tips_081,      55576,      55577,      55578,      55579,          0,          0, 
82 :   tips_082,      55580,      55581,      55582,      55583,          0,          0, 
83 :   tips_083,      55584,      55585,      55586,      55587,          0,          0, 
84 :   tips_084,      55588,      55589,      55590,      55591,          0,          0, 
85 :   tips_085,      55592,      55593,      55594,      55595,          0,          0, 
86 :   tips_086,      55596,      55597,      55598,      55599,          0,          0, 
87 :   tips_087,      55600,      55601,      55602,      55603,          0,          0, 
88 :   tips_088,      55604,      55605,      55606,      55607,          0,          0, 
89 :   tips_089,      55608,      55609,      55610,      55611,          0,          0, 
90 :   tips_090,      55612,      55613,      55614,      55615,          0,          0, 
91 :   tips_091,      55616,      55617,      55618,      55619,          0,          0, 
92 :   tips_092,      55620,      55621,      55622,      55623,          0,          0, 
93 :   tips_093,      55624,      55625,      55626,      55627,          0,          0, 
94 :   tips_094,      55628,      55629,      55630,      55631,          0,          0, 
95 :   tips_095,      55632,      55633,      55634,      55635,          0,          0, 
96 :   tips_096,      55636,      55637,      55638,      55639,          0,          0, 
97 :   tips_097,      55640,      55641,      55642,      55643,          0,          0, 
98 :   tips_098,      55644,      55645,      55646,      55647,          0,          0, 
99 :   tips_099,      55648,      55649,      55650,      55651,          0,          0, 
100 :       tips,      55652,      55653,      55654,      55655,          0,          0, 
101 :       tips,      55656,      55657,      55658,      55659,          0,          0, 
102 :       tips,      55660,      55661,      55662,      55663,          0,          0, 
103 :       tips,      55664,      55665,      55666,      55667,          0,          0, 
104 :       tips,      55668,      55669,      55670,      55671,          0,          0, 
105 :       tips,      55672,      55673,      55674,      55675,          0,          0, 
106 :       tips,      55676,      55677,      55678,      55679,          0,          0, 
107 :       tips,      55680,      55681,      55682,      55683,          0,          0, 
108 :       tips,      55684,      55685,      55686,      55687,          0,          0, 
109 :       tips,      55688,      55689,      55690,      55691,          0,          0, 
110 :       tips,      55692,      55693,      55694,      55695,          0,          0, 
111 :       tips,      55696,      55697,      55698,      55699,          0,          0, 
112 :       tips,      55700,      55701,      55702,      55703,          0,          0, 
113 :       tips,      55704,      55705,      55706,      55707,          0,          0, 
114 :       tips,      55708,      55709,      55710,      55711,          0,          0, 
115 :       tips,      55712,      55713,      55714,      55715,          0,          0, 
116 :       tips,      55716,      55717,      55718,      55719,          0,          0, 
117 :       tips,      55720,      55721,      55722,      55723,          0,          0, 
118 :       tips,      55724,      55725,      55726,      55727,          0,          0, 
119 :       tips,      55728,      55729,      55730,      55731,          0,          0, 
120 :       tips,      55732,      55733,      55734,      55735,          0,          0, 
121 :       tips,      55736,      55737,      55738,      55739,          0,          0, 
122 :       tips,      55740,      55741,      55742,      55743,          0,          0, 
123 :       tips,      55744,      55745,      55746,      55747,          0,          0, 
124 :       tips,      55748,      55749,      55750,      55751,          0,          0, 
125 :       tips,      55752,      55753,      55754,      55755,          0,          0, 
126 :       tips,      55756,      55757,      55758,      55759,          0,          0, 
127 :       tips,      55760,      55761,      55762,      55763,          0,          0, 
128 :       tips,      55764,      55765,      55766,      55767,          0,          0, 
129 :    test_00,      55768,      55769,      55770,      55771,          0,          0, 
130 :    test_01,      55772,      55773,      55774,      55775,          0,          0, 
131 :    test_02,      55776,      55777,      55778,      55779,          0,          0, 
132 :    test_03,      55780,      55781,      55782,      55783,          0,          0, 
133 :    test_04,      55784,      55785,      55786,      55787,          0,          0, 

