           km_,      km_id,    km_type, km_direction,    km_icon, km_StrNo_eff_pkgname, km_control_lock, km_control_noact, 
       sSlabel,     eUCHAR,     eSCHAR,     eSCHAR,     eSCHAR,    eString,     eUCHAR,     eUCHAR, 
 0 : none_completely,          0,         -1,          0,         -1,      55788,          0,          0, 
 1 :    none_pm,          1,         -1,          1,         -1,      55789,          0,          0, 
 2 :    none_mp,          2,         -1,          2,         -1,      55790,          0,          0, 
 3 : lockup_each_opt_pm,          3,          0,          3,          0,      55791,          1,          0, 
 4 : lockup_each_opt_mp,          4,          0,          3,          0,      55792,          1,          0, 
 5 : multi_lockup_pm,         11,          0,          3,          0,      55793,          1,          0, 
 6 : multi_lockup_mp,         12,          0,          3,          0,      55794,          1,          0, 
 7 : lockup_opt_pm,          7,          0,          1,          0,      55795,          1,          1, 
 8 : lockup_opt_mp,          8,          0,          2,          0,      55796,          1,          1, 
 9 : lockup_sud_pm,          9,          0,          3,          0,      55797,          1,          0, 
10 : lockup_sud_mp,         10,          0,          3,          0,      55798,          1,          0, 
11 : sideattack_pm,         15,          2,          1,          3,      55799,          0,          1, 
12 : sideattack_mp,         16,          2,          2,          4,      55800,          0,          1, 
13 : rearassault_pm,         13,          1,          1,          1,      55801,          0,          1, 
14 : rearassault_mp,         14,          1,          2,          2,      55802,          0,          1, 
15 : massivestrike_pm,         17,          3,          1,          5,      55803,          0,          1, 
16 : massivestrike_mp,         18,          3,          2,          6,      55804,          0,          1, 
17 :  charge_pm,         19,          0,          1,          7,      55805,          1,          1, 
18 :  charge_mp,         20,          0,          2,          8,      55806,          1,          1, 
19 : broke_lockup,         21,         -1,          0,          9,      55807,          0,          0, 
20 : broken_lockup,         22,         -1,          0,         10,      55808,          0,          0, 

