           km_,   km_namen,    km_help,    km_icon, km_main_category, km_menu_order, 
       sSlabel,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,    eUSHORT, 
 0 : type_attack_01,          1,          7,          0,          0,          0, 
 1 : type_arts_01,         15,          8,         41,          1,        100, 
 2 : type_arts_02,         16,          9,         42,          1,        101, 
 3 : type_arts_03,         17,         10,         43,          1,        102, 
 4 : type_arts_04,         18,         11,         44,          1,        103, 
 5 : type_arts_05,         19,         12,         45,          1,        104, 
 6 : type_arts_06,         20,         13,         46,          1,        105, 
 7 : type_arts_07,         21,         14,         47,          1,        106, 
 8 : type_magic_01,          8,         15,         21,          2,        200, 
 9 : type_magic_02,          9,         16,         22,          2,        201, 
10 : type_magic_03,         10,         17,         23,          2,        202, 
11 : type_magic_04,         11,         18,         24,          2,        203, 
12 : type_magic_05,         12,         19,         25,          2,        204, 
13 : type_magic_06,         13,         20,         26,          2,        205, 
14 : type_magic_07,         14,         21,         27,          2,        206, 
15 : type_item_01,          2,         22,         31,          3,        300, 
16 : type_item_02,          3,         23,         32,          3,        301, 
17 : type_item_03,          4,         24,         33,          3,        302, 
18 : type_item_04,          5,         25,         34,          3,        303, 
19 : type_item_05,          6,         26,         35,          3,        304, 
20 : type_item_06,          7,         27,         36,          3,        305, 
21 : type_arts_08,         22,         28,         14,          5,        400, 
22 : type_arts_09,         23,         29,         15,          5,        401, 
23 : type_monsact_01,         24,         30,          0,          4,        500, 
24 : type_monsact_02,         25,         31,          0,          4,        501, 
25 : type_ex_01,         26,         32,         28,          5,        600, 
26 : type_ex_02,         27,         33,         28,          5,        601, 

