           km_, km_is_attack, km_eqstyle,  km_eqtype, km_is_mgc_category, km_is_item_category, km_menu_category, 
       sSlabel,     eUCHAR,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,    eGLOBAL, 
 0 :     Attack,          1,         -1,         -1,          0,          0,    4456448, 
 1 : arts_eqstyle_oh_oh,          0,          0,         -1,          0,          0,    4456449, 
 2 : arts_eqstyle_oh_th,          0,          1,         -1,          0,          0,    4456450, 
 3 : arts_eqstyle_oh_ww,          0,          2,         -1,          0,          0,    4456451, 
 4 : arts_eqstyle_th_th,          0,          3,         -1,          0,          0,    4456452, 
 5 : arts_eqstyle_s_fw,          0,          4,         -1,          0,          0,    4456453, 
 6 : arts_eqstyle_s_oh,          0,          5,         -1,          0,          0,    4456454, 
 7 : arts_eqstyle_s_th,          0,          6,         -1,          0,          0,    4456455, 
 8 : arts_eqcategory_swrod,          0,         -1,          0,          0,          0,    4325376, 
 9 : arts_eqcategory_katana,          0,         -1,         21,          0,          0,    4325377, 
10 : arts_eqcategory_axe,          0,         -1,         42,          0,          0,    4325378, 
11 : arts_eqcategory_hammer,          0,         -1,         63,          0,          0,    4325379, 
12 : arts_eqcategory_spear,          0,         -1,         84,          0,          0,    4325380, 
13 : arts_eqcategory_mace,          0,         -1,        105,          0,          0,    4325381, 
14 : magic_totsugeki,          0,         -1,         -1,          1,          0,    4456456, 
15 : magic_sogeki,          0,         -1,         -1,          1,          0,    4456457, 
16 : magic_kousaku,          0,         -1,         -1,          1,          0,    4456458, 
17 : magic_kyujo,          0,         -1,         -1,          1,          0,    4456459, 
18 : magic_senjutsu,          0,         -1,         -1,          1,          0,    4456460, 
19 : magic_senryaku,          0,         -1,         -1,          1,          0,    4456461, 
20 : magic_kinki,          0,         -1,         -1,          1,          0,    4456462, 
21 : item_yakusou,          0,         -1,         -1,          0,          1,    4456463, 
22 : item_potion,          0,         -1,         -1,          0,          1,    4456464, 
23 :  item_nuri,          0,         -1,         -1,          0,          1,    4456465, 
24 : item_bakuyaku,          0,         -1,         -1,          0,          1,    4456466, 
25 : item_mahen,          0,         -1,         -1,          0,          1,    4456467, 
26 : item_special,          0,         -1,         -1,          0,          1,    4456468, 

