           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       1172,          0,          0, 
 1 :   add_rise,       1173,          0,          0, 
 2 : add_release,       1174,          0,          0, 
 3 : rise_fumble,       1175,          0,          0, 
 4 : rise_timeshift,       1176,          0,          0, 
 5 : rise_sleep,       1177,          0,          0, 
 6 : rise_charm,       1178,          0,          0, 
 7 : rise_animate,       1179,          0,          0, 
 8 : rise_defense,       1180,          0,          0, 
 9 :  rise_wait,       1181,          0,          0, 
10 : release_fumble,       1182,          0,          0, 
11 : release_blind,       1183,          0,          0, 
12 : release_paralysis,       1184,          0,          0, 
13 : release_silence,       1185,          0,          0, 
14 : release_poison,       1186,          0,          0, 
15 : release_mine,       1187,          0,          0, 
16 : release_timeshift,       1188,          0,          0, 
17 : release_sleep,       1189,          0,          0, 
18 : release_curse,       1190,          0,          0, 
19 : release_charm,       1191,          0,          0, 
20 : release_animate,       1192,          0,          0, 
21 : release_decoy,       1193,          0,          0, 
22 : release_stealth,       1194,          0,          0, 
23 : release_hp_up,       1195,          0,          0, 
24 : release_hp_down,       1196,          0,          0, 
25 : release_ap_up,       1197,          0,          0, 
26 : release_ap_down,       1198,          0,          0, 
27 : release_apc_up,       1199,          0,          0, 
28 : release_apc_down,       1200,          0,          0, 
29 : release_str_up,       1201,          0,          0, 
30 : release_str_down,       1202,          0,          0, 
31 : release_int_up,       1203,          0,          0, 
32 : release_int_down,       1204,          0,          0, 
33 : release_spd_up,       1205,          0,          0, 
34 : release_spd_down,       1206,          0,          0, 
35 : release_at_up,       1207,          0,          0, 
36 : release_at_down,       1208,          0,          0, 
37 : release_df_up,       1209,          0,          0, 
38 : release_df_down,       1210,          0,          0, 
39 : release_guard_up,       1211,          0,          0, 
40 : release_guard_down,       1212,          0,          0, 
41 : unit_status_001,       1213,          0,          0, 
42 : unit_status_002,       1214,          0,          0, 
43 : unit_status_003,       1215,          0,          0, 
44 : unit_status_004,       1216,          0,          0, 
45 : unit_status_005,       1217,          0,          0, 
