           km_,     km_lv1,     km_lv2,     km_lv3,     km_lv4,     km_lv5, 
       sSlabel,     eSLONG,     eSLONG,     eSLONG,     eSLONG,     eSLONG, 
 0 :          C,          0,         32,        106,        222,        399, 
 1 :          B,          0,         57,        169,        333,        599, 
 2 :          A,          0,         86,        186,        366,        659, 
 3 :          S,          0,         95,        204,        402,        724, 
 4 :         SS,          0,        104,        225,        443,        797, 
 5 :      cureC,          0,         22,         55,        143,        257, 
 6 :      cureB,          0,         39,         83,        215,        386, 
 7 :      cureA,          0,         47,         91,        236,        425, 
 8 :      cureS,          0,         52,        100,        260,        467, 
 9 :      itemC,          0,         16,         37,         92,        166, 
10 :      itemB,          0,         40,         55,        138,        248, 
11 :      itemA,          0,         44,         61,        152,        273, 
12 :      Items,          0,         48,         67,        167,        301, 
13 :     itemSS,          0,         53,         73,        184,        331, 

