           km_,      km_id, 
       sSlabel,     eUCHAR, 
 0 : ex_gae_bolg,          0, 
 1 : Rush_Act_EX01,          0, 
 2 : rush_summons_new,          0, 
 3 :     Attack,          0, 
 4 : arts_skill_oh_oh_nagiharai,          0, 
 5 : arts_skill_oh_oh_cutin,          0, 
 6 : arts_skill_oh_oh_denkoseka,          0, 
 7 : arts_skill_oh_oh_kasuminidan,          0, 
 8 : arts_skill_oh_oh_jyumonjikiri,          0, 
 9 : arts_skill_oh_oh_finalletter,          0, 
10 : arts_skill_oh_oh_kabutowari,          0, 
11 : arts_skill_oh_oh_ketugeka,          0, 
12 : arts_skill_oh_oh_kousokunabura,          0, 
13 : arts_skill_oh_oh_makiwari,          0, 
14 : arts_skill_oh_oh_hardhit,          0, 
15 : arts_skill_oh_oh_kamekourawari,          0, 
16 : arts_skill_oh_th_smash,          0, 
17 : arts_skill_oh_th_crossbreak,          0, 
18 : arts_skill_oh_th_switchback,          0, 
19 : arts_skill_oh_th_uppersmash,          0, 
20 : arts_skill_oh_th_ryubikaeshi,          0, 
21 : arts_skill_oh_th_vimpact,          0, 
22 : arts_skill_oh_th_dizurizangetsu,          0, 
23 : arts_skill_oh_th_tsukikagenotati,          0, 
24 : arts_skill_oh_th_bladeroll,          0, 
25 : arts_skill_oh_th_jigenzan,          0, 
26 : arts_skill_oh_th_hyperhammer,          0, 
27 : arts_skill_oh_th_kasatujyuryokuha,          0, 
28 : arts_skill_oh_ww_taibokukiri,          0, 
29 : arts_skill_oh_ww_enbuken,          0, 
30 : arts_skill_oh_ww_kyosinken,          0, 
31 : arts_skill_oh_ww_fudoken,          0, 
32 : arts_skill_oh_ww_screwdriver,          0, 
33 : arts_skill_oh_ww_bloodspartan,          0, 
34 : arts_skill_oh_ww_gurennotati,          0, 
35 : arts_skill_oh_ww_samidarekiri,          0, 
36 : arts_skill_oh_ww_axelturn,          0, 
37 : arts_skill_oh_ww_deadlyspin,          0, 
38 : arts_skill_oh_ww_swingdown,          0, 
39 : arts_skill_oh_ww_deadend,          0, 
