           km_,   km_namen,    km_help,    km_icon, km_pc_command,  km_lockup, km_lost_lockup, km_sub_target, km_lost_chain, km_order_is_last, km_look_self_ltu, km_move_command, km_no_action, km_forced_ending, km_pos_flank, km_pos_back, km_bonus_st, km_bonus_impress, km_bonus_select_front_ratio, km_bonus_selected_front_ratio, km_logic_target_unit, km_logic_target_union, 
       sSlabel,    eSSHORT,    eSSHORT,    eUSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT, 
 0 : auto_melee,         98,         98,          1,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
 1 : auto_melee_side,         99,         99,          1,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
 2 : auto_melee_back,        100,        100,          1,          0,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
 3 : auto_melee_subtarget,         98,         98,          1,          0,          1,          0,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
 4 :  auto_long,        101,        101,         11,          0,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
 5 : auto_long_subtarget,        102,        102,          5,          0,          0,          1,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
 6 :  auto_wait,        103,        103,          8,          0,          0,          1,          1,          0,          1,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
 7 : auto_wait_l,        104,        104,          4,          0,          1,          0,          1,          0,          1,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
 8 :       None,        105,        105,          8,          0,          0,          1,          1,          0,          1,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
 9 :       Move,          5,          5,          3,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
10 : move_to_ally,          5,          5,          3,          0,          0,          1,          1,          0,          0,          0,          1,          0,          0,          0,          0,         -1,         -1,          0,          0,         -1,         -1, 
11 : atk_fuzzy_01,         60,         60,          1,          1,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2243,         -1, 
12 : cant_target_01,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
13 : cant_target_01_01,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
14 : cant_target_01_02,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
15 : cant_target_01_03,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
16 : cant_target_01_04,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
17 : cant_target_01_05,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
18 : cant_target_01_06,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
19 : cant_target_01_07,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
20 : cant_target_01_08,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
21 : cant_target_01_09,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         18,         -1, 
22 : cant_target_02,          2,          2,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         -1,         -1,          0,          0,         19,         -1, 
23 : bad_status_01,          3,          3,          9,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         20,         -1, 
24 : bad_status_02,          4,          4,          9,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         21,         -1, 
25 : approach_01,          5,          5,          3,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,         -1,         -1,          0,          0,         22,         -1, 
26 : approach_01_00,         19,         19,          5,          1,          0,          1,          1,          1,          0,          0,          1,          0,          0,          0,          0,         -1,         -1,          0,          0,        752,         -1, 
27 : approach_01_01,         49,         49,         11,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,         -1,         -1,          0,          0,       1988,         -1, 
28 : approach_01_02,         50,         50,         11,          1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,         -1,         -1,          0,          0,       1991,         -1, 
29 : approach_01_03,          6,          6,          8,          1,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         23,         -1, 
30 : waiting_01,          6,          6,          8,          1,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         23,         -1, 
31 : waiting_01_01,          6,          6,          8,          1,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         23,         -1, 
32 : waiting_01w,          6,          6,          8,          1,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         23,         -1, 
33 : waiting_02,          7,          7,          2,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         31,          0,          0,         24,         34, 
34 : waiting_02S,          7,          7,          2,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         31,          0,          0,       1539,         34, 
35 : waiting_03,          8,          8,          5,          1,          0,          1,          1,          1,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         27,         18, 
36 : waiting_03_01,          8,          8,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         27,         18, 
37 : waiting_04,          9,          9,          8,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         50,         30, 
38 : waiting_04a,          9,          9,          8,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         50,         30, 
39 : waiting_04b,          9,          9,          8,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         50,         30, 
40 : waiting_04_S,          9,          9,          8,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1,         -1,          0,          0,       1539,         30, 
41 : waiting_04_R,          9,          9,          8,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1,         -1,          0,          0,       1539,         30, 
42 : waiting_04_M,          9,          9,          8,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1539,         30, 
43 : waiting_05,         10,         10,          4,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         59,         -1, 
44 : waiting_05_cls1,         10,         10,          4,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         59,         -1, 
45 : waiting_05_cls2,         10,         10,          4,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         59,         -1, 
46 : waiting_05_a,         10,         10,          4,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         84,         -1, 
47 : waiting_05_b,         10,         10,          4,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        110,         -1, 
48 : waiting_05_c,         10,         10,          4,          1,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        136,         -1, 
49 : defence_01,         11,         11,          4,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,         80,        162,         -1, 
50 : defence_01a,         11,         11,          4,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,         80,        162,         -1, 
51 : defence_02,         12,         12,          4,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,         80,        208,         -1, 
52 : defence_02a,         12,         12,          4,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,         80,        208,         -1, 
53 :    heal_01,         13,         13,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        254,         -1, 
54 : heal_01_01,         13,         13,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        254,         -1, 
55 : heal_01_02,         13,         44,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        414,         -1, 
56 : heal_01_03,         13,         44,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        414,         -1, 
57 : heal_01_05,         13,         13,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        254,         -1, 
58 : heal_01_06,         13,         13,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        254,         -1, 
59 : heal_01_04,         13,         13,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        254,         -1, 
60 :    heal_02,         14,         14,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        304,         -1, 
61 : heal_02_01,         14,         14,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        304,         -1, 
62 : heal_02_02,         14,         45,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        471,         -1, 
63 : heal_02_03,         14,         45,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        471,         -1, 
64 : heal_02_05,         14,         14,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        304,         -1, 
65 : heal_02_06,         14,         14,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        304,         -1, 
66 : heal_02_04,         14,         14,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        304,         -1, 
67 :    heal_03,         15,         15,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        365,         -1, 
68 : heal_03_01,         15,         15,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        365,         -1, 
69 : heal_03_02,         15,         45,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        536,         -1, 
70 : heal_03_03,         15,         45,          5,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        536,         -1, 
71 : heal_03_04,         15,         15,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        365,         -1, 
72 : heal_03_05,         15,         15,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        365,         -1, 
73 : heal_03_06,         15,         15,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        365,         -1, 
74 : waiting_03_a,          8,          8,          5,          1,          0,          1,          1,          1,          1,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,         27,         18, 
75 :    heal_04,         16,         16,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        589,         -1, 
76 : heal_04_01,         16,         16,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        589,         -1, 
77 : heal_04_02,         16,         16,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        589,         -1, 
78 :    heal_05,         17,         17,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        642,         -1, 
79 : heal_05_01,         17,         17,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        642,         -1, 
80 : heal_05_02,         17,         17,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        642,         -1, 
81 :    heal_06,         18,         18,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        703,         -1, 
82 : heal_06_01,         18,         18,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        703,         -1, 
83 :    heal_07,         19,         19,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        752,         -1, 
84 : heal_07_anim_a,         22,         22,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        801,         -1, 
85 : heal_07_anim_b,         22,         22,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        821,         -1, 
86 : heal_10_curse,        106,        106,          5,          1,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,        873,         -1, 
