           km_, km_check_num, km_btl_command, km_logic_ctrl_ctrl_15, km_logic_ctrl_ctrl_14, km_logic_ctrl_ctrl_13, km_logic_ctrl_ctrl_12, km_logic_ctrl_ctrl_11, km_logic_ctrl_ctrl_10, km_logic_ctrl_ctrl_9, km_logic_ctrl_ctrl_8, km_logic_ctrl_ctrl_7, km_logic_ctrl_ctrl_6, km_logic_ctrl_ctrl_5, km_logic_ctrl_ctrl_4, km_logic_ctrl_ctrl_3, km_logic_ctrl_ctrl_2, km_logic_ctrl_ctrl_1, km_logic_ctrl_ctrl_0,   km_ratio, km_moral_above, km_moral_under,    km_tgt1,   km_cond1,  km_arg1_1,  km_arg1_2,    km_tgt2,   km_cond2,  km_arg2_1,  km_arg2_2,    km_tgt3,   km_cond3,  km_arg3_1,  km_arg3_2, 
       sSlabel,     eUCHAR,    eSSHORT,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     e16bit,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT,    eSSHORT,    eSSHORT,    eGLOBAL,    eSSHORT, 
 0 :       ATTR,          2,         23,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         13,        448,    5570563,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 1 :          @,          0,         24,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         13,        448,    5570573,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
 2 :       ATTR,         12,         22,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,         25,        999,         17,        376,         -1,         -1,         13,        340,         -1,         -1, 
 3 :          @,          0,         21,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,        240,        999,         15,          3,          0,        220,         -1,         -1,         -1,         -1, 
 4 :          @,          0,         20,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,        220,        999,         15,          3,          0,        200,         -1,         -1,         -1,         -1, 
 5 :          @,          0,         19,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,        200,        999,         15,          3,          0,        180,         -1,         -1,         -1,         -1, 
 6 :          @,          0,         18,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,        180,        999,         15,          3,          0,        160,         -1,         -1,         -1,         -1, 
 7 :          @,          0,         17,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,        160,        999,         15,          3,          0,        140,         -1,         -1,         -1,         -1, 
 8 :          @,          0,         16,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,        140,        999,         15,          3,          0,        120,         -1,         -1,         -1,         -1, 
 9 :          @,          0,         15,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,        120,        999,         15,          3,          0,        100,         -1,         -1,         -1,         -1, 
10 :          @,          0,         14,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,        100,        999,         15,          3,          0,         80,         -1,         -1,         -1,         -1, 
11 :          @,          0,         13,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,         80,        999,         15,          3,          0,         60,         -1,         -1,         -1,         -1, 
12 :          @,          0,         12,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         17,          3,         60,        999,         15,          3,          0,         40,         -1,         -1,         -1,         -1, 
13 :          @,          0,         25,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          1,        100,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
14 :  ATTR_0999,          4,        252,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          0,          0,        100,          0,          0,         13,        178,   17039360,         -1,         17,        595,         -1,         -1,         13,        524,   17039360,        999, 
15 :          @,          0,        251,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        490,          1,         -1,         17,        507,    7864330,         -1,         13,        178,   17039360,         -1, 
16 :          @,          0,        244,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          1,          0,        100,          0,          0,         17,        491,          3,         -1,         17,        507,    7864321,         -1,         13,        178,   17039360,         -1, 
17 :          @,          0,        242,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          1,          0,          0,        100,          0,          0,         13,        491,          2,         -1,         17,        507,    7864320,         -1,         13,        210,   17039366,         -1, 
18 :  ATTR_0998,          1,        243,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         13,        274,   17039366,         -1,         17,        491,          2,         -1,         17,        507,    7864320,         -1, 
