           km_,   km_namen,    km_help, km_jin_type,  km_jin_lv, km_argument, km_need_daiji, km_need_hero01, km_need_hero02, km_need_hero03, km_need_hero04, km_need_hero05, km_need_hero06, km_need_hero07, km_need_hero08, km_need_hero09, km_need_hero10, km_need_hero11, km_need_hero12, km_need_hero13, km_jin_formation, km_selected_front_ratio, km_add_select_front_ratio, km_add_impress_1, km_add_impress_2, km_add_para_butsu_ap_1, km_add_para_butsu_ac_1, km_add_para_mgc_ap_1, km_add_para_mgc_ac_1, km_add_para_str_1, km_add_para_int_1, km_add_para_spd_1, km_add_para_butsu_ap_2, km_add_para_butsu_ac_2, km_add_para_mgc_ap_2, km_add_para_mgc_ac_2, km_add_para_str_2, km_add_para_int_2, km_add_para_spd_2, km_add_para_butsu_ap_3, km_add_para_butsu_ac_3, km_add_para_mgc_ap_3, km_add_para_mgc_ac_3, km_add_para_str_3, km_add_para_int_3, km_add_para_spd_3, km_add_para_butsu_ap_4, km_add_para_butsu_ac_4, km_add_para_mgc_ap_4, km_add_para_mgc_ac_4, km_add_para_str_4, km_add_para_int_4, km_add_para_spd_4, km_add_para_butsu_ap_5, km_add_para_butsu_ac_5, km_add_para_mgc_ap_5, km_add_para_mgc_ac_5, km_add_para_str_5, km_add_para_int_5, km_add_para_spd_5, 
       sSlabel,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,    eGLOBAL,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : freefight_type_A_001,          1,          1,          1,          1,          0,    8913202,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,          0,         -1,         -1,        100,        100,        100,        100,        100,        100,        104,        100,        100,        100,        100,        100,        100,        104,        100,        100,        100,        100,        100,        100,        104,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100, 
 1 : freefight_type_A_002,          2,          1,          1,          2,          0,    8913202,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,          0,         -1,         -1,        100,        100,        100,        100,        100,        100,        106,        100,        100,        100,        100,        100,        100,        106,        100,        100,        100,        100,        100,        100,        106,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100, 
 2 : freefight_type_A_003,          3,          1,          1,          3,          0,    8913202,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,          0,         -1,         -1,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100,        100, 
 3 : freefight_type_B_001,          4,          2,          2,          1,          0,    8913203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         75,          0,        191,        191,        100,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100, 
 4 : freefight_type_B_002,          5,          2,          2,          2,          0,    8913203,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         75,          0,        192,        192,        100,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100, 
 5 : freefight_type_B_003,          6,          2,          2,          3,          0,    8913203,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         75,          0,        193,        193,        100,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100, 
 6 : freefight_type_C_001,          7,          3,          3,          1,          0,    8913204,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         75,          0,        206,        206,        100,        100,        105,        100,        100,        100,        100,        105,        100,        100,        100,        105,        100,         60,        105,        100,        100,        100,        105,        100,         60,        105,        100,        100,        100,        100,        100,         60,        105,        100,        100,        100,        100,        100,         60, 
 7 : freefight_type_C_002,          8,          3,          3,          2,          0,    8913204,          2,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,         10,         75,          0,        207,        207,        100,        100,        108,        100,        100,        100,        100,        108,        100,        100,        100,        108,        100,         61,        108,        100,        100,        100,        108,        100,         61,        108,        100,        100,        100,        100,        100,         63,        108,        100,        100,        100,        100,        100,         61, 
 8 : freefight_type_C_003,          9,          3,          3,          3,          0,    8913204,          3,          1,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         10,         75,          0,        208,        208,        100,        100,        110,        100,        100,        100,        100,        110,        100,        100,        100,        110,        100,         62,        110,        100,        100,        100,        110,        100,         62,        110,        100,        100,        100,        100,        100,         65,        110,        100,        100,        100,        100,        100,         62, 
 9 : freefight_type_D_001,         10,          4,          4,          1,          0,    8913205,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,         75,          0,        226,        226,        100,        100,        105,        100,        100,        100,         60,        105,        100,        100,        100,        100,        100,        105,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        105, 
10 : freefight_type_D_002,         11,          4,          4,          2,          0,    8913205,          2,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,         15,         75,          0,        227,        227,        100,        100,        108,        100,        100,        100,         61,        108,        100,        100,        100,        100,        100,        108,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        108, 
