           km_, km_atk_position,     km_hno, 
       sSlabel,     eUCHAR,     eUCHAR, 
 0 : freefight_type_A_001,          0,         34, 
 1 :          @,          0,         17, 
 2 :          @,          0,         19, 
 3 :          @,          1,         49, 
 4 :          @,          1,         51, 
 5 : freefight_type_B_001,          0,         66, 
 6 :          @,          0,         16, 
 7 :          @,          0,         20, 
 8 :          @,          1,         33, 
 9 :          @,          1,         35, 
10 : freefight_type_C_001,          0,         50, 
11 :          @,          0,         17, 
12 :          @,          0,         19, 
13 :          @,          1,         32, 
14 :          @,          1,         36, 
15 : freefight_type_D_001,          0,         66, 
16 :          @,          0,          0, 
17 :          @,          0,          1, 
18 :          @,          1,         35, 
19 :          @,          1,         36, 
20 : freefight_type_E_001,          0,         50, 
21 :          @,          0,         17, 
22 :          @,          0,         19, 
23 :          @,          1,         33, 
24 :          @,          1,         35, 
25 : freefight_type_G_001,          0,          0, 
26 :          @,          0,         20, 
27 :          @,          0,         32, 
28 :          @,          1,         52, 
29 :          @,          1,         64, 
30 : freefight_type_I_001,          0,         66, 
31 :          @,          0,         17, 
32 :          @,          0,         19, 
33 :          @,          1,         33, 
34 :          @,          1,         35, 
35 : freefight_type_J_001,          0,         34, 
36 :          @,          0,         17, 
37 :          @,          0,         33, 
38 :          @,          1,         35, 
39 :          @,          1,         51, 
40 : freefight_type_M_001,          0,         18, 
41 :          @,          0,         33, 
42 :          @,          0,         35, 
43 :          @,          1,         50, 
44 :          @,          1,         66, 
45 : freefight_type_O_001,          0,         34, 
46 :          @,          0,          1, 
47 :          @,          0,          3, 
48 :          @,          1,         65, 
49 :          @,          1,         67, 
50 : freefight_type_QUEST1_001,          0,         18, 
51 :          @,          0,         33, 
52 :          @,          0,         35, 
53 :          @,          1,         64, 
54 :          @,          1,         68, 
55 : freefight_type_QUEST2_001,          0,          2, 
56 :          @,          0,         33, 
57 :          @,          0,         35, 
58 :          @,          1,         65, 
59 :          @,          1,         67, 
60 : butsu_attack_type_A_001,          0,         18, 
61 :          @,          0,          2, 
62 :          @,          0,         33, 
63 :          @,          1,         35, 
64 :          @,          1,         66, 
65 : butsu_attack_type_B_001,          0,         34, 
66 :          @,          0,         16, 
67 :          @,          0,         20, 
68 :          @,          0,         49, 
69 :          @,          0,         51, 
70 : butsu_attack_type_C_001,          0,         66, 
71 :          @,          0,          1, 
72 :          @,          0,          3, 
73 :          @,          1,         32, 
74 :          @,          1,         36, 
75 : butsu_attack_type_F_001,          0,         50, 
76 :          @,          0,          0, 
77 :          @,          0,          4, 
78 :          @,          1,         17, 
79 :          @,          1,         19, 
80 : butsu_attack_type_H_001,          0,          2, 
81 :          @,          0,         33, 
82 :          @,          0,         35, 
83 :          @,          1,         64, 
84 :          @,          1,         68, 
85 : butsu_attack_type_K_001,          0,          2, 
86 :          @,          0,         17, 
87 :          @,          0,         19, 
88 :          @,          1,         64, 
89 :          @,          1,         68, 
90 : butsu_attack_type_M_001,          0,          2, 
91 :          @,          0,         17, 
92 :          @,          0,         19, 
93 :          @,          1,         34, 
94 :          @,          1,         50, 
95 : butsu_attack_type_P_001,          0,          1, 
96 :          @,          0,         16, 
97 :          @,          0,         18, 
98 :          @,          1,         67, 
99 :          @,          1,         68, 
100 : butsu_attack_type_Q_001,          0,         34, 
101 :          @,          0,         49, 
102 :          @,          0,         51, 
103 :          @,          1,         17, 
104 :          @,          1,         19, 
105 : butsu_attack_type_R_001,          0,         34, 
106 :          @,          0,         17, 
107 :          @,          0,         19, 
108 :          @,          1,         49, 
109 :          @,          1,         66, 
110 : butsu_attack_type_S_001,          0,          2, 
111 :          @,          0,         18, 
112 :          @,          0,         34, 
113 :          @,          0,         50, 
114 :          @,          0,         66, 
115 : butsu_attack_type_U_001,          0,          2, 
116 :          @,          0,         19, 
117 :          @,          0,         34, 
118 :          @,          1,         49, 
119 :          @,          1,         64, 
120 : butsu_attack_type_X_001,          0,         18, 
121 :          @,          0,         16, 
122 :          @,          0,         20, 
123 :          @,          0,         50, 
124 :          @,          0,         66, 
125 : butsu_attack_type_Y_001,          0,         18, 
126 :          @,          0,          1, 
127 :          @,          0,          3, 
128 :          @,          0,         16, 
129 :          @,          0,         20, 
130 : mahou_attack_type_A_001,          0,         18, 
131 :          @,          0,         33, 
132 :          @,          1,         35, 
133 :          @,          1,         48, 
134 :          @,          1,         52, 
135 : mahou_attack_type_C_001,          0,         66, 
136 :          @,          0,         16, 
137 :          @,          1,         20, 
138 :          @,          1,         49, 
139 :          @,          1,         51, 
140 : mahou_attack_type_E_001,          0,          2, 
141 :          @,          0,         32, 
142 :          @,          1,         36, 
143 :          @,          1,         65, 
144 :          @,          1,         67, 
145 : mahou_attack_type_F_001,          0,          0, 
146 :          @,          0,         17, 
147 :          @,          1,         34, 
148 :          @,          1,         51, 
149 :          @,          1,         68, 
150 : mahou_attack_type_H_001,          0,         34, 
151 :          @,          0,         16, 
152 :          @,          1,         20, 
153 :          @,          1,         33, 
154 :          @,          1,         35, 
155 : mahou_attack_type_J_001,          1,         34, 
156 :          @,          1,         18, 
157 :          @,          1,         33, 
158 :          @,          1,         35, 
159 :          @,          1,         50, 
160 : mahou_attack_type_K_001,          0,         34, 
161 :          @,          0,          0, 
162 :          @,          1,          4, 
163 :          @,          1,         64, 
164 :          @,          1,         68, 
165 : mahou_attack_type_M_001,          0,         66, 
166 :          @,          0,         16, 
167 :          @,          1,         17, 
168 :          @,          1,         19, 
169 :          @,          1,         20, 
170 : mahou_attack_type_O_001,          0,         34, 
171 :          @,          0,         17, 
172 :          @,          1,         19, 
173 :          @,          1,         65, 
174 :          @,          1,         67, 
175 : mahou_attack_type_Q_001,          0,         50, 
176 :          @,          0,         18, 
177 :          @,          1,         33, 
178 :          @,          1,         64, 
179 :          @,          1,         68, 
180 : mahou_attack_type_T_001,          0,          2, 
181 :          @,          0,         16, 
182 :          @,          1,         20, 
