           km_, km_spbtl_id,    km_turn, km_ex_flag1, km_loca_id, km_loca_count,      km_sp,    km_ctrl,   km_sysid,  km_talkid, 
       sSlabel,    eSSHORT,    eSSHORT,     eUCHAR,    eSSHORT,    eSSHORT,     eSCHAR,     eUCHAR,    eSSHORT,    eSSHORT, 
 0 : ttrl_BTL_command,          0,          0,          0,         -1,         -1,         -1,          0,          0,         -1, 
 1 : ttrl_BTL_battle,         -1,          0,          1,         28,          1,         -1,          0,          2,         -1, 
 2 : ttrl_BTL_moral,          1,          0,          1,         -1,         -1,         -1,          0,          7,         -1, 
 3 : ttrl_BTL_CT,         -1,         -1,          1,         -1,         -1,          0,          0,         11,         -1, 
 4 : ttrl_BTL_guest,         -1,          0,          1,         -1,         -1,          1,          0,         17,         -1, 
 5 : ttrl_BTL_enemy_advantage,         -1,          0,          1,         -1,         -1,          2,          0,         19,         -1, 
 6 : ttrl_BTL_dead,         -1,         -1,          1,         -1,         -1,          3,          0,         21,         -1, 
 7 : ttrl_BTL_famble,         -1,         -1,          1,         -1,         -1,          4,          0,         23,         -1, 
 8 : ttrl_BTL_lockup_sideatk,         -1,         -1,          1,         -1,         -1,          5,          0,         25,         -1, 
 9 : ttrl_BTL_lockup_rear_assault,         -1,         -1,          1,         -1,         -1,          6,          0,         27,         -1, 
10 : ttrl_BTL_lockup_massive_strike,         -1,         -1,          1,         -1,         -1,          7,          0,         29,         -1, 
11 : ttrl_BTL_lockup_Interference,         -1,         -1,          1,         -1,         -1,          8,          0,         31,         -1, 
12 : ttrl_BTL_lockup_Raidlock,         -1,         -1,          1,         -1,         -1,          9,          0,         33,         -1, 
13 :  RBC_FIRST,         -1,          0,          1,         24,          1,         -1,          1,         -1,          3, 
14 : RBC_FIRST_sys,         -1,          0,          1,         24,          1,         -1,          0,         35,         -1, 
15 :  GAS_FISRT,         -1,          0,          1,         25,          1,         -1,          1,         -1,          6, 
16 : GAS_FISRT_sys,         -1,          0,          1,         25,          1,         -1,          0,         36,         -1, 
17 : EV0020_EVENT,          0,          2,          0,         -1,         -1,         -1,          1,         -1,          0, 
18 : EV0170_001_BTL,          2,          0,          1,         -1,         -1,         -1,          0,         37,         -1, 
19 : EV0210_001_BTL,          3,          0,          1,         -1,         -1,         -1,          0,         38,         -1, 
20 : EV0250_001_BTL,          4,          0,          1,         -1,         -1,         -1,          0,         39,         -1, 
21 : EV0310_001_BTL,          5,          0,          1,         -1,         -1,         -1,          0,         40,         -1, 
22 : EV0330_001_BTL,          6,          0,          1,         -1,         -1,         -1,          0,         41,         -1, 
23 : EV0610_001_BTL,          7,          0,          1,         -1,         -1,         -1,          0,         42,         -1, 
24 : EV0720_001_BTL,          8,          0,          1,         -1,         -1,         -1,          0,         44,         -1, 
25 : EV0800_001_BTL,          9,          0,          1,         -1,         -1,         -1,          0,         45,         -1, 
26 : EV0830_001_BTL,         10,          0,          1,         -1,         -1,         -1,          0,         46,         -1, 
27 : EV0870_001_BTL,         11,          0,          1,         -1,         -1,         -1,          0,         48,         -1, 
28 : EV1150_001_BTL,         12,          0,          1,         -1,         -1,         -1,          0,         49,         -1, 
29 : EV1155_001_BTL,         13,          0,          1,         -1,         -1,         -1,          0,         50,         -1, 
30 : EV1170_001_BTL,         14,          0,          1,         -1,         -1,         -1,          0,         51,         -1, 
31 : EV1175_001_BTL,         15,          0,          1,         -1,         -1,         -1,          0,         52,         -1, 
32 : EV1190_001_BTL,         16,          0,          1,         -1,         -1,         -1,          0,         53,         -1, 
33 : EV1195_001_BTL,         17,          0,          1,         -1,         -1,         -1,          0,         54,         -1, 
34 : EV1210_001_BTL,         18,          0,          1,         -1,         -1,         -1,          0,         55,         -1, 
35 : EV1215_001_BTL,         19,          0,          1,         -1,         -1,         -1,          0,         56,         -1, 
36 : EV1230_001_BTL,         20,          0,          1,         -1,         -1,         -1,          0,         57,         -1, 
37 : EV1235_001_BTL,         21,          0,          1,         -1,         -1,         -1,          0,         58,         -1, 
38 : EV1250_001_BTL,         22,          0,          1,         -1,         -1,         -1,          0,         59,         -1, 
39 : EV1255_001_BTL,         23,          0,          1,         -1,         -1,         -1,          0,         60,         -1, 
40 : EV1265_001_BTL,         24,          0,          1,         -1,         -1,         -1,          0,         61,         -1, 
41 : EV1280_001_BTL,         25,          0,          1,         -1,         -1,         -1,          0,         62,         -1, 
42 : EV1330_001_BTL,         26,          0,          1,         -1,         -1,         -1,          0,         63,         -1, 
43 : EV1420_001_BTL,         27,          0,          1,         -1,         -1,         -1,          0,         64,         -1, 
44 : EV1450_001_BTL,         28,          0,          1,         -1,         -1,         -1,          0,         65,         -1, 
45 : QE1060_001_BTL,         37,          0,          1,         -1,         -1,         -1,          0,         74,         -1, 
46 : QE0020_001_BTL,         38,          0,          1,         -1,         -1,         -1,          0,         75,         -1, 
47 : QE0290_001_BTL,         39,          0,          1,         -1,         -1,         -1,          0,         76,         -1, 
48 : QE0030_001_BTL,         40,          0,          1,         -1,         -1,         -1,          0,         78,         -1, 
49 : QE0040_001_BTL,         41,          0,          1,         -1,         -1,         -1,          0,         79,         -1, 
50 : QE0470_001_BTL,         42,          0,          1,         -1,         -1,         -1,          0,         80,         -1, 
51 : QE0530_001_BTL,         43,          0,          1,         -1,         -1,         -1,          0,         81,         -1, 
52 : QE0540_001_BTL,         44,          0,          1,         -1,         -1,         -1,          0,         82,         -1, 
53 : QE0540_002_BTL,         45,          0,          1,         -1,         -1,         -1,          0,         83,         -1, 
54 : QE1050_001_BTL,         46,          0,          1,         -1,         -1,         -1,          0,         84,         -1, 
55 : QE1050_002_BTL,         47,          0,          1,         -1,         -1,         -1,          0,         85,         -1, 
56 : QE1050_003_BTL,         48,          0,          1,         -1,         -1,         -1,          0,         86,         -1, 
57 : QE1050_004_BTL,         49,          0,          1,         -1,         -1,         -1,          0,         87,         -1, 
58 : QE1050_005_BTL,         50,          0,          1,         -1,         -1,         -1,          0,         88,         -1, 
59 : QE1050_006_BTL,         51,          0,          1,         -1,         -1,         -1,          0,         89,         -1, 
60 : QE0450_001_BTL,         52,          0,          1,         -1,         -1,         -1,          0,         90,         -1, 
61 : QE1220_001_BTL,         53,          0,          1,         -1,         -1,         -1,          0,         91,         -1, 
62 : QE0050_001_BTL,         54,          0,          1,         -1,         -1,         -1,          0,         92,         -1, 
63 : QE0070_001_BTL,         55,          0,          1,         -1,         -1,         -1,          0,         93,         -1, 
64 : QE0070_002_BTL,         56,          0,          1,         -1,         -1,         -1,          0,         94,         -1, 
65 : QE0070_003_BTL,         57,          0,          1,         -1,         -1,         -1,          0,         95,         -1, 
66 : QE0240_001_BTL,         58,          0,          1,         -1,         -1,         -1,          0,         96,         -1, 
67 : QE0250_001_BTL,         59,          0,          1,         -1,         -1,         -1,          0,         97,         -1, 
68 : QE0270_001_BTL,         60,          0,          1,         -1,         -1,         -1,          0,         98,         -1, 
69 : QE0270_002_BTL,         61,          0,          1,         -1,         -1,         -1,          0,         99,         -1, 
70 : QE0270_003_BTL,         62,          0,          1,         -1,         -1,         -1,          0,        100,         -1, 
71 : QE0270_004_BTL,         63,          0,          1,         -1,         -1,         -1,          0,        101,         -1, 
72 : QE0310_001_BTL,         64,          0,          1,         -1,         -1,         -1,          0,        102,         -1, 
73 : QE0310_002_BTL,         65,          0,          1,         -1,         -1,         -1,          0,        104,         -1, 
74 : QE0310_003_BTL,         66,          0,          1,         -1,         -1,         -1,          0,        106,         -1, 
75 : QE0320_001_BTL,         67,          0,          1,         -1,         -1,         -1,          0,        108,         -1, 
76 : QE0480_001_BTL,         68,          0,          1,         -1,         -1,         -1,          0,        109,         -1, 
77 : QE1070_001_BTL,         69,          0,          1,         -1,         -1,         -1,          0,        110,         -1, 
78 : QE0080_001_BTL,         70,          0,          1,         -1,         -1,         -1,          0,        111,         -1, 
79 : QE0120_001_BTL,         71,          0,          1,         -1,         -1,         -1,          0,        112,         -1, 
80 : QE0440_001_BTL,         72,          0,          1,         -1,         -1,         -1,          0,        113,         -1, 
81 : QE0090_001_BTL,         73,          0,          1,         -1,         -1,         -1,          0,        114,         -1, 
82 : QE1230_001_BTL,         74,          0,          1,         -1,         -1,         -1,          0,        115,         -1, 
83 : QE0140_001_BTL,         75,          0,          1,         -1,         -1,         -1,          0,        116,         -1, 
84 : QE0190_001_BTL,         76,          0,          1,         -1,         -1,         -1,          0,        117,         -1, 
85 : QE0190_002_BTL,         77,          0,          1,         -1,         -1,         -1,          0,        118,         -1, 
86 : QE0190_003_BTL,         78,          0,          1,         -1,         -1,         -1,          0,        119,         -1, 
87 : QE0190_004_BTL,         79,          0,          1,         -1,         -1,         -1,          0,        120,         -1, 
88 : QE0190_005_BTL,         80,          0,          1,         -1,         -1,         -1,          0,        121,         -1, 
89 : QE0300_001_BTL,         81,          0,          1,         -1,         -1,         -1,          0,        122,         -1, 
90 : QE0300_002_BTL,         82,          0,          1,         -1,         -1,         -1,          0,        123,         -1, 
91 : QE0300_003_BTL,         83,          0,          1,         -1,         -1,         -1,          0,        124,         -1, 
92 : QE0300_004_BTL,         84,          0,          1,         -1,         -1,         -1,          0,        125,         -1, 
93 : QE0330_001_BTL,         85,          0,          1,         -1,         -1,         -1,          0,        126,         -1, 
94 : QE0390_001_BTL,         86,          0,          1,         -1,         -1,         -1,          0,        128,         -1, 
95 : QE0940_001_BTL,         87,          0,          1,         -1,         -1,         -1,          0,        129,         -1, 
96 : QE0060_001_BTL,         88,          0,          1,         -1,         -1,         -1,          0,        130,         -1, 
97 : QE0060_002_BTL,         89,          0,          1,         -1,         -1,         -1,          0,        131,         -1, 
98 : QE0060_003_BTL,         90,          0,          1,         -1,         -1,         -1,          0,        132,         -1, 
