           km_, km_check_num,      km_id, km_interactive,   km_onvfx,    km_seid, km_add_unit_chkmes, 
       sSlabel,     eUCHAR,    eSSHORT,     eUCHAR,     eUCHAR,    eSSHORT,     eUCHAR, 
 0 : ttrl_BTL_target,          2,         74,          1,          1,          0,          0, 
 1 :          @,          0,         75,          1,          1,          0,          0, 
 2 : ttrl_BTL_battle,          5,         76,          1,          1,          0,          0, 
 3 :          @,          0,         77,          1,          1,          0,          0, 
 4 :          @,          0,         78,          1,          1,          0,          0, 
 5 :          @,          0,         79,          1,          1,          0,          0, 
 6 :          @,          0,         80,          1,          1,          0,          0, 
 7 : ttrl_BTL_moral,          4,         81,          1,          1,          0,          0, 
 8 :          @,          0,         82,          1,          1,          0,          0, 
 9 :          @,          0,         83,          1,          1,          0,          0, 
10 :          @,          0,         84,          1,          1,          0,          0, 
11 : ttrl_BTL_CT,          6,         85,          1,          1,          0,          0, 
12 :          @,          0,         86,          1,          1,          0,          0, 
13 :          @,          0,         87,          1,          1,          0,          0, 
14 :          @,          0,         88,          1,          1,          0,          0, 
15 :          @,          0,         89,          1,          1,          0,          0, 
16 :          @,          0,         90,          1,          1,          0,          0, 
17 : ttrl_BTL_guest,          2,         91,          1,          1,          0,          0, 
18 :          @,          0,         92,          1,          1,          0,          0, 
19 : ttrl_BTL_enemy_advantage,          2,         93,          1,          1,          0,          0, 
20 :          @,          0,         94,          1,          1,          0,          0, 
21 : ttrl_BTL_dead,          2,         95,          1,          1,          0,          0, 
22 :          @,          0,         96,          1,          1,          0,          0, 
23 : ttrl_BTL_famble,          2,         97,          1,          1,          0,          0, 
24 :          @,          0,         98,          1,          1,          0,          0, 
25 : ttrl_BTL_lockup_sideatk,          2,         99,          1,          1,          0,          0, 
26 :          @,          0,        100,          1,          1,          0,          0, 
27 : ttrl_BTL_lockup_rear_assault,          2,        101,          1,          1,          0,          0, 
28 :          @,          0,        102,          1,          1,          0,          0, 
29 : ttrl_BTL_lockup_massive_strike,          2,        103,          1,          1,          0,          0, 
30 :          @,          0,        104,          1,          1,          0,          0, 
31 : ttrl_BTL_lockup_Interference,          2,        105,          1,          1,          0,          0, 
32 :          @,          0,        106,          1,          1,          0,          0, 
33 : ttrl_BTL_lockup_Raidlock,          2,        107,          1,          1,          0,          0, 
34 :          @,          0,        108,          1,          1,          0,          0, 
35 : RBC_FIRST_sys,          1,        109,          1,          1,          0,          0, 
36 : GAS_FISRT_sys,          1,        110,          1,          1,          0,          0, 
37 : EV0170_001_BTL,          1,        378,          1,          1,          0,          0, 
38 : EV0210_001_BTL,          1,        379,          1,          1,          0,          0, 
39 : EV0250_001_BTL,          1,        380,          1,          1,          0,          0, 
40 : EV0310_001_BTL,          1,        381,          1,          1,          0,          0, 
41 : EV0330_001_BTL,          1,        382,          1,          1,          0,          0, 
42 : EV0610_001_BTL,          2,        530,          1,          1,          0,          1, 
43 :          @,          0,        383,          1,          1,          0,          0, 
44 : EV0720_001_BTL,          1,        384,          1,          1,          0,          0, 
45 : EV0800_001_BTL,          1,        385,          1,          1,          0,          0, 
46 : EV0830_001_BTL,          2,        529,          1,          1,          0,          1, 
47 :          @,          0,        386,          1,          1,          0,          0, 
48 : EV0870_001_BTL,          1,        387,          1,          1,          0,          0, 
49 : EV1150_001_BTL,          1,        388,          1,          1,          0,          0, 
50 : EV1155_001_BTL,          1,        389,          1,          1,          0,          0, 
51 : EV1170_001_BTL,          1,        390,          1,          1,          0,          0, 
52 : EV1175_001_BTL,          1,        391,          1,          1,          0,          0, 
53 : EV1190_001_BTL,          1,        392,          1,          1,          0,          0, 
54 : EV1195_001_BTL,          1,        393,          1,          1,          0,          0, 
55 : EV1210_001_BTL,          1,        394,          1,          1,          0,          0, 
56 : EV1215_001_BTL,          1,        395,          1,          1,          0,          0, 
57 : EV1230_001_BTL,          1,        396,          1,          1,          0,          0, 
58 : EV1235_001_BTL,          1,        397,          1,          1,          0,          0, 
59 : EV1250_001_BTL,          1,        398,          1,          1,          0,          0, 
60 : EV1255_001_BTL,          1,        399,          1,          1,          0,          0, 
61 : EV1265_001_BTL,          1,        400,          1,          1,          0,          0, 
62 : EV1280_001_BTL,          1,        401,          1,          1,          0,          0, 
63 : EV1330_001_BTL,          1,        402,          1,          1,          0,          0, 
64 : EV1420_001_BTL,          1,        403,          1,          1,          0,          0, 
65 : EV1450_001_BTL,          1,        404,          1,          1,          0,          0, 
66 : EV1490_1_001_BTL,          1,        405,          1,          1,          0,          0, 
67 : EV1490_2_001_BTL,          1,        406,          1,          1,          0,          0, 
68 : EV1490_3_001_BTL,          1,        407,          1,          1,          0,          0, 
69 : EV1490_4_001_BTL,          1,        408,          1,          1,          0,          0, 
70 : EV1490_5_001_BTL,          1,        409,          1,          1,          0,          0, 
71 : EV1490_6_001_BTL,          1,        410,          1,          1,          0,          0, 
72 : EV1490_7_001_BTL,          1,        411,          1,          1,          0,          0, 
73 : EV1490_8_001_BTL,          1,        412,          1,          1,          0,          0, 
74 : QE1060_001_BTL,          1,        413,          1,          1,          0,          0, 
75 : QE0020_001_BTL,          1,        414,          1,          1,          0,          0, 
76 : QE0290_001_BTL,          2,        530,          1,          1,          0,          1, 
77 :          @,          0,        415,          1,          1,          0,          0, 
78 : QE0030_001_BTL,          1,        416,          1,          1,          0,          0, 
79 : QE0040_001_BTL,          1,        417,          1,          1,          0,          0, 
80 : QE0470_001_BTL,          1,        418,          1,          1,          0,          0, 
81 : QE0530_001_BTL,          1,        419,          1,          1,          0,          0, 
82 : QE0540_001_BTL,          1,        420,          1,          1,          0,          0, 
83 : QE0540_002_BTL,          1,        420,          1,          1,          0,          0, 
84 : QE1050_001_BTL,          1,        422,          1,          1,          0,          0, 
85 : QE1050_002_BTL,          1,        423,          1,          1,          0,          0, 
86 : QE1050_003_BTL,          1,        424,          1,          1,          0,          0, 
87 : QE1050_004_BTL,          1,        425,          1,          1,          0,          0, 
88 : QE1050_005_BTL,          1,        426,          1,          1,          0,          0, 
89 : QE1050_006_BTL,          1,        427,          1,          1,          0,          0, 
90 : QE0450_001_BTL,          1,        428,          1,          1,          0,          0, 
91 : QE1220_001_BTL,          1,        429,          1,          1,          0,          0, 
92 : QE0050_001_BTL,          1,        430,          1,          1,          0,          0, 
93 : QE0070_001_BTL,          1,        431,          1,          1,          0,          0, 
94 : QE0070_002_BTL,          1,        432,          1,          1,          0,          0, 
95 : QE0070_003_BTL,          1,        433,          1,          1,          0,          0, 
96 : QE0240_001_BTL,          1,        434,          1,          1,          0,          0, 
97 : QE0250_001_BTL,          1,        435,          1,          1,          0,          0, 
98 : QE0270_001_BTL,          1,        436,          1,          1,          0,          0, 
99 : QE0270_002_BTL,          1,        437,          1,          1,          0,          0, 
100 : QE0270_003_BTL,          1,        438,          1,          1,          0,          0, 
101 : QE0270_004_BTL,          1,        439,          1,          1,          0,          0, 
102 : QE0310_001_BTL,          2,        531,          1,          1,          0,          1, 
103 :          @,          0,        440,          1,          1,          0,          0, 
104 : QE0310_002_BTL,          2,        531,          1,          1,          0,          1, 
105 :          @,          0,        441,          1,          1,          0,          0, 
106 : QE0310_003_BTL,          2,        531,          1,          1,          0,          1, 
107 :          @,          0,        442,          1,          1,          0,          0, 
108 : QE0320_001_BTL,          1,        443,          1,          1,          0,          0, 
109 : QE0480_001_BTL,          1,        444,          1,          1,          0,          0, 
110 : QE1070_001_BTL,          1,        445,          1,          1,          0,          0, 
111 : QE0080_001_BTL,          1,        446,          1,          1,          0,          0, 
112 : QE0120_001_BTL,          1,        447,          1,          1,          0,          0, 
113 : QE0440_001_BTL,          1,        448,          1,          1,          0,          0, 
114 : QE0090_001_BTL,          1,        449,          1,          1,          0,          0, 
115 : QE1230_001_BTL,          1,        450,          1,          1,          0,          0, 
116 : QE0140_001_BTL,          1,        451,          1,          1,          0,          0, 
117 : QE0190_001_BTL,          1,        452,          1,          1,          0,          0, 
118 : QE0190_002_BTL,          1,        453,          1,          1,          0,          0, 
119 : QE0190_003_BTL,          1,        454,          1,          1,          0,          0, 
120 : QE0190_004_BTL,          1,        455,          1,          1,          0,          0, 
121 : QE0190_005_BTL,          1,        456,          1,          1,          0,          0, 
122 : QE0300_001_BTL,          1,        457,          1,          1,          0,          0, 
123 : QE0300_002_BTL,          1,        458,          1,          1,          0,          0, 
124 : QE0300_003_BTL,          1,        459,          1,          1,          0,          0, 
125 : QE0300_004_BTL,          1,        460,          1,          1,          0,          0, 
126 : QE0330_001_BTL,          2,        532,          1,          1,          0,          1, 
127 :          @,          0,        461,          1,          1,          0,          0, 
128 : QE0390_001_BTL,          1,        462,          1,          1,          0,          0, 
129 : QE0940_001_BTL,          1,        463,          1,          1,          0,          0, 
130 : QE0060_001_BTL,          1,        464,          1,          1,          0,          0, 
131 : QE0060_002_BTL,          1,        465,          1,          1,          0,          0, 
132 : QE0060_003_BTL,          1,        466,          1,          1,          0,          0, 
133 : QE0060_004_BTL,          1,        467,          1,          1,          0,          0, 
134 : QE0840_001_BTL,          1,        468,          1,          1,          0,          0, 
135 : QE1240_001_BTL,          1,        469,          1,          1,          0,          0, 
136 : QE0150_001_BTL,          1,        470,          1,          1,          0,          0, 
137 : QE0150_002_BTL,          1,        471,          1,          1,          0,          0, 
138 : QE0150_003_BTL,          1,        472,          1,          1,          0,          0, 
139 : QE0150_004_BTL,          1,        473,          1,          1,          0,          0, 
140 : QE0160_001_BTL,          1,        474,          1,          1,          0,          0, 
141 : QE0280_001_BTL,          1,        475,          1,          1,          0,          0, 
142 : QE0350_001_BTL,          1,        476,          1,          1,          0,          0, 
143 : QE0350_002_BTL,          1,        477,          1,          1,          0,          0, 
144 : QE0400_001_BTL,          1,        478,          1,          1,          0,          0, 
145 : QE1210_001_BTL,          1,        479,          1,          1,          0,          0, 
146 : QE0180_001_BTL,          1,        480,          1,          1,          0,          0, 
147 : QE0340_001_BTL,          1,        481,          1,          1,          0,          0, 
148 : QE0340_002_BTL,          1,        482,          1,          1,          0,          0, 
149 : QE0340_003_BTL,          1,        483,          1,          1,          0,          0, 
150 : QE0340_004_BTL,          1,        484,          1,          1,          0,          0, 
151 :      DLC01,          1,        485,          1,          1,          0,          0, 
152 :      DLC02,          1,        486,          1,          1,          0,          0, 
153 :      DLC03,          1,        487,          1,          1,          0,          0, 
154 :      DLC04,          1,        488,          1,          1,          0,          0, 
155 :      DLC05,          1,        489,          1,          1,          0,          0, 
156 :      DLC06,          1,        490,          1,          1,          0,          0, 
157 :      DLC07,          1,        491,          1,          1,          0,          0, 
158 :      DLC08,          1,        492,          1,          1,          0,          0, 

