           km_,   km_namen, km_attribute_type, km_att_zan,  km_att_da, km_att_shou, km_att_kantu, 
       sSlabel,    eSSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 : type_muzokusei,          1,          1,          1,          1,          1,          1, 
 1 :  type_zan1,          2,          1,         20,          0,          0,          0, 
 2 :  type_zan2,          3,          1,         50,          0,          0,          0, 
 3 :  type_zan3,          4,          1,        100,          0,          0,          0, 
 4 :   type_da1,          5,          2,          0,         20,          0,          0, 
 5 :   type_da2,          6,          2,          0,         50,          0,          0, 
 6 :   type_da3,          7,          2,          0,        100,          0,          0, 
 7 : type_shou1,          8,          3,          0,          0,         20,          0, 
 8 : type_shou2,          9,          3,          0,          0,         50,          0, 
 9 : type_shou3,         10,          3,          0,          0,        100,          0, 
10 : type_kantu1,         11,          4,          0,          0,          0,         20, 
11 : type_kantu2,         12,          4,          0,          0,          0,         50, 
12 : type_kantu3,         13,          4,          0,          0,          0,        100, 
13 : type_perfect1,         14,          1,        100,        100,        100,        100, 
14 : type_perfect2,         15,          1,        150,        150,        150,        150, 
15 : type_perfect3,         16,          1,        200,        200,        200,        200, 

