           km_, km_StrNo_text, km_window_type, km_font_type, 
       sSlabel,    eString,     eUCHAR,     eUCHAR, 
 0 :      Dummy,       1351,          0,          0, 
 1 : rush_sykes_s,       1352,          0,          0, 
 2 : irina_sykes_s,       1353,          0,          0, 
 3 : david_nassau_s,       1354,          0,          0, 
 4 : emma_honeywell_s,       1355,          0,          0, 
 5 : emma_honeywell,       1356,          0,          0, 
 6 :       emmy,       1357,          0,          0, 
 7 :    plocter,       1358,          0,          0, 
 8 :      pagus,       1359,          0,          0, 
 9 :     torgal,       1360,          0,          0, 
10 : duke_of_ghor,       1361,          0,          0, 
11 :     haruko,       1362,          0,          0, 
12 :      jager,       1363,          0,          0, 
13 : btl_pc_gabriel,       1364,          0,          0, 
14 : btl_pc_jorgen,       1365,          0,          0, 
15 : btl_pc_roberto,       1366,          0,          0, 
16 : btl_pc_loki,       1367,          0,          0, 
17 : btl_pc_paris,       1368,          0,          0, 
18 : btl_pc_rhagoh,       1369,          0,          0, 
19 : btl_pc_glenys,       1370,          0,          0, 
20 : btl_pc_violet,       1371,          0,          0, 
21 : btl_pc_nora,       1372,          0,          0, 
22 : btl_pc_khrynia,       1373,          0,          0, 
23 : btl_pc_kate,       1374,          0,          0, 
24 : btl_pc_sheryl,       1375,          0,          0, 
25 : btl_pc_baulson,       1376,          0,          0, 
26 : btl_pc_gaou,       1377,          0,          0, 
27 : btl_pc_zolean,       1378,          0,          0, 
28 : btl_pc_yuniver,       1379,          0,          0, 
29 : btl_pc_darien,       1380,          0,          0, 
30 : btl_pc_sibal,       1381,          0,          0, 
31 : btl_pc_leshau,       1382,          0,          0, 
32 : btl_pc_maddox,       1383,          0,          0, 
33 : btl_pc_allan,       1384,          0,          0, 
34 : btl_pc_caedmon,       1385,          0,          0, 
35 : btl_pc_leucetius,       1386,          0,          0, 
36 : btl_pc_wyngale,       1387,          0,          0, 
37 : btl_guest_npc_001,       1388,          0,          0, 
38 : btl_guest_npc_002,       1389,          0,          0, 
39 : btl_guest_npc_003,       1390,          0,          0, 
40 : btl_guest_npc_004,       1391,          0,          0, 
41 : btl_guest_npc_005,       1392,          0,          0, 
42 : btl_guest_npc_006,       1393,          0,          0, 
43 : btl_7th_01,       1394,          0,          0, 
44 : btl_7th_02,       1395,          0,          0, 
45 : btl_7th_03,       1396,          0,          0, 
46 : btl_7th_04,       1397,          0,          0, 
47 : btl_7th_05,       1398,          0,          0, 
48 : btl_7th_06,       1399,          0,          0, 
49 : btl_7th_07,       1400,          0,          0, 

