           km_, km_interval,   km_angle,     km_num, 
       sSlabel,    eSSHORT,     eUCHAR,     eUCHAR, 
 0 : X_interval_set1,       -130,          0,          0, 
 1 : X_interval_set2,       -130,          0,          0, 
 2 : X_interval_set3,       -130,          0,          0, 
 3 : target_camera_default_Z,          0,          0,          0, 
 4 : target_camera_default_Y,          0,          0,          0, 
 5 : target_camera_default_Xtype,          0,          0,          0, 
 6 : target_camera_Z_plus__max,          0,         48,          0, 
 7 : target_camera_Z_minus_max,          0,         48,          0, 
 8 : target_camera_Z_speed,          0,          2,          0, 
 9 : target_camera_Y_plus__max,          0,          6,          0, 
10 : target_camera_Y_minus_max,          0,         22,          0, 
11 : target_camera_Y_speed,          0,          2,          0, 
12 : free_camera_default_Z,          0,          0,          0, 
13 : free_camera_default_Y,          0,          0,          0, 
14 : free_camera_default_Xtype,          0,          0,          0, 
15 : free_camera_Z_plus__max,          0,          0,          0, 
16 : free_camera_Z_minus_max,          0,          0,          0, 
17 : free_camera_Z_speed,          0,          0,          0, 
18 : free_camera_Y_plus__max,          0,          0,          0, 
19 : free_camera_Y_minus_max,          0,          0,          0, 
20 : free_camera_Y_speed,          0,          0,          0, 

