           km_, km_s_value, km_union_max, km_unit_max, km_battle_leader_max, km_party_leader_max, km_athulum_max, km_sp_flag, km_sp_numup, km_sp_numdown, km_union_max_sp, km_unit_max_sp, km_set_sys_msg, km_set_sys_msg_btl_unit, km_set_sys_msg_btl_leader, km_set_sys_msg_party_leader, km_set_sys_msg_athlum, 
       sSlabel,     eSLONG,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eSLONG,     eULONG,     eULONG,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR, 
 0 :     EV0000,          0,          1,          1,          1,          1,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 1 :     EV0010,        100,          5,         18,          5,          5,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 2 :     EV0060,        200,          1,          2,          2,          2,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 3 :     EV0100,        400,          1,          1,          1,          1,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 4 :     EV0120,        500,          2,          4,          2,          2,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 5 :     EV0170,        600,          1,          1,          1,          1,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 6 :     EV0230,        700,          2,         10,          5,          5,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
 7 : main_event_progress,        900,          2,          3,          3,         10,          0,         -1,          0,          0,          0,          0,          1,          1,          1,          1,          0, 
 8 : main_event_progress,       1500,          3,          9,          9,         20,          0,         -1,          0,          0,          0,          0,          1,          1,          1,          1,          0, 
 9 : main_event_progress,       3100,          4,         12,         12,         30,          0,         -1,          0,          0,          0,          0,          1,          1,          1,          1,          0, 
10 : main_event_progress,       3700,          5,         15,         15,         40,          0,         -1,          0,          0,          0,          0,          1,          1,          1,          1,          0, 
11 : main_event_progress,       5600,          5,         18,         18,         50,          0,         -1,          0,          0,          0,          0,          0,          1,          0,          1,          0, 
12 : main_event_progress,       6100,          5,         18,         18,         49,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
13 : main_event_progress,       6300,          5,         18,         18,         50,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 

