           km_, km_is_display, km_message,    km_pack, 
       sSlabel,     eUCHAR,    eSSHORT,     eUCHAR, 
 0 :      Param,          1,          1,          0, 
 1 : skill_new_get_arts,          1,          2,          0, 
 2 : skill_new_get_magic,          1,          3,          0, 
 3 : skill_new_get_item,          1,          4,          0, 
 4 : skill_dir_up,          1,          5,          0, 
 5 : skill_lv_up_arts,          1,          6,          0, 
 6 : skill_lv_up_magic,          1,          7,          0, 
 7 : skill_lv_up_item,          1,          8,          0, 
 8 : skill_gorwth_last,          0,          9,          0, 
 9 : skill_pack_arts,          1,         10,         12, 
10 : skill_pack_item,          1,         11,          8, 
11 :    eq_lvup,          1,         12,          0, 
12 :      Class,          1,         13,          0, 

