           km_, km_add_lvup_chain, km_bonus_exp, km_add_lvup_defeated, km_get_rate_normal1, km_get_rate_normal2, km_get_rate_rare, km_get_rate_veryrare, km_bonus_item, km_bonus_item_max, km_bonus_money, 
       sSlabel,    eUSHORT,    eUSHORT,    eUSHORT,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,     eUCHAR,    eUSHORT, 
 0 :  rate_lv00,          5,      10000,          5,         45,         30,         15,          3,          0,          0,        100, 
 1 :  rate_lv01,         10,      10500,          8,         46,         31,         16,          4,          1,          1,        105, 
 2 :  rate_lv02,         15,      11000,         12,         47,         32,         17,          5,          1,          1,        110, 
 3 :  rate_lv03,         20,      11200,         15,         48,         33,         18,          6,          1,          2,        115, 
 4 :  rate_lv04,         35,      11500,         20,         49,         34,         19,          7,          2,          2,        120, 
 5 :  rate_lv05,         40,      11800,         30,         50,         35,         20,          8,          2,          2,        125, 
 6 :  rate_lv06,         70,      12000,         35,         51,         36,         21,          9,          2,          3,        130, 
 7 :  rate_lv07,        100,      13000,         40,         52,         37,         22,         10,          2,          3,        135, 
 8 :  rate_lv08,        130,      13500,         45,         53,         38,         23,         11,          3,          3,        140, 
 9 :  rate_lv09,        150,      14000,         50,         54,         39,         24,         12,          3,          4,        145, 
10 :  rate_lv10,        190,      14300,         55,         55,         40,         25,         13,          3,          4,        150, 
11 :  rate_lv11,        220,      14800,         60,         56,         41,         26,         14,          4,          5,        155, 
12 :  rate_lv12,        250,      15000,         70,         57,         42,         27,         15,          4,          5,        160, 
13 :  rate_lv13,        280,      16000,         80,         58,         43,         28,         15,          4,          6,        165, 
14 :  rate_lv14,        310,      17000,         90,         59,         44,         29,         15,          5,          6,        170, 
15 :  rate_lv15,        340,      18000,        100,         60,         45,         30,         15,          5,          7,        175, 
16 :  rate_lv16,        370,      19000,        110,         61,         46,         30,         15,          5,          7,        180, 
17 :  rate_lv17,        400,      20000,        120,         62,         47,         30,         15,          6,          7,        185, 
18 :  rate_lv18,        430,      20000,        130,         63,         48,         30,         15,          6,          8,        190, 
19 :  rate_lv19,        460,      20000,        140,         64,         49,         30,         15,          6,          8,        195, 
20 :  rate_lv20,        490,      20000,        150,         65,         50,         30,         15,          7,          8,        200, 
21 :  rate_lv21,        520,      20000,        160,         66,         50,         30,         15,          7,          9,        205, 
22 :  rate_lv22,        550,      20000,        170,         67,         50,         30,         15,          7,          9,        210, 
23 :  rate_lv23,        600,      20000,        180,         68,         50,         30,         15,          8,          9,        215, 
24 :  rate_lv24,        650,      20000,        190,         69,         50,         30,         15,          8,         10,        220, 
25 :  rate_lv25,        700,      20000,        200,         70,         50,         30,         15,          8,         10,        225, 
26 :  rate_lv26,        750,      20000,        210,         70,         50,         30,         15,          9,         10,        230, 
27 :  rate_lv27,        800,      20000,        220,         70,         50,         30,         15,          9,         10,        235, 
28 :  rate_lv28,        850,      20000,        230,         70,         50,         30,         15,          9,         10,        240, 
29 :  rate_lv29,        900,      20000,        240,         70,         50,         30,         15,         10,         10,        245, 
30 :  rate_lv30,        950,      20000,        250,         70,         50,         30,         15,         10,         10,        250, 
31 :  rate_lv31,       1000,      20000,        300,         70,         50,         30,         15,         10,         10,        255, 

