           km_, km_difference,  km_offset, km_alive_offset, km_dif_hp_ap, km_dif_others, km_btlrank_hp_ap, km_btlrank_others, km_btlrank_hp_ap_dec, km_dif_equip, km_btlrank_equip, 
       sSlabel,     eSCHAR,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG,     eULONG, 
 0 : dif_minus127,       -127,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
 1 : dif_minus126,       -126,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
 2 : dif_minus125,       -125,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
 3 : dif_minus124,       -124,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
 4 : dif_minus123,       -123,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
 5 : dif_minus122,       -122,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
 6 : dif_minus121,       -121,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
 7 : dif_minus120,       -120,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
 8 : dif_minus119,       -119,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
 9 : dif_minus118,       -118,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
10 : dif_minus117,       -117,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
11 : dif_minus116,       -116,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
12 : dif_minus115,       -115,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
13 : dif_minus114,       -114,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
14 : dif_minus113,       -113,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
15 : dif_minus112,       -112,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
16 : dif_minus111,       -111,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
17 : dif_minus110,       -110,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
18 : dif_minus109,       -109,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
19 : dif_minus108,       -108,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
20 : dif_minus107,       -107,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
21 : dif_minus106,       -106,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
22 : dif_minus105,       -105,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
23 : dif_minus104,       -104,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
24 : dif_minus103,       -103,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
25 : dif_minus102,       -102,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
26 : dif_minus101,       -101,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
27 : dif_minus100,       -100,      10000,      10000,          0,          0,      10000,      10000,      10000,          0,      10000, 
